INT	INT	STRING	INT	STRING	INT
34	55	776:1:124	1100	#00afec|【注能lv34】利爪魔符属性提升110%	-1
35	55	776:1:136	1150	#00afec|【注能lv35】利爪魔符属性提升115%	532
36	55	776:1:150	1200	#00afec|【注能lv36】利爪魔符属性提升120%	-1
37	55	776:1:165	1250	#00afec|【注能lv37】利爪魔符属性提升125%	-1
38	55	776:1:181	1300	#00afec|【注能lv38】利爪魔符属性提升130%	-1
39	55	776:1:199	1350	#00afec|【注能lv39】利爪魔符属性提升135%	-1
40	55	776:1:219	1400	#00afec|【注能lv40】利爪魔符属性提升140%	532
41	55	776:1:241	1470	#00afec|【注能lv41】利爪魔符属性提升147%	-1
42	55	776:1:265	1540	#00afec|【注能lv42】利爪魔符属性提升154%	-1
43	55	776:1:291	1610	#00afec|【注能lv43】利爪魔符属性提升161%	-1
44	55	776:1:320	1680	#00afec|【注能lv44】利爪魔符属性提升168%	-1
45	55	776:1:352	1750	#00afec|【注能lv45】利爪魔符属性提升175%	532
46	55	776:1:387	1820	#00afec|【注能lv46】利爪魔符属性提升182%	-1
47	55	776:1:426	1890	#00afec|【注能lv47】利爪魔符属性提升189%	-1
48	55	776:1:468	1960	#00afec|【注能lv48】利爪魔符属性提升196%	-1
49	55	776:1:515	2030	#00afec|【注能lv49】利爪魔符属性提升203%	-1
50	55	776:1:567	2100	#00afec|【注能lv50】利爪魔符属性提升210%	532
51	55	776:1:623	2190	#00afec|【注能lv51】利爪魔符属性提升219%	-1
52	55	776:1:685	2280	#00afec|【注能lv52】利爪魔符属性提升228%	-1
53	55	776:1:754	2370	#00afec|【注能lv53】利爪魔符属性提升237%	-1
54	55	776:1:829	2460	#00afec|【注能lv54】利爪魔符属性提升246%	-1
55	55	776:1:912	2550	#00afec|【注能lv55】利爪魔符属性提升255%	532
56	55	776:1:1003	2640	#00afec|【注能lv56】利爪魔符属性提升264%	-1
57	55	776:1:1104	2730	#00afec|【注能lv57】利爪魔符属性提升273%	-1
58	55	776:1:1214	2820	#00afec|【注能lv58】利爪魔符属性提升282%	-1
59	55	776:1:1335	2910	#00afec|【注能lv59】利爪魔符属性提升291%	-1
60	55	-1	3000	#00afec|【注能lv60】利爪魔符属性提升300%	532
0	56	776:1:6	0	#00afec|【注能lv0】禁锢魔符属性提升0%	-1
1	56	776:1:6	20	#00afec|【注能lv1】禁锢魔符属性提升2%	-1
2	56	776:1:6	40	#00afec|【注能lv2】禁锢魔符属性提升4%	-1
3	56	776:1:7	60	#00afec|【注能lv3】禁锢魔符属性提升6%	-1
4	56	776:1:8	80	#00afec|【注能lv4】禁锢魔符属性提升8%	-1
5	56	776:1:8	100	#00afec|【注能lv5】禁锢魔符属性提升10%	532
6	56	776:1:9	120	#00afec|【注能lv6】禁锢魔符属性提升12%	-1
7	56	776:1:10	140	#00afec|【注能lv7】禁锢魔符属性提升14%	-1
8	56	776:1:11	160	#00afec|【注能lv8】禁锢魔符属性提升16%	-1
9	56	776:1:12	180	#00afec|【注能lv9】禁锢魔符属性提升18%	-1
10	56	776:1:13	200	#00afec|【注能lv10】禁锢魔符属性提升20%	532
11	56	776:1:14	230	#00afec|【注能lv11】禁锢魔符属性提升23%	-1
12	56	776:1:16	260	#00afec|【注能lv12】禁锢魔符属性提升26%	-1
13	56	776:1:17	290	#00afec|【注能lv13】禁锢魔符属性提升29%	-1
14	56	776:1:19	320	#00afec|【注能lv14】禁锢魔符属性提升32%	-1
15	56	776:1:21	350	#00afec|【注能lv15】禁锢魔符属性提升35%	532
16	56	776:1:23	380	#00afec|【注能lv16】禁锢魔符属性提升38%	-1
17	56	776:1:25	410	#00afec|【注能lv17】禁锢魔符属性提升41%	-1
18	56	776:1:27	440	#00afec|【注能lv18】禁锢魔符属性提升44%	-1
19	56	776:1:30	470	#00afec|【注能lv19】禁锢魔符属性提升47%	-1
20	56	776:1:33	500	#00afec|【注能lv20】禁锢魔符属性提升50%	532
21	56	776:1:36	540	#00afec|【注能lv21】禁锢魔符属性提升54%	-1
22	56	776:1:40	580	#00afec|【注能lv22】禁锢魔符属性提升58%	-1
23	56	776:1:44	620	#00afec|【注能lv23】禁锢魔符属性提升62%	-1
24	56	776:1:48	660	#00afec|【注能lv24】禁锢魔符属性提升66%	-1
25	56	776:1:53	700	#00afec|【注能lv25】禁锢魔符属性提升70%	532
26	56	776:1:58	740	#00afec|【注能lv26】禁锢魔符属性提升74%	-1
27	56	776:1:64	780	#00afec|【注能lv27】禁锢魔符属性提升78%	-1
28	56	776:1:70	820	#00afec|【注能lv28】禁锢魔符属性提升82%	-1
29	56	776:1:77	860	#00afec|【注能lv29】禁锢魔符属性提升86%	-1
30	56	776:1:85	900	#00afec|【注能lv30】禁锢魔符属性提升90%	532
31	56	776:1:93	950	#00afec|【注能lv31】禁锢魔符属性提升95%	-1
32	56	776:1:102	1000	#00afec|【注能lv32】禁锢魔符属性提升100%	-1
33	56	776:1:113	1050	#00afec|【注能lv33】禁锢魔符属性提升105%	-1
34	56	776:1:124	1100	#00afec|【注能lv34】禁锢魔符属性提升110%	-1
35	56	776:1:136	1150	#00afec|【注能lv35】禁锢魔符属性提升115%	532
36	56	776:1:150	1200	#00afec|【注能lv36】禁锢魔符属性提升120%	-1
37	56	776:1:165	1250	#00afec|【注能lv37】禁锢魔符属性提升125%	-1
38	56	776:1:181	1300	#00afec|【注能lv38】禁锢魔符属性提升130%	-1
39	56	776:1:199	1350	#00afec|【注能lv39】禁锢魔符属性提升135%	-1
40	56	776:1:219	1400	#00afec|【注能lv40】禁锢魔符属性提升140%	532
41	56	776:1:241	1470	#00afec|【注能lv41】禁锢魔符属性提升147%	-1
42	56	776:1:265	1540	#00afec|【注能lv42】禁锢魔符属性提升154%	-1
43	56	776:1:291	1610	#00afec|【注能lv43】禁锢魔符属性提升161%	-1
44	56	776:1:320	1680	#00afec|【注能lv44】禁锢魔符属性提升168%	-1
45	56	776:1:352	1750	#00afec|【注能lv45】禁锢魔符属性提升175%	532
46	56	776:1:387	1820	#00afec|【注能lv46】禁锢魔符属性提升182%	-1
47	56	776:1:426	1890	#00afec|【注能lv47】禁锢魔符属性提升189%	-1
48	56	776:1:468	1960	#00afec|【注能lv48】禁锢魔符属性提升196%	-1
49	56	776:1:515	2030	#00afec|【注能lv49】禁锢魔符属性提升203%	-1
50	56	776:1:567	2100	#00afec|【注能lv50】禁锢魔符属性提升210%	532
51	56	776:1:623	2190	#00afec|【注能lv51】禁锢魔符属性提升219%	-1
52	56	776:1:685	2280	#00afec|【注能lv52】禁锢魔符属性提升228%	-1
53	56	776:1:754	2370	#00afec|【注能lv53】禁锢魔符属性提升237%	-1
54	56	776:1:829	2460	#00afec|【注能lv54】禁锢魔符属性提升246%	-1
55	56	776:1:912	2550	#00afec|【注能lv55】禁锢魔符属性提升255%	532
56	56	776:1:1003	2640	#00afec|【注能lv56】禁锢魔符属性提升264%	-1
57	56	776:1:1104	2730	#00afec|【注能lv57】禁锢魔符属性提升273%	-1
58	56	776:1:1214	2820	#00afec|【注能lv58】禁锢魔符属性提升282%	-1
59	56	776:1:1335	2910	#00afec|【注能lv59】禁锢魔符属性提升291%	-1
60	56	-1	3000	#00afec|【注能lv60】禁锢魔符属性提升300%	532
0	57	776:1:6	0	#00afec|【注能lv0】死灵魔符属性提升0%	-1
1	57	776:1:6	20	#00afec|【注能lv1】死灵魔符属性提升2%	-1
2	57	776:1:6	40	#00afec|【注能lv2】死灵魔符属性提升4%	-1
3	57	776:1:7	60	#00afec|【注能lv3】死灵魔符属性提升6%	-1
4	57	776:1:8	80	#00afec|【注能lv4】死灵魔符属性提升8%	-1
5	57	776:1:8	100	#00afec|【注能lv5】死灵魔符属性提升10%	532
6	57	776:1:9	120	#00afec|【注能lv6】死灵魔符属性提升12%	-1
7	57	776:1:10	140	#00afec|【注能lv7】死灵魔符属性提升14%	-1
8	57	776:1:11	160	#00afec|【注能lv8】死灵魔符属性提升16%	-1
9	57	776:1:12	180	#00afec|【注能lv9】死灵魔符属性提升18%	-1
10	57	776:1:13	200	#00afec|【注能lv10】死灵魔符属性提升20%	532
11	57	776:1:14	230	#00afec|【注能lv11】死灵魔符属性提升23%	-1
12	57	776:1:16	260	#00afec|【注能lv12】死灵魔符属性提升26%	-1
13	57	776:1:17	290	#00afec|【注能lv13】死灵魔符属性提升29%	-1
14	57	776:1:19	320	#00afec|【注能lv14】死灵魔符属性提升32%	-1
15	57	776:1:21	350	#00afec|【注能lv15】死灵魔符属性提升35%	532
16	57	776:1:23	380	#00afec|【注能lv16】死灵魔符属性提升38%	-1
17	57	776:1:25	410	#00afec|【注能lv17】死灵魔符属性提升41%	-1
18	57	776:1:27	440	#00afec|【注能lv18】死灵魔符属性提升44%	-1
19	57	776:1:30	470	#00afec|【注能lv19】死灵魔符属性提升47%	-1
20	57	776:1:33	500	#00afec|【注能lv20】死灵魔符属性提升50%	532
21	57	776:1:36	540	#00afec|【注能lv21】死灵魔符属性提升54%	-1
22	57	776:1:40	580	#00afec|【注能lv22】死灵魔符属性提升58%	-1
23	57	776:1:44	620	#00afec|【注能lv23】死灵魔符属性提升62%	-1
24	57	776:1:48	660	#00afec|【注能lv24】死灵魔符属性提升66%	-1
25	57	776:1:53	700	#00afec|【注能lv25】死灵魔符属性提升70%	532
26	57	776:1:58	740	#00afec|【注能lv26】死灵魔符属性提升74%	-1
27	57	776:1:64	780	#00afec|【注能lv27】死灵魔符属性提升78%	-1
28	57	776:1:70	820	#00afec|【注能lv28】死灵魔符属性提升82%	-1
29	57	776:1:77	860	#00afec|【注能lv29】死灵魔符属性提升86%	-1
30	57	776:1:85	900	#00afec|【注能lv30】死灵魔符属性提升90%	532
31	57	776:1:93	950	#00afec|【注能lv31】死灵魔符属性提升95%	-1
32	57	776:1:102	1000	#00afec|【注能lv32】死灵魔符属性提升100%	-1
33	57	776:1:113	1050	#00afec|【注能lv33】死灵魔符属性提升105%	-1
34	57	776:1:124	1100	#00afec|【注能lv34】死灵魔符属性提升110%	-1
35	57	776:1:136	1150	#00afec|【注能lv35】死灵魔符属性提升115%	532
36	57	776:1:150	1200	#00afec|【注能lv36】死灵魔符属性提升120%	-1
37	57	776:1:165	1250	#00afec|【注能lv37】死灵魔符属性提升125%	-1
38	57	776:1:181	1300	#00afec|【注能lv38】死灵魔符属性提升130%	-1
39	57	776:1:199	1350	#00afec|【注能lv39】死灵魔符属性提升135%	-1
40	57	776:1:219	1400	#00afec|【注能lv40】死灵魔符属性提升140%	532
41	57	776:1:241	1470	#00afec|【注能lv41】死灵魔符属性提升147%	-1
42	57	776:1:265	1540	#00afec|【注能lv42】死灵魔符属性提升154%	-1
43	57	776:1:291	1610	#00afec|【注能lv43】死灵魔符属性提升161%	-1
44	57	776:1:320	1680	#00afec|【注能lv44】死灵魔符属性提升168%	-1
45	57	776:1:352	1750	#00afec|【注能lv45】死灵魔符属性提升175%	532
46	57	776:1:387	1820	#00afec|【注能lv46】死灵魔符属性提升182%	-1
47	57	776:1:426	1890	#00afec|【注能lv47】死灵魔符属性提升189%	-1
48	57	776:1:468	1960	#00afec|【注能lv48】死灵魔符属性提升196%	-1
49	57	776:1:515	2030	#00afec|【注能lv49】死灵魔符属性提升203%	-1
50	57	776:1:567	2100	#00afec|【注能lv50】死灵魔符属性提升210%	532
51	57	776:1:623	2190	#00afec|【注能lv51】死灵魔符属性提升219%	-1
52	57	776:1:685	2280	#00afec|【注能lv52】死灵魔符属性提升228%	-1
53	57	776:1:754	2370	#00afec|【注能lv53】死灵魔符属性提升237%	-1
54	57	776:1:829	2460	#00afec|【注能lv54】死灵魔符属性提升246%	-1
55	57	776:1:912	2550	#00afec|【注能lv55】死灵魔符属性提升255%	532
56	57	776:1:1003	2640	#00afec|【注能lv56】死灵魔符属性提升264%	-1
57	57	776:1:1104	2730	#00afec|【注能lv57】死灵魔符属性提升273%	-1
58	57	776:1:1214	2820	#00afec|【注能lv58】死灵魔符属性提升282%	-1
59	57	776:1:1335	2910	#00afec|【注能lv59】死灵魔符属性提升291%	-1
60	57	-1	3000	#00afec|【注能lv60】死灵魔符属性提升300%	532
0	58	776:1:6	0	#00afec|【注能lv0】燃晶魔符属性提升0%	-1
1	58	776:1:6	20	#00afec|【注能lv1】燃晶魔符属性提升2%	-1
2	58	776:1:6	40	#00afec|【注能lv2】燃晶魔符属性提升4%	-1
3	58	776:1:7	60	#00afec|【注能lv3】燃晶魔符属性提升6%	-1
4	58	776:1:8	80	#00afec|【注能lv4】燃晶魔符属性提升8%	-1
5	58	776:1:8	100	#00afec|【注能lv5】燃晶魔符属性提升10%	532
6	58	776:1:9	120	#00afec|【注能lv6】燃晶魔符属性提升12%	-1
7	58	776:1:10	140	#00afec|【注能lv7】燃晶魔符属性提升14%	-1
8	58	776:1:11	160	#00afec|【注能lv8】燃晶魔符属性提升16%	-1
9	58	776:1:12	180	#00afec|【注能lv9】燃晶魔符属性提升18%	-1
10	58	776:1:13	200	#00afec|【注能lv10】燃晶魔符属性提升20%	532
11	58	776:1:14	230	#00afec|【注能lv11】燃晶魔符属性提升23%	-1
12	58	776:1:16	260	#00afec|【注能lv12】燃晶魔符属性提升26%	-1
13	58	776:1:17	290	#00afec|【注能lv13】燃晶魔符属性提升29%	-1
14	58	776:1:19	320	#00afec|【注能lv14】燃晶魔符属性提升32%	-1
15	58	776:1:21	350	#00afec|【注能lv15】燃晶魔符属性提升35%	532
16	58	776:1:23	380	#00afec|【注能lv16】燃晶魔符属性提升38%	-1
17	58	776:1:25	410	#00afec|【注能lv17】燃晶魔符属性提升41%	-1
18	58	776:1:27	440	#00afec|【注能lv18】燃晶魔符属性提升44%	-1
19	58	776:1:30	470	#00afec|【注能lv19】燃晶魔符属性提升47%	-1
20	58	776:1:33	500	#00afec|【注能lv20】燃晶魔符属性提升50%	532
21	58	776:1:36	540	#00afec|【注能lv21】燃晶魔符属性提升54%	-1
22	58	776:1:40	580	#00afec|【注能lv22】燃晶魔符属性提升58%	-1
23	58	776:1:44	620	#00afec|【注能lv23】燃晶魔符属性提升62%	-1
24	58	776:1:48	660	#00afec|【注能lv24】燃晶魔符属性提升66%	-1
25	58	776:1:53	700	#00afec|【注能lv25】燃晶魔符属性提升70%	532
26	58	776:1:58	740	#00afec|【注能lv26】燃晶魔符属性提升74%	-1
27	58	776:1:64	780	#00afec|【注能lv27】燃晶魔符属性提升78%	-1
28	58	776:1:70	820	#00afec|【注能lv28】燃晶魔符属性提升82%	-1
29	58	776:1:77	860	#00afec|【注能lv29】燃晶魔符属性提升86%	-1
30	58	776:1:85	900	#00afec|【注能lv30】燃晶魔符属性提升90%	532
31	58	776:1:93	950	#00afec|【注能lv31】燃晶魔符属性提升95%	-1
32	58	776:1:102	1000	#00afec|【注能lv32】燃晶魔符属性提升100%	-1
33	58	776:1:113	1050	#00afec|【注能lv33】燃晶魔符属性提升105%	-1
34	58	776:1:124	1100	#00afec|【注能lv34】燃晶魔符属性提升110%	-1
35	58	776:1:136	1150	#00afec|【注能lv35】燃晶魔符属性提升115%	532
36	58	776:1:150	1200	#00afec|【注能lv36】燃晶魔符属性提升120%	-1
37	58	776:1:165	1250	#00afec|【注能lv37】燃晶魔符属性提升125%	-1
38	58	776:1:181	1300	#00afec|【注能lv38】燃晶魔符属性提升130%	-1
39	58	776:1:199	1350	#00afec|【注能lv39】燃晶魔符属性提升135%	-1
40	58	776:1:219	1400	#00afec|【注能lv40】燃晶魔符属性提升140%	532
41	58	776:1:241	1470	#00afec|【注能lv41】燃晶魔符属性提升147%	-1
42	58	776:1:265	1540	#00afec|【注能lv42】燃晶魔符属性提升154%	-1
43	58	776:1:291	1610	#00afec|【注能lv43】燃晶魔符属性提升161%	-1
44	58	776:1:320	1680	#00afec|【注能lv44】燃晶魔符属性提升168%	-1
45	58	776:1:352	1750	#00afec|【注能lv45】燃晶魔符属性提升175%	532
46	58	776:1:387	1820	#00afec|【注能lv46】燃晶魔符属性提升182%	-1
47	58	776:1:426	1890	#00afec|【注能lv47】燃晶魔符属性提升189%	-1
48	58	776:1:468	1960	#00afec|【注能lv48】燃晶魔符属性提升196%	-1
49	58	776:1:515	2030	#00afec|【注能lv49】燃晶魔符属性提升203%	-1
50	58	776:1:567	2100	#00afec|【注能lv50】燃晶魔符属性提升210%	532
51	58	776:1:623	2190	#00afec|【注能lv51】燃晶魔符属性提升219%	-1
52	58	776:1:685	2280	#00afec|【注能lv52】燃晶魔符属性提升228%	-1
53	58	776:1:754	2370	#00afec|【注能lv53】燃晶魔符属性提升237%	-1
54	58	776:1:829	2460	#00afec|【注能lv54】燃晶魔符属性提升246%	-1
55	58	776:1:912	2550	#00afec|【注能lv55】燃晶魔符属性提升255%	532
56	58	776:1:1003	2640	#00afec|【注能lv56】燃晶魔符属性提升264%	-1
57	58	776:1:1104	2730	#00afec|【注能lv57】燃晶魔符属性提升273%	-1
58	58	776:1:1214	2820	#00afec|【注能lv58】燃晶魔符属性提升282%	-1
59	58	776:1:1335	2910	#00afec|【注能lv59】燃晶魔符属性提升291%	-1
60	58	-1	3000	#00afec|【注能lv60】燃晶魔符属性提升300%	532
