INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	INT	STRING	INT
176	玩灭神上游侠	5	1	iyouxia	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
177	玩灭神上9211游戏	5	1	9211	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
178	V5大富豪	7	1788	-1	0	0	1	36	1:14900|4:200|5:520|6:80|7:160	-1	使用称号卡可获得	37_v5dfw	70	#00ff00	30	120	320	-1	1
179	V6贵族	7	1789	-1	0	0	1	36	1:15000|4:210|5:550|6:90|7:170	-1	使用称号卡可获得	37_v6gz	70	#00ff00	30	120	320	-1	1
180	V7任性王	7	1790	-1	0	0	1	36	1:18888|4:240|5:620|6:100|7:180	-1	使用称号卡可获得	37_v7rxw	70	#00ff00	30	120	320	-1	1
181	V8土豪帝	7	1791	-1	0	0	1	36	1:21300|4:290|5:740|6:110|7:230	-1	使用称号卡可获得	37_v8thd	70	#00ff00	30	120	320	-1	1
182	360猪年行大运	7	1792	-1	0	0	1	36	1:21300|4:290|5:740|6:110|7:230	-1	使用称号卡可获得	ZN_XDY	70	#00ff00	30	120	320	-1	1
183	金猪贺年	7	1793	-1	0	0	1	36	1:21300|4:290|5:740|6:110|7:230	-1	使用称号卡可获得	9377_JZHN	70	#00ff00	30	120	320	-1	1
184	开工大吉(30天)	7	1794	-1	0	0	1	36	1:42600|4:580|5:1480|6:220|7:450	-1	使用称号卡可获得	YY_KGDJ	70	#00ff00	30	120	320	-1	1
185	猪年吉祥	7	1795	-1	0	0	1	36	1:8888|4:188|5:388|6:188|7:288	-1	使用称号卡可获得	pigjixiang	70	#00ff00	30	120	320	-1	1
186	社会人	7	1796	-1	0	0	1	36	1:18888|4:288|5:688|6:288|7:388	-1	使用称号卡可获得	shehuiren	70	#00ff00	30	120	320	-1	1
187	冰火王者	7	1797	-1	0	0	1	36	1:18888|4:240|5:620|6:100|7:180|16:10	-1	使用称号卡可获得	TW_BHWZ	70	#00ff00	30	120	320	-1	1
188	天下无双	7	1798	-1	0	0	1	36	1:18888|4:240|5:620|6:100|7:180	-1	使用称号卡可获得	LDS_TXWS	70	#00ff00	30	120	320	-1	1
189	灭神大师	7	1799	-1	0	0	1	36	1:18888|4:240|5:620|6:100|7:180|16:10	-1	使用称号卡可获得	37_MSDS	70	#00ff00	30	120	320	-1	1
191	强势回归(30天)	7	1801	-1	0	0	1	36	1:18888|4:288|5:688|6:288|7:388	-1	使用称号卡可获得	TW_QSHG	70	#00ff00	30	120	320	-1	1
192	强势回归	7	1802	-1	0	0	1	36	1:18888|4:288|5:688|6:288|7:388	-1	使用称号卡可获得	TW_QSHG	70	#00ff00	30	120	320	-1	1
193	37节皇帝(30天)	7	1803	-1	0	0	1	36	1:18888|4:288|5:688|6:288|7:388	-1	使用称号卡可获得	37_HD	70	#00ff00	30	120	320	-1	1
194	37节皇帝	7	1804	-1	0	0	1	36	1:18888|4:288|5:688|6:288|7:388	-1	使用称号卡可获得	37_HD	70	#00ff00	30	120	320	-1	1
195	360永远18岁(15天)	7	1805	-1	0	0	1	51	1:8800|4:120|5:310|6:50|7:90	-1	360卫士特权获得	360_yy18	70	#00ff00	40	110	350	-1	1
196	360妇女之友(15天)	7	1806	-1	0	0	1	50	1:17600|4:240|5:620|6:100|7:180	-1	360卫士特权获得	360_fnzy	70	#00ff00	40	120	320	-1	1
197	绿意盎然(7天)	7	1807	-1	0	0	1	36	1:21300|4:290|5:740|6:110|7:230	-1	使用称号卡可获得	LYYR	70	#00ff00	30	120	320	-1	1
198	绿意盎然(30天)	7	1808	-1	0	0	1	36	1:21300|4:290|5:740|6:110|7:230	-1	使用称号卡可获得	LYYR	70	#00ff00	30	120	320	-1	1
199	灭神灭佛	7	1809	-1	0	0	1	36	1:18888|4:240|5:620|6:100|7:180|16:10	-1	使用称号卡可获得	37_MSMF	70	#00ff00	30	120	320	-1	1
200	通天神主（1天）	10	1	-1	0	0	1	90	1:100000|33:1000|16:20|18:10	-1	通天池捐献奖励，每日14点刷新排行后自动激活称号，有效时间为24小时	TT_SZ	70	#00ff00	30	120	320	-1	1
201	通天仙人（1天）	10	2	-1	0	0	1	90	1:100000|33:1000|16:20	-1	通天池捐献奖励，每日14点刷新排行后自动激活称号，有效时间为24小时	TT_XL	70	#00ff00	30	120	320	-1	1
202	通天魔王（1天）	10	3	-1	0	0	1	90	1:50000|33:500|16:15	-1	通天池捐献奖励，每日14点刷新排行后自动激活称号，有效时间为24小时	TT_MW	70	#00ff00	30	120	320	-1	1
203	通天妖力（1天）	10	4	-1	0	0	1	90	1:25000|33:250|16:10	-1	通天池捐献奖励，每日14点刷新排行后自动激活称号，有效时间为24小时	TT_YL	70	#00ff00	30	120	320	-1	1
204	神装天天爆(30天)	7	1814	-1	0	0	1	36	1:21300|4:290|5:740|6:110|7:230	-1	使用称号卡可获得	SZ_TTB	70	#00ff00	30	120	320	-1	1
205	新手指导员	7	1815	-1	0	0	1	50	1:176000|4:2400|5:6200|6:1000|7:1800	-1	使用GM称号卡可获得	2217GM	70	#00ff00	40	120	320	-1	1
206	劳动小能手	7	1816	-1	0	0	1	41	1:2200|4:30|5:70|6:10|7:20	-1	使用劳动小能手称号卡即可获得	LD_XNS	70	#00ff00	30	120	320	-1	1
207	贪玩灭神单职业	5	1	tanwan	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用贪玩平台登录可获得	DDBGQG	70	#00ff00	30	120	320	-1	1
208	玩圣妖传上9377	5	1	9377	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用9377登录可获得	9377_2	70	#00ff00	30	120	320	-1	1
209	360初始称号	5	1	w360	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用360平台登录可获得	DDBGQG	70	#00ff01	10	120	320	-1	1
210	51初始称号	5	1	51	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用51平台登录可获得	DDBGQG	70	#00ff01	10	120	320	-1	1
211	爱奇艺影视VIP用户	7	1800	-1	0	0	1	37	1:10600|4:140|5:370|6:60|7:110	-1	使用称号卡可获得	pps_3	70	#00ff00	30	120	320	-1	1
212	宝藏猎人（14天）	7	1817	-1	0	0	1	52	1:18888|4:240|5:620|6:100|7:180	-1	使用称号卡可获得	BaoZangLieRen	70	#00ff00	30	120	320	-1	1
213	玩圣妖传上123yx.cn	5	1	123yx	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用123yx平台登录可获得	DDBGQG	70	#00ff01	30	120	320	-1	1
214	圣妖之路	7	1818	-1	0	0	1	53	1:8800|4:120|5:310|6:50|7:90	-1	使用称号卡可获得	syzl	70	#00ff00	30	120	320	-1	1
215	玩圣妖传上5144wan	5	1	5144	0	0	1	99	1:5300|4:70|5:180|6:30|7:60	-1	使用5144wan平台登录可获得	5144	70	#00ff01	30	120	320	-1	1
216	天外飞仙	7	1819	-1	0	0	1	53	1:15888|4:388|5:688|6:288|7:588	-1	使用称号卡可获得	Tianwaifeixian	70	#00ff00	30	120	320	-1	1
217	锦绣河山	7	1820	-1	0	0	1	54	1:18888|4:288|5:688|6:288|7:388	-1	使用称号卡可获得	huaxiawuqiannian	70	#00ff00	30	120	320	-1	1
218	尊贵会员	7	1821	-1	0	0	1	35	1:21300|4:290|5:740|6:110|7:230	-1	使用称号卡可获得	douyu_993h_1	70	#00ff00	30	120	320	-1	1
219	不给糖就捣蛋	7	1822	-1	0	0	1	55	1:18888|4:288|5:688|6:288|7:388	-1	使用称号卡可获得	daodanchenghao	70	#00ff00	30	120	320	-1	1
