INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT
6	31	7	18700	0	10000	350	6	ÁéÇÉÐÞÁ¶	7
6	32	7	19500	0	10000	350	6	ÁéÇÉÐÞÁ¶	7
6	33	7	20300	0	10000	350	6	ÁéÇÉÐÞÁ¶	7
6	34	7	21000	0	10000	350	6	ÁéÇÉÐÞÁ¶	7
6	35	7	21900	0	10000	350	6	ÁéÇÉÐÞÁ¶	7
6	36	7	22700	0	10000	350	6	ÁéÇÉÐÞÁ¶	7
6	37	7	23500	0	10000	350	6	ÁéÇÉÐÞÁ¶	7
6	38	7	24400	0	10000	350	6	ÁéÇÉÐÞÁ¶	7
6	39	7	25200	0	10000	350	6	ÁéÇÉÐÞÁ¶	7
6	40	7	26100	0	10000	350	6	ÁéÇÉÐÞÁ¶	7
6	41	7	28300	0	10000	400	6	ÁéÇÉÐÞÁ¶	7
6	42	7	29400	0	10000	400	6	ÁéÇÉÐÞÁ¶	7
6	43	7	30500	0	10000	400	6	ÁéÇÉÐÞÁ¶	7
6	44	7	31600	0	10000	400	6	ÁéÇÉÐÞÁ¶	7
6	45	7	32800	0	10000	400	6	ÁéÇÉÐÞÁ¶	7
6	46	7	33900	0	10000	400	6	ÁéÇÉÐÞÁ¶	7
6	47	7	35100	0	10000	400	6	ÁéÇÉÐÞÁ¶	7
6	48	7	36300	0	10000	400	6	ÁéÇÉÐÞÁ¶	7
6	49	7	37500	0	10000	400	6	ÁéÇÉÐÞÁ¶	7
6	50	7	38800	0	10000	400	6	ÁéÇÉÐÞÁ¶	7
6	51	7	42000	0	10000	450	6	ÁéÇÉÐÞÁ¶	7
6	52	7	43500	0	10000	450	6	ÁéÇÉÐÞÁ¶	7
6	53	7	45100	0	10000	450	6	ÁéÇÉÐÞÁ¶	7
6	54	7	46600	0	10000	450	6	ÁéÇÉÐÞÁ¶	7
6	55	7	48300	0	10000	450	6	ÁéÇÉÐÞÁ¶	7
6	56	7	49900	0	10000	450	6	ÁéÇÉÐÞÁ¶	7
6	57	7	51500	0	10000	450	6	ÁéÇÉÐÞÁ¶	7
6	58	7	53200	0	10000	450	6	ÁéÇÉÐÞÁ¶	7
6	59	7	54900	0	10000	450	6	ÁéÇÉÐÞÁ¶	7
6	60	7	56700	0	10000	450	6	ÁéÇÉÐÞÁ¶	7
