INT	STRING
4052	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双孙尚香|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4053	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双关羽|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4054	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双马超|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4055	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双陆逊|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4056	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双黄忠|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4061	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双吕布|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4062	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双貂蝉|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4063	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|无双诸葛亮|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4064	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|魔化的钟离昧|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4065	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|楚王之魂|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4066	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|恶羊之王|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4071	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|魔化的戚夫人|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4072	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|魔化的张良|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4073	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|魔化的吕雉|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4074	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|匈奴右单于|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4075	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|赵王之魂|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4076	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|白泽剑王|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4081	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|叛变的禁军首领|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4082	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|魔化的彭越|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4083	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|雷公的幻影|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4084	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|齐王之魂|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4085	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|远古木甲兽|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
4086	#00ff00|八卦阵是Boss挑战型副本，击败Boss后您可以获得稀有的装备图谱奖励。|n|#F6be71|副本目标|n|#F6be71|1.击败副本Boss|#FF0000|魔化的韩信|n|#fff000|小贴士：利用法阵中的阵眼可以快速削弱Boss！
5001	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫一的所有守卫|n|#F6be71|2.打败机枢九宫一BOSS文聘
5002	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二的所有守卫|n|#F6be71|2.打败机枢九宫二BOSS貂蝉
5003	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三的所有守卫|n|#F6be71|2.打败机枢九宫三BOSS周泰
5004	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四的所有守卫|n|#F6be71|2.打败机枢九宫四BOSS许褚
5005	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五的所有守卫|n|#F6be71|2.打败机枢九宫五BOSS曹仁
5006	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六的所有守卫|n|#F6be71|2.打败机枢九宫六BOSS司马懿
5007	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫七的所有守卫|n|#F6be71|2.打败机枢九宫七BOSS颜良和文丑
5008	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫八的所有守卫|n|#F6be71|2.打败机枢九宫八BOSS夏侯惇
5009	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫九的所有守卫|n|#F6be71|2.打败机枢九宫九BOSS张角
5011	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫十的所有守卫|n|#F6be71|2.打败机枢九宫十BOSS徐晃
5012	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫十一的所有守卫|n|#F6be71|2.打败机枢九宫十一BOSS典韦
5013	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫十二的所有守卫|n|#F6be71|2.打败机枢九宫十二BOSS乐进
5014	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫十三的所有守卫|n|#F6be71|2.打败机枢九宫十三BOSS李典
5015	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫十四的所有守卫|n|#F6be71|2.打败机枢九宫十四BOSS荀彧
5016	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫十五的所有守卫|n|#F6be71|2.打败机枢九宫十五BOSS甄姬
5017	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫十六的所有守卫|n|#F6be71|2.打败机枢九宫十六BOSS郭嘉
5018	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫十七的所有守卫|n|#F6be71|2.打败机枢九宫十七BOSS张辽
5019	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫十八的所有守卫|n|#F6be71|2.打败机枢九宫十八BOSS曹操
5021	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫十九的所有守卫|n|#F6be71|2.打败机枢九宫十九BOSS吴起
5022	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二十的所有守卫|n|#F6be71|2.打败机枢九宫二十BOSS猗顿
5023	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二十一的所有守卫|n|#F6be71|2.打败机枢九宫二十一BOSS廉颇
5024	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二十二的所有守卫|n|#F6be71|2.打败机枢九宫二十二BOSS虞卿
5025	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二十三的所有守卫|n|#F6be71|2.打败机枢九宫二十三BOSS蔺相如
5026	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二十四的所有守卫|n|#F6be71|2.打败机枢九宫二十四BOSS田单
5027	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二十五的所有守卫|n|#F6be71|2.打败机枢九宫二十五BOSS太子丹
5028	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二十六的所有守卫|n|#F6be71|2.打败机枢九宫二十六BOSS触龙
5029	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二十七的所有守卫|n|#F6be71|2.打败机枢九宫二十七BOSS荆轲
5031	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二十八的所有守卫|n|#F6be71|2.打败机枢九宫二十八BOSS乐羊
5032	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫二十九的所有守卫|n|#F6be71|2.打败机枢九宫二十九BOSS鲁仲连
5033	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三十的所有守卫|n|#F6be71|2.打败机枢九宫三十BOSS先轸
5034	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三十一的所有守卫|n|#F6be71|2.打败机枢九宫三十一BOSS晏婴
5035	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三十二的所有守卫|n|#F6be71|2.打败机枢九宫三十二BOSS曹刿
5036	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三十三的所有守卫|n|#F6be71|2.打败机枢九宫三十三BOSS文种
5037	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三十四的所有守卫|n|#F6be71|2.打败机枢九宫三十四BOSS伍子胥
5038	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三十五的所有守卫|n|#F6be71|2.打败机枢九宫三十五BOSS百里奚
5039	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三十六的所有守卫|n|#F6be71|2.打败机枢九宫三十六BOSS鲁班铁甲战车
5041	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三十七的所有守卫|n|#F6be71|2.打败机枢九宫三十七BOSS朱泙漫
5042	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三十八的所有守卫|n|#F6be71|2.打败机枢九宫三十八BOSS支离益
5043	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫三十九的所有守卫|n|#F6be71|2.打败机枢九宫三十九BOSS伯乐
5044	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四十的所有守卫|n|#F6be71|2.打败机枢九宫四十BOSS柳下惠
5045	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四十一的所有守卫|n|#F6be71|2.打败机枢九宫四十一BOSS欧冶子
5046	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四十二的所有守卫|n|#F6be71|2.打败机枢九宫四十二BOSS孟姜女
5047	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四十三的所有守卫|n|#F6be71|2.打败机枢九宫四十三BOSS柳下跖
5048	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四十四的所有守卫|n|#F6be71|2.打败机枢九宫四十四BOSS苏秦
5049	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四十五的所有守卫|n|#F6be71|2.打败机枢九宫四十五BOSS李牧
5051	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四十六的所有守卫|n|#F6be71|2.打败机枢九宫四十六BOSS伯禽
5052	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四十七的所有守卫|n|#F6be71|2.打败机枢九宫四十七BOSS李冰
5053	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四十八的所有守卫|n|#F6be71|2.打败机枢九宫四十八BOSS杜康
5054	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫四十九的所有守卫|n|#F6be71|2.打败机枢九宫四十九BOSS甘罗
5055	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五十的所有守卫|n|#F6be71|2.打败机枢九宫五十BOSS卞和
5056	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五十一的所有守卫|n|#F6be71|2.打败机枢九宫五十一BOSS易牙
5057	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五十二的所有守卫|n|#F6be71|2.打败机枢九宫五十二BOSS宫子奇
5058	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五十三的所有守卫|n|#F6be71|2.打败机枢九宫五十三BOSS褒姒
5059	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五十四的所有守卫|n|#F6be71|2.打败机枢九宫五十四BOSS周幽王
5061	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五十五的所有守卫|n|#F6be71|2.打败机枢九宫五十五BOSS子夏
5062	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五十六的所有守卫|n|#F6be71|2.打败机枢九宫五十六BOSS子贡
5063	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五十七的所有守卫|n|#F6be71|2.打败机枢九宫五十七BOSS子游
5064	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五十八的所有守卫|n|#F6be71|2.打败机枢九宫五十八BOSS子有
5065	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫五十九的所有守卫|n|#F6be71|2.打败机枢九宫五十九BOSS子张
5066	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六十的所有守卫|n|#F6be71|2.打败机枢九宫六十BOSS伯牛
5067	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六十一的所有守卫|n|#F6be71|2.打败机枢九宫六十一BOSS子骞
5068	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六十二的所有守卫|n|#F6be71|2.打败机枢九宫六十二BOSS子路
5069	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六十三的所有守卫|n|#F6be71|2.打败机枢九宫六十三BOSS孔子
5071	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六十四的所有守卫|n|#F6be71|2.打败机枢九宫六十四BOSS专诸
5072	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六十五的所有守卫|n|#F6be71|2.打败机枢九宫六十五BOSS莫邪
5073	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六十六的所有守卫|n|#F6be71|2.打败机枢九宫六十六BOSS干将
5074	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六十七的所有守卫|n|#F6be71|2.打败机枢九宫六十七BOSS白丹
5075	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六十八的所有守卫|n|#F6be71|2.打败机枢九宫六十八BOSS尸佼
5076	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫六十九的所有守卫|n|#F6be71|2.打败机枢九宫六十九BOSS商鞅
5077	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫七十的所有守卫|n|#F6be71|2.打败机枢九宫七十BOSS聂政
5078	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫七十一的所有守卫|n|#F6be71|2.打败机枢九宫七十一BOSS西施
5079	#00ff00|机枢九宫是高难度英雄副本，通关后您可以获得坐骑洗髓丹奖励！|n|#F6be71|副本目标|n|#F6be71|1.消灭机枢九宫七十二的所有守卫|n|#F6be71|2.打败机枢九宫七十二BOSS范蠡
6001	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测攻击力！在限定时间内击败Boss！
6002	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测物防！在Boss攻击下生存下来！
6003	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测法防！在Boss攻击下生存下来！
6004	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测技能伤害！在限定时间内击败Boss！
6011	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测攻击力！在限定时间内击败Boss！
6012	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测物防！在Boss攻击下生存下来！
6013	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测法防！在Boss攻击下生存下来！
6014	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测技能伤害！在限定时间内击败Boss！
6021	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测攻击力！在限定时间内击败Boss！
6022	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测物防！在Boss攻击下生存下来！
6023	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测法防！在Boss攻击下生存下来！
6024	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测技能伤害！在限定时间内击败Boss！
6031	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测攻击力！在限定时间内击败Boss！
6032	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测物防！在Boss攻击下生存下来！
6033	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测法防！在Boss攻击下生存下来！
6034	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测技能伤害！在限定时间内击败Boss！
6041	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测攻击力！在限定时间内击败Boss！
6042	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测物防！在Boss攻击下生存下来！
6043	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测法防！在Boss攻击下生存下来！
6044	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测技能伤害！在限定时间内击败Boss！
6051	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测攻击力！在限定时间内击败Boss！
6052	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测物防！在Boss攻击下生存下来！
6053	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测法防！在Boss攻击下生存下来！
6054	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测技能伤害！在限定时间内击败Boss！
6061	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测攻击力！在限定时间内击败Boss！
6062	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测物防！在Boss攻击下生存下来！
6063	#00ff00|挑战副本是对您角色的各项属性的终极测试，成功通过后可以获得成就点奖励！|n|#F6be71|副本目标|n|#F6be71|1.检测法防！在Boss攻击下生存下来！
