INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
9022	布拉格酷炫	9020	99	1	500000	0	0	1000	1000	100	100	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	6000000	2401	90:0:2403|60:0:2406|30:0:2407	0	0	201	0	0	gw147	502	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	3	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	500000	0	9022	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9023	布拉格风流	9020	99	1	500000	0	0	1000	1000	100	100	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	6000000	2401	90:0:2403|60:0:2406|30:0:2407	0	0	201	0	0	gw147	503	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	4	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	300000	0	9023	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9024	布拉格心痕	9020	99	1	500000	0	0	1000	1000	100	100	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	6000000	2401	90:0:2403|60:0:2406|30:0:2407	0	0	201	0	0	gw147	504	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	5	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	300000	0	9024	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9025	布拉格葬爱	9020	99	1	300000	0	0	500	500	100	100	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	6000000	2401	90:0:2403|60:0:2406|30:0:2407	0	0	201	0	0	gw147	502	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	6	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	200000	0	9025	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9026	布拉格追风	9020	99	1	300000	0	0	500	500	100	100	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	6000000	2401	90:0:2403|60:0:2406|30:0:2407	0	0	201	0	0	gw147	503	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	7	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	200000	0	9026	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9027	布拉格随风	9020	99	1	300000	0	0	500	500	100	100	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	6000000	2401	90:0:2403|60:0:2406|30:0:2407	0	0	201	0	0	gw147	504	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	8	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	200000	0	9027	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9031	皇城城主	9031	99	1	5000000	0	0	500	500	2000	2000	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	180000	2401	90:0:2403|60:0:2406|30:0:2407	0	0	201	0	0	gw147	500	fj022	0	0	-1	0	0	0	100	0	2	0	1	63	188	无	0	1	9	1	0	-1	-1	0	1	0	35	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	10000000	0	9031	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9032	皇城副城主	9031	99	1	5000000	0	0	500	500	2000	2000	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:5	0	0	180000	2401	90:0:2403|60:0:2406|30:0:2408	0	0	201	0	0	gw147	500	fj022	0	0	-1	0	0	0	100	0	2	0	1	63	188	无	0	1	10	1	0	-1	-1	0	1	0	35	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	10000000	0	9032	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9033	皇城卫士	9031	99	1	5000000	0	0	500	500	2000	2000	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	180000	2401	90:0:2403|60:0:2406|30:0:2407	0	0	201	0	0	gw147	500	fj022	0	0	-1	0	0	0	100	0	2	0	1	63	188	无	0	1	11	1	0	-1	-1	0	1	0	35	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	10000000	0	9033	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9034	皇城卫士	9031	99	1	5000000	0	0	500	500	2000	2000	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:5	0	0	180000	2401	90:0:2403|60:0:2406|30:0:2408	0	0	201	0	0	gw147	500	fj022	0	0	-1	0	0	0	100	0	2	0	1	63	188	无	0	1	12	1	0	-1	-1	0	1	0	35	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	10000000	0	9034	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9035	皇城卫士	9031	99	1	5000000	0	0	500	500	2000	2000	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	180000	2401	90:0:2403|60:0:2406|30:0:2407	0	0	201	0	0	gw147	500	fj022	0	0	-1	0	0	0	100	0	2	0	1	63	188	无	0	1	13	1	0	-1	-1	0	1	0	35	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	10000000	0	9035	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9036	试炼女巫	9036	80	1	300000	0	0	300	300	100	100	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	5000	2502	0	0	0	201	0	0	gw147	216	fj022	0	0	-1	0	0	0	100	0	0	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	1:1	0	1	-1	-1	1	0	300000	0	9036	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9037	试炼巨人	9036	80	1	300000	0	0	300	300	100	100	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	5000	2502	0	0	0	201	0	0	gw147	122	fj022	0	0	-1	0	0	0	100	0	0	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	100:150	0	1	-1	-1	1	0	300000	0	9037	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9038	武魂战神[武魂BOSS]	9038	1500	3	300000000	0	0	950000	950000	95000	95000	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	3600000	2502	0	0	0	201	0	0	gw147	609	fj022	0	0	-1	0	0	0	100	0	0	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	120	1	-1	-1	1	0	300000000	0	9038	0	0	0	0	0	0	0	1		0	952:1:6:1	1
9039	灭神守护者[不爆]	9039	999	1	300000	0	0	8888888	8888888	888888	888888	100000	0	0	0	180	0	0	1000	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1:2:3:4	0	0	3600000	2502	0	0	0	201	0	0	gw147	142	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:150	0	1	-1	-1	1	0	1000000000	0	9039	0	0	0	0	0	0	0	1		0	952:1:3:1	1
9996	地狱咆哮[界主]	9996	200	1	1300000	0	0	1300	1300	100	100	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	300000	2502	0	0	0	209	0	0	gw147	125	fj022	0	0	19:20:21	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	100:100	0	1	-1	-1	1	0	1500000	0	9996	0	0	0	0	0	0	0	1		0	952:1:1:1	1
9997	冥界长歌神[灭世BOSS]	9997	1900	3	400000000	0	0	1200000	1200000	110000	110000	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	5400000	2502	0	0	0	201	0	0	gw147	126	fj019	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:180	160	1	-1	-1	2	93	2200000000	1	9997	0	0	0	0	0	0	0	1		1	952:1:10:1	1
9998	圣妖福利使者[全爆]	0	999	1	100000	0	0	1	1	1	1	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	7200000	2502	0	0	0	201	0	0	gw147	107	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	100	0xff0dda	1	1:1	2	1	-1	-1	1	0	100000	0	9998	0	0	0	0	0	0	0	0		0	952:1:3:1	0
9999	圣妖福利吊炸天[全爆]	0	999	1	100000	0	0	1	1	1	1	1000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	7200000	2502	0	0	0	201	0	0	gw147	107	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	100	0xff0dda	1	1:1	2	1	-1	-1	1	0	100000	0	9999	0	0	0	0	0	0	0	0		0	952:1:3:1	0
10001	魔殿妖尸[精英]	10001	50	1	500000	0	0	500	500	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	300000	2502	0	0	0	209	0	0	gw147	2044	fj022	0	0	19:20:21	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	100:120	0	1	-1	-1	1	0	600000	0	10001	0	0	0	0	0	0	0	1		0	952:1:1:1	1
10002	红魔卫士[领主]	10002	100	1	700000	0	0	800	800	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	300000	2502	0	0	0	209	0	0	gw147	2048	fj022	0	0	19:20:21	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	100:120	0	1	-1	-1	1	0	800000	0	10002	0	0	0	0	0	0	0	1		0	952:1:1:1	1
10003	魔风巨兽[霸主]	10003	150	1	1000000	0	0	1000	1000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	300000	2502	0	0	0	209	0	0	gw147	110	fj022	0	0	19:20:21	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0x00ff00	1	100:120	0	1	-1	-1	1	0	1000000	0	10003	0	0	0	0	0	0	0	1		0	952:1:1:1	1
10004	蛮荒巨人[妖级BOSS]	10004	300	1	2000000	0	0	5000	5000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	600000	2502	0	0	0	209	0	0	gw147	121	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:150	2	1	-1	-1	1	0	2500000	1	10004	0	0	0	0	0	0	0	1		0	952:1:1:1	1
10005	金刚僵尸[魔级BOSS]	10005	400	1	3000000	0	0	8000	8000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	600000	2502	0	0	0	209	0	0	gw147	114	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:150	3	1	-1	-1	1	0	5000000	1	10005	0	0	0	0	0	0	0	1		0	952:1:1:1	1
10006	阴阳祖师[王级BOSS]	10006	500	1	5000000	0	0	16000	16000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	600000	2502	0	0	0	209	0	0	gw147	2059	fj022	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:150	5	1	-1	-1	1	0	8000000	1	10006	0	0	0	0	0	0	0	1		0	952:1:1:1	1
10007	蚀天魔尊[帝级BOSS]	10007	600	1	10000000	0	0	24000	24000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1800000	2502	0	0	0	209	0	0	gw147	2058	zjq12	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:150	8	1	-1	-1	1	0	20000000	1	10007	0	0	0	0	0	0	0	1		0	952:1:2:1	1
10008	巨刹傀儡[仙级BOSS]	10008	700	2	20000000	0	0	32000	32000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1800000	2502	0	0	0	209	0	0	gw147	2015	zjg21	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:150	10	1	-1	-1	1	0	50000000	1	10008	0	0	0	0	0	0	0	1		0	952:1:2:1	1
10009	鬼刃傀儡[神级BOSS]	10009	800	2	50000000	0	0	48000	48000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1800000	2502	0	0	0	209	0	0	gw147	2034	zjg21	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	100:150	20	1	-1	-1	1	22	120000000	1	10009	0	0	0	0	0	0	0	1		1	952:1:3:1	1
10010	血咒阴风神[鸿蒙BOSS]	10010	1000	2	100000000	0	0	96000	96000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	1800000	2502	0	0	0	209	0	0	gw147	2070	zjg22	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	40	1	-1	-1	1	36	400000000	1	10010	0	0	0	0	0	0	0	1		1	952:1:4:1	1
10011	血焰分魂神[盘古BOSS]	10011	1100	2	150000000	0	0	180000	180000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	3600000	2502	0	0	0	201	0	0	gw147	2055	zjg23	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	60	1	-1	-1	1	42	700000000	1	10011	0	0	0	0	0	0	0	1		1	952:1:4:1	1
10012	浮屠魔渊神[上古BOSS]	10012	1200	2	200000000	0	0	350000	350000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	3600000	2502	0	0	0	201	0	0	gw147	102	zjq11	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	80	1	-1	-1	1	48	900000000	1	10012	0	0	0	0	0	0	0	1		1	952:1:5:1	1
10013	血魂不灭神[远古BOSS]	10013	1300	3	250000000	0	0	620000	620000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	3600000	2502	0	0	0	201	0	0	gw147	2053	zjq12	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	100	1	-1	-1	2	60	1300000000	1	10013	0	0	0	0	0	0	0	1		1	952:1:5:1	1
10014	神创浮屠神[太古BOSS]	10014	1500	3	300000000	0	0	950000	950000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	5400000	2502	0	0	0	201	0	0	gw147	108	zjq12	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	120	1	-1	-1	2	71	1600000000	1	10014	0	0	0	0	0	0	0	1		1	952:1:6:1	1
10015	毁灭亡魂神[创世BOSS]	10015	1700	3	350000000	0	0	1100000	1100000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	5400000	2502	0	0	0	201	0	0	gw147	112	fj019	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	140	1	-1	-1	2	82	2000000000	1	10015	0	0	0	0	0	0	0	1		1	952:1:8:1	1
10016	神刀灭魔天君★☆☆☆	10016	2000	3	500000000	0	0	1400000	1400000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	7200000	2502	0	0	0	201	0	0	gw147	113	fj019	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	200	1	-1	-1	3	136	2500000000	1	10016	0	0	0	0	0	0	0	1		1	952:1:20:1	1
10017	幽冥世界天君★★☆☆	10017	2000	3	500000000	0	0	1700000	1700000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	7200000	2502	0	0	0	201	0	0	gw147	124	fj020	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	200	1	-1	-1	3	136	2500000000	1	10017	0	0	0	0	0	0	0	1		1	952:1:20:1	1
10018	诛仙修罗天君★★★☆	10018	2000	3	500000000	0	0	2000000	2000000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	7200000	2502	0	0	0	201	0	0	gw147	123	fj021	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	200	1	-1	-1	3	136	3000000000	1	10018	0	0	0	0	0	0	0	1		1	952:1:20:1	1
10019	九劫圣战天君★★★★	10019	2000	3	500000000	0	0	2300000	2300000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	7200000	2502	0	0	0	201	0	0	gw147	119	fj019	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	200	1	-1	-1	3	136	3000000000	1	10019	0	0	0	0	0	0	0	1		1	952:1:20:1	1
10020	天地狩猎者[一劫]	10020	2200	3	600000000	0	0	2800000	2800000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	10800000	2502	0	0	0	201	0	0	gw147	609	fj020	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	250	1	-1	-1	3	167	3600000000	1	10020	0	0	0	0	0	0	0	1		1	952:1:25:1	1
10021	狂飙毁灭者[二劫]	10021	2400	3	700000000	0	0	3300000	3300000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	10800000	2502	0	0	0	201	0	0	gw147	129	fj020	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	300	1	-1	-1	3	167	4200000000	1	10021	0	0	0	0	0	0	0	1		1	952:1:25:1	1
10022	圣灵掌控者[三劫]	10022	2600	3	800000000	0	0	3800000	3800000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	10800000	2502	0	0	0	201	0	0	gw147	130	fj020	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	340	1	-1	-1	3	171	5200000000	1	10022	0	0	0	0	0	0	0	1		1	952:1:25:1	1
10023	罪恶开辟者[四劫]	10023	2800	3	900000000	0	0	4300000	4300000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	10800000	2502	0	0	0	201	0	0	gw147	514	fj020	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	380	1	-1	-1	3	175	6200000000	1	10023	0	0	0	0	0	0	0	1		1	952:1:25:1	1
10024	毁天灭地圣妖[一重]	10024	3000	3	1000000000	0	0	5300000	5300000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	18000000	2502	0	0	0	201	0	0	gw147	131	fj020	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	440	1	-1	-1	3	202	7500000000	1	10024	0	0	0	0	0	0	0	1		1	952:1:30:1	1
10025	碧血寒冰圣妖[二重]	10025	3200	3	1100000000	0	0	6300000	6300000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	18000000	2502	0	0	0	201	0	0	gw147	132	fj020	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	480	1	-1	-1	3	202	9000000000	1	10025	0	0	0	0	0	0	0	1		1	952:1:30:1	1
10026	炽烈炎魔圣妖[三重]	10026	3400	3	1200000000	0	0	7300000	7300000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	18000000	2502	0	0	0	201	0	0	gw147	133	fj020	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	520	1	-1	-1	3	208	10000000000	1	10026	0	0	0	0	0	0	0	1		1	952:1:30:1	1
10027	天下无敌圣妖[四重]	10027	3600	3	1300000000	0	0	8300000	8300000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	18000000	2502	0	0	0	201	0	0	gw147	134	fj020	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xff680d	1	200:250	590	1	-1	-1	3	208	12000000000	1	10027	0	0	0	0	0	0	0	1		1	952:1:30:1	1
10028	浮屠魔渊神[上古BOSS]	10012	1200	2	200000000	0	0	350000	350000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	3600000	2502	0	0	0	201	0	0	gw147	102	zjq11	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	80	1	-1	-1	1	48	900000000	1	10012	0	0	0	0	0	0	0	1		1	952:1:5:1	1
10029	血魂不灭神[远古BOSS]	10013	1300	3	250000000	0	0	620000	620000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	5400000	2502	0	0	0	201	0	0	gw147	2053	zjq12	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	100	1	-1	-1	2	60	1300000000	1	10013	0	0	0	0	0	0	0	1		1	952:1:5:1	1
10030	神创浮屠神[太古BOSS]	10014	1500	3	300000000	0	0	950000	950000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	5400000	2502	0	0	0	201	0	0	gw147	108	zjq12	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	120	1	-1	-1	2	71	1600000000	1	10014	0	0	0	0	0	0	0	1		1	952:1:6:1	1
10031	毁灭亡魂神[创世BOSS]	10015	1700	3	350000000	0	0	1100000	1100000	0	0	100000	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1:2:3:4	0	0	5400000	2502	0	0	0	201	0	0	gw147	112	fj019	0	0	-1	0	0	0	100	0	1	0	1	63	188	无	0	1	0	1	0	-1	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0xe60012	1	120:160	140	1	-1	-1	2	82	2000000000	1	10015	0	0	0	0	0	0	0	1		1	952:1:8:1	1
