INT	INT	STRING	STRING	STRING	STRING	STRING
2055	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2056	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2057	4	1:5000|2:5000	201:3000|242:3000|601:4000	281:3000|322:3000|604:4000	-1	-1
2031	5	2:10000	1:5000|22:5000|601:0	101:5000|122:5000|604:0	-1	-1
2032	5	2:10000	1:5000|22:5000|601:0	101:5000|122:5000|604:0	-1	-1
2033	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2034	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2035	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2036	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2037	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2041	5	2:10000	1:5000|22:5000|601:0	101:5000|122:5000|604:0	-1	-1
2042	5	2:10000	1:5000|22:5000|601:0	101:5000|122:5000|604:0	-1	-1
2043	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2044	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2045	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2046	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2047	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2051	5	2:10000	1:5000|22:5000|601:0	101:5000|122:5000|604:0	-1	-1
2052	5	2:10000	1:5000|22:5000|601:0	101:5000|122:5000|604:0	-1	-1
2053	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2054	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2055	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2056	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
2057	5	2:10000	201:5000|242:5000|601:0	281:5000|322:5000|604:0	-1	-1
3031	1	3:10000	2:0|42:4000|602:6000	101:0|122:4000|604:6000	1021:10000	1001:10000
3032	1	3:10000	2:0|42:4000|602:6000	101:0|122:4000|604:6000	1021:10000	1001:10000
3033	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3034	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3035	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3036	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3037	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3041	1	3:10000	2:0|42:4000|602:6000	101:0|122:4000|604:6000	1021:10000	1001:10000
3042	1	3:10000	2:0|42:4000|602:6000	101:0|122:4000|604:6000	1021:10000	1001:10000
3043	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3044	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3045	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3046	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3047	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3051	1	3:10000	2:0|42:4000|602:6000	101:0|122:4000|604:6000	1021:10000	1001:10000
3052	1	3:10000	2:0|42:4000|602:6000	101:0|122:4000|604:6000	1021:10000	1001:10000
3053	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3054	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3055	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3056	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3057	1	3:10000	221:0|262:4000|602:6000	281:0|322:4000|604:6000	1161:10000	1141:10000
3031	2	3:10000	2:1000|42:5000|602:4000	101:1000|122:5000|604:4000	1021:10000	1001:10000
3032	2	3:10000	2:1000|42:5000|602:4000	101:1000|122:5000|604:4000	1021:10000	1001:10000
3033	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3034	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3035	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3036	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3037	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3041	2	3:10000	2:1000|42:5000|602:4000	101:1000|122:5000|604:4000	1021:10000	1001:10000
3042	2	3:10000	2:1000|42:5000|602:4000	101:1000|122:5000|604:4000	1021:10000	1001:10000
3043	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3044	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3045	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3046	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3047	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3051	2	3:10000	2:1000|42:5000|602:4000	101:1000|122:5000|604:4000	1021:10000	1001:10000
3052	2	3:10000	2:1000|42:5000|602:4000	101:1000|122:5000|604:4000	1021:10000	1001:10000
3053	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3054	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3055	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3056	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3057	2	3:10000	221:1000|262:5000|602:4000	281:1000|322:5000|604:4000	1161:10000	1141:10000
3031	3	3:10000	2:2000|42:6000|602:2000	101:2000|122:6000|604:2000	1021:10000	1001:10000
3032	3	3:10000	2:2000|42:6000|602:2000	101:2000|122:6000|604:2000	1021:10000	1001:10000
3033	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3034	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3035	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3036	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3037	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3041	3	3:10000	2:2000|42:6000|602:2000	101:2000|122:6000|604:2000	1021:10000	1001:10000
3042	3	3:10000	2:2000|42:6000|602:2000	101:2000|122:6000|604:2000	1021:10000	1001:10000
3043	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3044	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3045	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3046	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3047	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3051	3	3:10000	2:2000|42:6000|602:2000	101:2000|122:6000|604:2000	1021:10000	1001:10000
3052	3	3:10000	2:2000|42:6000|602:2000	101:2000|122:6000|604:2000	1021:10000	1001:10000
3053	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3054	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3055	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3056	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3057	3	3:10000	221:2000|262:6000|602:2000	281:2000|322:6000|604:2000	1161:10000	1141:10000
3031	4	3:10000	2:3000|42:7000|602:0	101:3000|122:7000|604:0	1021:10000	1001:10000
3032	4	3:10000	2:3000|42:7000|602:0	101:3000|122:7000|604:0	1021:10000	1001:10000
3033	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3034	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3035	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3036	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3037	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3041	4	3:10000	2:3000|42:7000|602:0	101:3000|122:7000|604:0	1021:10000	1001:10000
3042	4	3:10000	2:3000|42:7000|602:0	101:3000|122:7000|604:0	1021:10000	1001:10000
3043	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3044	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3045	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3046	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3047	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3051	4	3:10000	2:3000|42:7000|602:0	101:3000|122:7000|604:0	1021:10000	1001:10000
3052	4	3:10000	2:3000|42:7000|602:0	101:3000|122:7000|604:0	1021:10000	1001:10000
3053	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3054	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3055	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3056	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3057	4	3:10000	221:3000|262:7000|602:0	281:3000|322:7000|604:0	1161:10000	1141:10000
3031	5	4:10000	2:10000|42:0|602:0	101:10000|122:0|604:0	1021:10000	1001:10000
3032	5	4:10000	2:10000|42:0|602:0	101:10000|122:0|604:0	1021:10000	1001:10000
3033	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3034	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3035	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3036	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3037	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3041	5	4:10000	2:10000|42:0|602:0	101:10000|122:0|604:0	1021:10000	1001:10000
3042	5	4:10000	2:10000|42:0|602:0	101:10000|122:0|604:0	1021:10000	1001:10000
3043	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3044	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3045	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3046	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3047	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3051	5	4:10000	2:10000|42:0|602:0	101:10000|122:0|604:0	1021:10000	1001:10000
3052	5	4:10000	2:10000|42:0|602:0	101:10000|122:0|604:0	1021:10000	1001:10000
3053	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3054	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3055	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3056	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
3057	5	4:10000	221:10000|262:0|602:0	281:10000|322:0|604:0	1161:10000	1141:10000
2061	1	1:10000	1:0|23:0|601:10000	101:0|123:0|604:10000	-1	-1
2062	1	1:10000	1:0|23:0|601:10000	101:0|123:0|604:10000	-1	-1
2063	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2064	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2065	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2066	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2067	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2071	1	1:10000	1:0|23:0|601:10000	101:0|123:0|604:10000	-1	-1
2072	1	1:10000	1:0|23:0|601:10000	101:0|123:0|604:10000	-1	-1
2073	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2074	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2075	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2076	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2077	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2081	1	1:10000	1:0|23:0|601:10000	101:0|123:0|604:10000	-1	-1
2082	1	1:10000	1:0|23:0|601:10000	101:0|123:0|604:10000	-1	-1
2083	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2084	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2085	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2086	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2087	1	1:10000	201:0|243:0|601:10000	281:0|323:0|604:10000	-1	-1
2061	2	1:10000	1:0|23:10000|601:0	101:0|123:10000|604:0	-1	-1
2062	2	1:10000	1:0|23:10000|601:0	101:0|123:10000|604:0	-1	-1
2063	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2064	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2065	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2066	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2067	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2071	2	1:10000	1:0|23:10000|601:0	101:0|123:10000|604:0	-1	-1
2072	2	1:10000	1:0|23:10000|601:0	101:0|123:10000|604:0	-1	-1
2073	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2074	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2075	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2076	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2077	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2081	2	1:10000	1:0|23:10000|601:0	101:0|123:10000|604:0	-1	-1
2082	2	1:10000	1:0|23:10000|601:0	101:0|123:10000|604:0	-1	-1
2083	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2084	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2085	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2086	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2087	2	1:10000	201:0|243:10000|601:0	281:0|323:10000|604:0	-1	-1
2061	3	1:5000|2:5000	1:1000|23:3000|601:6000	101:1000|123:3000|604:6000	-1	-1
2062	3	1:5000|2:5000	1:1000|23:3000|601:6000	101:1000|123:3000|604:6000	-1	-1
2063	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2064	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2065	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2066	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2067	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2071	3	1:5000|2:5000	1:1000|23:3000|601:6000	101:1000|123:3000|604:6000	-1	-1
2072	3	1:5000|2:5000	1:1000|23:3000|601:6000	101:1000|123:3000|604:6000	-1	-1
2073	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2074	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2075	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2076	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2077	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2081	3	1:5000|2:5000	1:1000|23:3000|601:6000	101:1000|123:3000|604:6000	-1	-1
2082	3	1:5000|2:5000	1:1000|23:3000|601:6000	101:1000|123:3000|604:6000	-1	-1
2083	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2084	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2085	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2086	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2087	3	1:5000|2:5000	201:1000|243:3000|601:6000	281:1000|323:3000|604:6000	-1	-1
2061	4	1:5000|2:5000	1:3000|23:3000|601:4000	101:3000|123:3000|604:4000	-1	-1
2062	4	1:5000|2:5000	1:3000|23:3000|601:4000	101:3000|123:3000|604:4000	-1	-1
2063	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2064	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2065	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2066	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2067	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2071	4	1:5000|2:5000	1:3000|23:3000|601:4000	101:3000|123:3000|604:4000	-1	-1
2072	4	1:5000|2:5000	1:3000|23:3000|601:4000	101:3000|123:3000|604:4000	-1	-1
2073	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2074	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2075	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2076	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2077	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2081	4	1:5000|2:5000	1:3000|23:3000|601:4000	101:3000|123:3000|604:4000	-1	-1
2082	4	1:5000|2:5000	1:3000|23:3000|601:4000	101:3000|123:3000|604:4000	-1	-1
2083	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2084	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2085	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2086	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2087	4	1:5000|2:5000	201:3000|243:3000|601:4000	281:3000|323:3000|604:4000	-1	-1
2061	5	2:10000	1:5000|23:5000|601:0	101:5000|123:5000|604:0	-1	-1
2062	5	2:10000	1:5000|23:5000|601:0	101:5000|123:5000|604:0	-1	-1
2063	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2064	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2065	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2066	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2067	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2071	5	2:10000	1:5000|23:5000|601:0	101:5000|123:5000|604:0	-1	-1
2072	5	2:10000	1:5000|23:5000|601:0	101:5000|123:5000|604:0	-1	-1
2073	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2074	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2075	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2076	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2077	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2081	5	2:10000	1:5000|23:5000|601:0	101:5000|123:5000|604:0	-1	-1
2082	5	2:10000	1:5000|23:5000|601:0	101:5000|123:5000|604:0	-1	-1
2083	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2084	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2085	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2086	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
2087	5	2:10000	201:5000|243:5000|601:0	281:5000|323:5000|604:0	-1	-1
3061	1	3:10000	2:0|43:4000|602:6000	101:0|123:4000|604:6000	1021:10000	1001:10000
3062	1	3:10000	2:0|43:4000|602:6000	101:0|123:4000|604:6000	1021:10000	1001:10000
3063	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3064	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3065	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3066	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3067	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3071	1	3:10000	2:0|43:4000|602:6000	101:0|123:4000|604:6000	1021:10000	1001:10000
3072	1	3:10000	2:0|43:4000|602:6000	101:0|123:4000|604:6000	1021:10000	1001:10000
3073	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3074	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3075	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3076	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3077	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3081	1	3:10000	2:0|43:4000|602:6000	101:0|123:4000|604:6000	1021:10000	1001:10000
3082	1	3:10000	2:0|43:4000|602:6000	101:0|123:4000|604:6000	1021:10000	1001:10000
3083	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3084	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3085	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3086	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3087	1	3:10000	221:0|263:4000|602:6000	281:0|323:4000|604:6000	1161:10000	1141:10000
3061	2	3:10000	2:1000|43:5000|602:4000	101:1000|123:5000|604:4000	1021:10000	1001:10000
3062	2	3:10000	2:1000|43:5000|602:4000	101:1000|123:5000|604:4000	1021:10000	1001:10000
3063	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3064	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3065	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3066	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3067	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3071	2	3:10000	2:1000|43:5000|602:4000	101:1000|123:5000|604:4000	1021:10000	1001:10000
3072	2	3:10000	2:1000|43:5000|602:4000	101:1000|123:5000|604:4000	1021:10000	1001:10000
3073	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3074	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3075	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3076	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3077	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3081	2	3:10000	2:1000|43:5000|602:4000	101:1000|123:5000|604:4000	1021:10000	1001:10000
3082	2	3:10000	2:1000|43:5000|602:4000	101:1000|123:5000|604:4000	1021:10000	1001:10000
3083	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3084	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3085	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3086	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3087	2	3:10000	221:1000|263:5000|602:4000	281:1000|323:5000|604:4000	1161:10000	1141:10000
3061	3	3:10000	2:2000|43:6000|602:2000	101:2000|123:6000|604:2000	1021:10000	1001:10000
3062	3	3:10000	2:2000|43:6000|602:2000	101:2000|123:6000|604:2000	1021:10000	1001:10000
3063	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3064	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3065	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3066	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3067	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3071	3	3:10000	2:2000|43:6000|602:2000	101:2000|123:6000|604:2000	1021:10000	1001:10000
3072	3	3:10000	2:2000|43:6000|602:2000	101:2000|123:6000|604:2000	1021:10000	1001:10000
3073	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3074	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
3075	3	3:10000	221:2000|263:6000|602:2000	281:2000|323:6000|604:2000	1161:10000	1141:10000
