INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
321	牺牲Lv1	22	321	1	0	3	0	1	3	1	1	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	0	0	100	1201	350	0	-1	-1	-1	-1	-1	0	1	0	6040	6205	0	1	3	mofadun	2	3	2	9:0	0	1	0	0	0	0	0	0
322	牺牲Lv2	22	321	1	0	3	0	1	3	1	1	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	0	0	100	1202	350	0	-1	-1	-1	-1	-1	0	1	0	6040	6205	0	1	3	mofadun	2	3	2	9:0	0	1	0	0	0	0	0	0
323	牺牲Lv3	22	321	1	0	3	0	1	3	1	1	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	0	0	100	1203	350	0	-1	-1	-1	-1	-1	0	1	0	6040	6205	0	1	3	mofadun	2	3	2	9:0	0	1	0	0	0	0	0	0
324	牺牲Lv4	22	321	1	0	3	0	1	3	1	1	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	0	0	100	1204	350	0	-1	-1	-1	-1	-1	0	1	0	6040	6205	0	1	3	mofadun	2	3	2	9:0	0	1	0	0	0	0	0	0
325	牺牲Lv5	22	321	1	0	3	0	1	3	1	1	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	0	0	100	1205	350	0	-1	-1	-1	-1	-1	0	1	0	6040	6205	0	1	3	mofadun	2	3	2	9:0	0	1	0	0	0	0	0	0
326	牺牲Lv6	22	321	1	0	3	0	1	3	1	1	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	0	0	100	1206	350	0	-1	-1	-1	-1	-1	0	1	0	6040	6205	0	1	3	mofadun	2	3	2	9:0	0	1	0	0	0	0	0	0
327	牺牲Lv7	22	321	1	0	3	0	1	3	1	1	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	0	0	100	1207	350	0	-1	-1	-1	-1	-1	0	1	0	6040	6205	0	1	3	mofadun	2	3	2	9:0	0	1	0	0	0	0	0	0
328	牺牲Lv8	22	321	1	0	3	0	1	3	1	1	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	0	0	100	1208	350	0	-1	-1	-1	-1	-1	0	1	0	6040	6205	0	1	3	mofadun	2	3	2	9:0	0	1	0	0	0	0	0	0
329	牺牲Lv9	22	321	1	0	3	0	1	3	1	1	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	0	0	100	1209	350	0	-1	-1	-1	-1	-1	0	1	0	6040	6205	0	1	3	mofadun	2	3	2	9:0	0	1	0	0	0	0	0	0
330	牺牲Lv10	22	321	1	0	3	0	1	3	1	1	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	0	0	100	1210	350	0	-1	-1	-1	-1	-1	0	1	0	6040	6205	0	1	3	mofadun	2	3	2	9:0	0	1	0	0	0	0	0	0
341	祝福之锤Lv1	23	341	1	0	3	3	4	3	0	0	22	1551	2800	-1	-1	4	14100	0	0	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	81	6205	0	1	3	shengguangzhichui	2	3	2	5:0	0	1	300	0	0	0	0	0
342	祝福之锤Lv2	23	341	1	0	3	3	4	3	0	0	22	1552	2800	-1	-1	4	14100	0	0	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	82	6205	0	1	3	shengguangzhichui	2	3	2	5:0	0	1	300	0	0	0	0	0
343	祝福之锤Lv3	23	341	1	0	3	3	4	3	0	0	22	1553	2800	-1	-1	4	14100	0	0	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	83	6205	0	1	3	shengguangzhichui	2	3	2	5:0	0	1	300	0	0	0	0	0
344	祝福之锤Lv4	23	341	1	0	3	3	4	3	0	0	22	1554	2800	-1	-1	4	14100	0	0	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	84	6205	0	1	3	shengguangzhichui	2	3	2	5:0	0	1	300	0	0	0	0	0
345	祝福之锤Lv5	23	341	1	0	3	3	4	3	0	0	22	1555	2800	-1	-1	4	14100	0	0	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	85	6205	0	1	3	shengguangzhichui	2	3	2	5:0	0	1	300	0	0	0	0	0
346	祝福之锤Lv6	23	341	1	0	3	3	4	3	0	0	22	1556	2800	-1	-1	4	14100	0	0	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	86	6205	0	1	3	shengguangzhichui	2	3	2	5:0	0	1	300	0	0	0	0	0
347	祝福之锤Lv7	23	341	1	0	3	3	4	3	0	0	22	1557	2800	-1	-1	4	14100	0	0	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	87	6205	0	1	3	shengguangzhichui	2	3	2	5:0	0	1	300	0	0	0	0	0
348	祝福之锤Lv8	23	341	1	0	3	3	4	3	0	0	22	1558	2800	-1	-1	4	14100	0	0	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	88	6205	0	1	3	shengguangzhichui	2	3	2	5:0	0	1	300	0	0	0	0	0
349	祝福之锤Lv9	23	341	1	0	3	3	4	3	0	0	22	1559	2800	-1	-1	4	14100	0	0	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	89	6205	0	1	3	shengguangzhichui	2	3	2	5:0	0	1	300	0	0	0	0	0
350	祝福之锤Lv10	23	341	21	0	3	3	4	3	0	0	22	1560	10000	-1	-1	10	25000	0	0	0	0	1	20000	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	90	6205	0	1	3	shengguangzhichui	2	3	2	5:0	0	1	300	0	0	0	0	0
361	天堂之拳Lv1	24	361	21	0	8	3	4	0	0	0	22	1571	3000	-1	-1	1	1000	600	80	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	101	6205	0	1	4	shengguangzhichui	2	8	2	5:0	0	1	300	0	0	0	0	0
362	天堂之拳Lv2	24	361	1	0	8	3	4	0	0	0	22	1572	3000	-1	-1	1	1000	600	80	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	102	6205	0	1	4	shengguangzhichui	2	8	2	5:0	0	1	300	0	0	0	0	0
363	天堂之拳Lv3	24	361	1	0	8	3	4	0	0	0	22	1573	3000	-1	-1	1	1000	600	80	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	103	6205	0	1	4	shengguangzhichui	2	8	2	5:0	0	1	300	0	0	0	0	0
364	天堂之拳Lv4	24	361	1	0	8	3	4	0	0	0	22	1574	3000	-1	-1	1	1000	600	80	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	104	6205	0	1	4	shengguangzhichui	2	8	2	5:0	0	1	300	0	0	0	0	0
365	天堂之拳Lv5	24	361	1	0	8	3	4	0	0	0	22	1575	3000	-1	-1	1	1000	600	80	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	105	6205	0	1	4	shengguangzhichui	2	8	2	5:0	0	1	300	0	0	0	0	0
366	天堂之拳Lv6	24	361	1	0	8	3	4	0	0	0	22	1576	3000	-1	-1	1	1000	600	80	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	106	6205	0	1	4	shengguangzhichui	2	8	2	5:0	0	1	300	0	0	0	0	0
367	天堂之拳Lv7	24	361	1	0	8	3	4	0	0	0	22	1577	3000	-1	-1	1	1000	600	80	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	107	6205	0	1	4	shengguangzhichui	2	8	2	5:0	0	1	300	0	0	0	0	0
368	天堂之拳Lv8	24	361	1	0	8	3	4	0	0	0	22	1578	3000	-1	-1	1	1000	600	80	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	108	6205	0	1	4	shengguangzhichui	2	8	2	5:0	0	1	300	0	0	0	0	0
369	天堂之拳Lv9	24	361	1	0	8	3	4	0	0	0	22	1579	3000	-1	-1	1	1000	600	80	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	109	6205	0	1	4	shengguangzhichui	2	8	2	5:0	0	1	300	0	0	0	0	0
370	天堂之拳Lv10	24	361	1	0	8	3	4	0	0	0	22	1580	3000	-1	-1	1	1000	600	80	0	0	6	0	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	110	6205	0	1	4	shengguangzhichui	2	8	2	5:0	0	1	300	0	0	0	0	0
2401	隔月斩(怪物)	-1	2401	21	0	2	2	1	2	2	0	18	-1	1000	-1	-1	1	500	0	0	0	0	1	10000	0	0	0	400	0	-1	-1	-1	-1	-1	0	1	0	6503	6203	0	1	-1	zhongzhan	1	2	1	5:0	0	0	0	0	0	0	0	0
2402	旋风剑法(怪物)	-1	2402	21	0	1	4	1	2	5	0	18	-1	1000	-1	-1	1	500	0	0	0	0	1	8000	0	0	0	400	0	-1	-1	-1	-1	-1	0	1	0	6502	6203	0	1	-1	zhongzhan	1	1	2	6:0	0	0	0	0	0	0	0	0
2403	炼狱剑法(怪物)	-1	2403	21	0	1	2	1	2	1	0	18	-1	1000	-1	-1	1	500	0	0	0	0	1	30000	0	0	0	400	0	-1	-1	-1	-1	-1	0	1	0	6500	6203	0	1	-1	zhongzhan	1	1	2	5:0	0	0	0	0	0	0	0	0
2404	鬼影爪(怪物)	-1	2404	21	0	6	1	0	0	1	0	18	-1	1000	-1	-1	1	500	0	0	0	0	0	0	0	100	320	400	0	-1	-1	-1	-1	-1	0	1	0	6508	6205	0	1	-1	shengguangzhan	1	8	2	5:0	0	0	0	0	0	0	0	0
2405	圣体盾(怪物)	-1	2405	21	0	0	0	0	1	1	1	18	0	1000	0	0	0	500	0	0	0	0	0	0	0	100	300	400	0	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	-1	zhongzhan	0	0	0	5:0	0	0	0	0	0	0	0	0
2406	飞天一剑(怪物)	-1	2406	21	0	3	2	1	2	4	0	18	-1	1000	-1	-1	1	5000	0	0	0	0	1	20000	0	0	0	400	0	-1	-1	-1	-1	-1	0	1	0	6505	6203	0	1	-1	zhongzhan	1	3	2	5:0	0	0	0	0	0	0	0	0
2407	开天斩(怪物)	-1	2407	21	0	4	2	1	2	4	0	18	-1	1000	-1	-1	1	5000	0	0	0	0	1	30000	0	0	0	400	0	-1	-1	-1	-1	-1	0	1	0	6506	6203	0	1	-1	zhongzhan	1	4	2	5:0	0	0	0	0	0	0	0	0
2408	复仇之血	-1	2408	21	0	1	0	0	1	1	1	18	0	1000	0	0	0	500	0	0	0	0	0	0	0	100	185	400	0	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	7	zhongzhan	0	0	0	5:0	0	0	0	0	0	0	0	0
2409	守卫攻击(守卫)	-1	2409	1	0	3	1	0	0	1	0	4	-1	500	-1	-1	1	500	0	0	0	0	1	10000	0	0	0	400	0	-1	-1	-1	-1	-1	0	1	0	6503	6203	0	1	-1	zhongzhan	1	2	1	5:0	0	0	0	0	0	0	0	0
2410	火焰范围（怪物）	-1	2410	21	0	10	3	10	3	19	0	22	-1	1000	-1	-1	1	15000	0	0	0	0	1	18000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	0	5028	6201	0	1	3	-1	1	10	2	5:0	0	0	0	0	0	0	0	0
2501	小怪攻击	-1	2501	21	0	1	2	0	0	1	0	18	-1	1000	-1	-1	1	2000	0	0	0	0	1	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	-1	-1	1	1	2	5:0	0	0	0	0	0	0	0	0
2502	BOSS攻击	14001	2502	21	0	1	2	0	0	1	0	18	-1	1000	-1	-1	1	1000	0	0	0	0	1	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	-1	-1	1	1	2	5:0	0	0	0	0	0	0	0	0
2503	怪物物理攻击	-1	2503	21	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	2500	0	0	0	0	1	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	-1	-1	1	1	2	5:0	0	0	0	0	0	0	0	0
2504	怪物快速物理攻击	-1	2504	21	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	1500	0	0	0	0	1	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	-1	-1	1	3	2	5:0	0	0	0	0	0	0	0	0
2505	怪物诅咒物理攻击	-1	2505	21	0	3	1	0	0	1	0	0	-1	1000	-1	-1	1	2500	0	0	0	0	1	10000	0	100	2510	1000	0	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	-1	-1	1	3	2	5:0	0	0	0	0	0	0	0	0
2506	怪物远程火球术	-1	2506	21	0	6	1	0	0	1	0	0	-1	1000	-1	-1	1	2500	0	0	0	0	3	12000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	6212	5015	6201	0	1	1	-1	2	6	2	5:0	0	0	0	0	0	0	0	0
2507	怪物剧毒新星	-1	2507	21	0	5	3	5	3	8	0	22	-1	1000	-1	-1	1	15000	0	0	0	0	1	20000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	0	6006	6200	0	1	2	-1	1	5	2	5:0	0	0	0	0	0	0	0	0
2508	怪物暴风雪	-1	2508	21	0	6	3	4	0	0	0	22	2509	6000	-1	-1	1	15000	0	0	0	0	1	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	6	2	5:0	0	0	0	0	0	0	0	0
2509	怪物暴风雪伤害和范围	-1	2509	21	0	6	3	4	3	10	0	22	-1	6000	1000	500	5	15000	0	0	0	0	1	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	0	0	5040	0	0	-1	-1	2	6	2	5:0	0	0	0	0	0	0	0	0
2510	怪物闪电陷阱	-1	2510	3	0	6	3	3	0	0	0	22	2511	6000	-1	-1	1	15000	0	0	0	0	2	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	0	441	5011	0	0	2	-1	2	4	3	6:0	0	0	0	0	0	0	0	0
2511	闪电陷阱后续伤害和范围	-1	2511	0	0	6	3	3	3	6	0	22	-1	6000	1000	500	5	15000	0	0	0	0	2	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	0	0	5011	0	0	-1	-1	2	4	3	6:0	0	0	0	0	0	0	0	0
2512	怪物传送	-1	2512	3	0	12	1	0	0	0	0	0	-1	6000	-1	-1	1	15000	0	0	0	1	1	0	0	0	0	1000	0	-1	-1	-1	-1	-1	2	1	0	6018	0	0	0	2	-1	2	8	3	-1	0	0	0	0	0	0	0	0
2513	怪物火焰魔眼	-1	2513	2	0	6	1	0	0	1	0	0	-1	1000	-1	-1	1	10000	0	0	0	0	0	0	0	100	4004	1000	0	-1	-1	-1	-1	-1	0	1	5018	0	6201	0	1	5	-1	1	6	2	6:0	0	0	0	0	0	0	0	0
2514	怪物远程冰锥术	-1	2514	21	0	6	1	0	0	1	0	0	-1	1000	-1	-1	1	2500	0	0	0	0	4	12000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	6210	6008	6202	0	1	1	-1	2	6	2	5:0	0	0	0	0	0	0	0	0
2515	怪物远程白骨术	-1	2515	21	0	6	1	0	0	1	0	0	-1	1000	-1	-1	1	2500	0	0	0	0	5	12000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	6213	6009	6200	0	1	1	-1	2	6	2	5:0	0	0	0	0	0	0	0	0
2516	BOSS远程白骨术	-1	2516	21	0	12	1	0	0	1	0	0	-1	1000	-1	-1	1	3000	0	0	0	0	1	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	6213	600	6200	0	1	1	-1	2	12	2	5:0	0	0	0	0	0	0	0	0
2517	BOSS中距离物理攻击	-1	2517	21	0	5	1	0	0	1	0	0	-1	1000	-1	-1	1	2500	0	0	0	0	1	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	0	0	6203	0	1	-1	-1	1	5	2	5:0	0	0	0	0	0	0	0	0
2518	小怪攻击(全体)	-1	2518	21	0	1	2	0	0	1	0	511	-1	1000	-1	-1	1	2000	0	0	0	0	1	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	-1	-1	1	1	2	5:0	0	0	0	0	0	0	0	0
2519	典狱长攻击	14001	2519	21	0	2	1	0	0	1	0	18	-1	1000	-1	-1	1	1000	0	0	0	0	1	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	-1	-1	1	1	2	5:0	0	0	0	0	0	0	0	0
3001	宠物普攻Lv1	3001	3001	21	0	1	1	0	2	1	0	4	-1	1000	-1	-1	1	1000	0	0	0	0	1	10000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	6504	0	6203	0	1	1	zhongzhan	1	1	2	5:0	1	1	0	0	0	0	0	0
3002	宠物普攻Lv2	3001	3001	21	0	1	1	0	2	1	0	4	-1	1000	-1	-1	1	1000	0	0	0	0	1	10500	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	6504	0	6203	0	1	1	zhongzhan	1	1	2	5:0	1	1	0	0	0	0	0	0
3003	宠物普攻Lv3	3001	3001	21	0	1	1	0	2	1	0	4	-1	1000	-1	-1	1	1000	0	0	0	0	1	11000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	6504	0	6203	0	1	1	zhongzhan	1	1	2	5:0	1	1	0	0	0	0	0	0
3004	宠物普攻Lv4	3001	3001	21	0	1	1	0	2	1	0	4	-1	1000	-1	-1	1	1000	0	0	0	0	1	11500	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	6504	0	6203	0	1	1	zhongzhan	1	1	2	5:0	1	1	0	0	0	0	0	0
3005	宠物普攻Lv5	3001	3001	21	0	1	1	0	2	1	0	4	-1	1000	-1	-1	1	1000	0	0	0	0	1	12000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	6504	0	6203	0	1	1	zhongzhan	1	1	2	5:0	1	1	0	0	0	0	0	0
3006	宠物普攻Lv6	3001	3001	21	0	1	1	0	2	1	0	4	-1	1000	-1	-1	1	1000	0	0	0	0	1	12500	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	6504	0	6203	0	1	1	zhongzhan	1	1	2	5:0	1	1	0	0	0	0	0	0
3007	宠物普攻Lv7	3001	3001	21	0	1	1	0	2	1	0	4	-1	1000	-1	-1	1	1000	0	0	0	0	1	13000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	6504	0	6203	0	1	1	zhongzhan	1	1	2	5:0	1	1	0	0	0	0	0	0
3008	宠物普攻Lv8	3001	3001	21	0	1	1	0	2	1	0	4	-1	1000	-1	-1	1	1000	0	0	0	0	1	13500	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	6504	0	6203	0	1	1	zhongzhan	1	1	2	5:0	1	1	0	0	0	0	0	0
3009	宠物普攻Lv9	3001	3001	21	0	1	1	0	2	1	0	4	-1	1000	-1	-1	1	1000	0	0	0	0	1	14000	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	6504	0	6203	0	1	1	zhongzhan	1	1	2	5:0	1	1	0	0	0	0	0	0
3010	宠物普攻Lv10	3001	3001	21	0	1	1	0	2	1	0	4	-1	1000	-1	-1	1	1000	0	0	0	0	1	14500	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	6504	0	6203	0	1	1	zhongzhan	1	1	2	5:0	1	1	0	0	0	0	0	0
3021	鹰击长空Lv1	11002	3021	21	0	8	2	8	2	4	0	22	-1	1000	-1	-1	1	3000	600	0	0	0	4	6000	0	0	0	400	0	-1	-1	-1	-1	-1	0	2	6212	241	6201	0	1	1	-1	2	8	2	6:0	1	1	600	0	0	0	0	0
3022	鹰击长空Lv2	11002	3021	21	0	8	2	8	2	4	0	22	-1	1000	-1	-1	1	3000	600	0	0	0	4	6500	0	0	0	400	0	-1	-1	-1	-1	-1	0	2	6212	241	6201	0	1	1	-1	2	8	2	6:0	1	1	600	0	0	0	0	0
3023	鹰击长空Lv3	11002	3021	21	0	8	2	8	2	4	0	22	-1	1000	-1	-1	1	3000	600	0	0	0	4	7000	0	0	0	400	0	-1	-1	-1	-1	-1	0	2	6212	241	6201	0	1	1	-1	2	8	2	6:0	1	1	600	0	0	0	0	0
3024	鹰击长空Lv4	11002	3021	21	0	8	2	8	2	4	0	22	-1	1000	-1	-1	1	3000	600	0	0	0	4	7500	0	0	0	400	0	-1	-1	-1	-1	-1	0	2	6212	241	6201	0	1	1	-1	2	8	2	6:0	1	1	600	0	0	0	0	0
3025	鹰击长空Lv5	11002	3021	21	0	8	2	8	2	4	0	22	-1	1000	-1	-1	1	3000	600	0	0	0	4	8000	0	0	0	400	0	-1	-1	-1	-1	-1	0	2	6212	241	6201	0	1	1	-1	2	8	2	6:0	1	1	600	0	0	0	0	0
3026	鹰击长空Lv6	11002	3021	21	0	8	2	8	2	4	0	22	-1	1000	-1	-1	1	3000	600	0	0	0	4	10000	0	0	0	400	0	-1	-1	-1	-1	-1	0	2	6212	241	6201	0	1	1	-1	2	8	2	6:0	1	1	600	0	0	0	0	0
3027	鹰击长空Lv7	11002	3021	21	0	8	2	8	2	4	0	22	-1	1000	-1	-1	1	3000	600	0	0	0	4	10500	0	0	0	400	0	-1	-1	-1	-1	-1	0	2	6212	241	6201	0	1	1	-1	2	8	2	6:0	1	1	600	0	0	0	0	0
3028	鹰击长空Lv8	11002	3021	21	0	8	2	8	2	4	0	22	-1	1000	-1	-1	1	3000	600	0	0	0	4	11000	0	0	0	400	0	-1	-1	-1	-1	-1	0	2	6212	241	6201	0	1	1	-1	2	8	2	6:0	1	1	600	0	0	0	0	0
3029	鹰击长空Lv9	11002	3021	21	0	8	2	8	2	4	0	22	-1	1000	-1	-1	1	3000	600	0	0	0	4	11500	0	0	0	400	0	-1	-1	-1	-1	-1	0	2	6212	241	6201	0	1	1	-1	2	8	2	6:0	1	1	600	0	0	0	0	0
3030	鹰击长空Lv10	11002	3021	21	0	8	2	8	2	4	0	22	-1	1000	-1	-1	1	3000	600	0	0	0	4	13000	0	0	0	400	0	-1	-1	-1	-1	-1	0	2	6212	241	6201	0	1	1	-1	2	8	2	6:0	1	1	600	0	0	0	0	0
3041	雷霆射击Lv1	-1	3041	21	0	12	3	4	0	0	0	22	3101	6000	-1	-1	1	5000	0	0	0	0	4	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	12	2	7:0	0	0	0	0	0	0	0	0
3042	雷霆射击Lv2	-1	3042	21	0	12	3	4	0	0	0	22	3102	6000	-1	-1	1	5000	0	0	0	0	4	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	12	2	7:0	0	0	0	0	0	0	0	0
3043	雷霆射击Lv3	-1	3043	21	0	12	3	4	0	0	0	22	3103	6000	-1	-1	1	5000	0	0	0	0	4	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	12	2	7:0	0	0	0	0	0	0	0	0
3044	雷霆射击Lv4	-1	3044	21	0	12	3	4	0	0	0	22	3104	6000	-1	-1	1	5000	0	0	0	0	4	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	12	2	7:0	0	0	0	0	0	0	0	0
3045	雷霆射击Lv5	-1	3045	21	0	12	3	4	0	0	0	22	3105	6000	-1	-1	1	5000	0	0	0	0	4	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	12	2	7:0	0	0	0	0	0	0	0	0
3046	雷霆射击Lv6	-1	3046	21	0	12	3	4	0	0	0	22	3106	6000	-1	-1	1	5000	0	0	0	0	4	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	12	2	7:0	0	0	0	0	0	0	0	0
3047	雷霆射击Lv7	-1	3047	21	0	12	3	4	0	0	0	22	3107	6000	-1	-1	1	5000	0	0	0	0	4	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	12	2	7:0	0	0	0	0	0	0	0	0
3048	雷霆射击Lv8	-1	3048	21	0	12	3	4	0	0	0	22	3108	6000	-1	-1	1	5000	0	0	0	0	4	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	12	2	7:0	0	0	0	0	0	0	0	0
3049	雷霆射击Lv9	-1	3049	21	0	12	3	4	0	0	0	22	3109	6000	-1	-1	1	5000	0	0	0	0	4	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	12	2	7:0	0	0	0	0	0	0	0	0
3050	雷霆射击Lv10	-1	3050	21	0	12	3	4	0	0	0	22	3110	6000	-1	-1	1	5000	0	0	0	0	4	0	0	0	0	1000	0	-1	-1	-1	-1	-1	0	2	5019	6300	5040	0	0	-1	-1	2	12	2	7:0	0	0	0	0	0	0	0	0
3061	弱点打击Lv1	11003	3061	21	0	12	1	0	0	1	0	0	-1	1000	-1	-1	1	5000	0	0	0	0	4	9750	0	20	7101	400	0	-1	-1	-1	-1	-1	0	1	6213	6009	6200	0	1	2	-1	2	12	2	7:0	1	1	0	0	0	0	0	0
3062	弱点打击Lv2	11003	3061	21	0	12	1	0	0	1	0	0	-1	1000	-1	-1	1	5000	0	0	0	0	4	12000	0	20	7102	400	0	-1	-1	-1	-1	-1	0	1	6213	6009	6200	0	1	2	-1	2	12	2	7:0	1	1	0	0	0	0	0	0
3063	弱点打击Lv3	11003	3061	21	0	12	1	0	0	1	0	0	-1	1000	-1	-1	1	5000	0	0	0	0	4	14250	0	20	7103	400	0	-1	-1	-1	-1	-1	0	1	6213	6009	6200	0	1	2	-1	2	12	2	7:0	1	1	0	0	0	0	0	0
3064	弱点打击Lv4	11003	3061	21	0	12	1	0	0	1	0	0	-1	1000	-1	-1	1	5000	0	0	0	0	4	16250	0	20	7104	400	0	-1	-1	-1	-1	-1	0	1	6213	6009	6200	0	1	2	-1	2	12	2	7:0	1	1	0	0	0	0	0	0
3065	弱点打击Lv5	11003	3061	21	0	12	1	0	0	1	0	0	-1	1000	-1	-1	1	5000	0	0	0	0	4	18500	0	20	7105	400	0	-1	-1	-1	-1	-1	0	1	6213	6009	6200	0	1	2	-1	2	12	2	7:0	1	1	0	0	0	0	0	0
3066	弱点打击Lv6	11003	3061	21	0	12	1	0	0	1	0	0	-1	1000	-1	-1	1	5000	0	0	0	0	4	23000	0	25	7106	400	0	-1	-1	-1	-1	-1	0	1	6213	6009	6200	0	1	2	-1	2	12	2	7:0	1	1	0	0	0	0	0	0
3067	弱点打击Lv7	11003	3061	21	0	12	1	0	0	1	0	0	-1	1000	-1	-1	1	5000	0	0	0	0	4	25250	0	25	7107	400	0	-1	-1	-1	-1	-1	0	1	6213	6009	6200	0	1	2	-1	2	12	2	7:0	1	1	0	0	0	0	0	0
3068	弱点打击Lv8	11003	3061	21	0	12	1	0	0	1	0	0	-1	1000	-1	-1	1	5000	0	0	0	0	4	27500	0	25	7108	400	0	-1	-1	-1	-1	-1	0	1	6213	6009	6200	0	1	2	-1	2	12	2	7:0	1	1	0	0	0	0	0	0
3069	弱点打击Lv9	11003	3061	21	0	12	1	0	0	1	0	0	-1	1000	-1	-1	1	5000	0	0	0	0	4	29750	0	25	7109	400	0	-1	-1	-1	-1	-1	0	1	6213	6009	6200	0	1	2	-1	2	12	2	7:0	1	1	0	0	0	0	0	0
