INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT
75	952:1:2940	1:441990|4:11786|5:29466|6:5893|7:14733	20	6001	75	6101	75	#FFA500|日圆诀lv75:对当前目标boss造成|#00ff00|（当前倍攻*75）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv75:对当前目标boss造成|#00ff00|（当前倍攻+75）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
76	952:1:3084	1:456210|4:12166|5:30414|6:6083|7:15207	20	6001	76	6101	76	#FFA500|日圆诀lv76:对当前目标boss造成|#00ff00|（当前倍攻*76）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv76:对当前目标boss造成|#00ff00|（当前倍攻+76）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
77	952:1:3228	1:470700|4:12552|5:31380|6:6276|7:15690	20	6001	77	6101	77	#FFA500|日圆诀lv77:对当前目标boss造成|#00ff00|（当前倍攻*77）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv77:对当前目标boss造成|#00ff00|（当前倍攻+77）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
78	952:1:3372	1:485460|4:12946|5:32364|6:6473|7:16182	20	6001	78	6101	78	#FFA500|日圆诀lv78:对当前目标boss造成|#00ff00|（当前倍攻*78）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv78:对当前目标boss造成|#00ff00|（当前倍攻+78）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
79	952:1:3516	1:500490|4:13346|5:33366|6:6673|7:16683	20	6001	79	6101	79	#FFA500|日圆诀lv79:对当前目标boss造成|#00ff00|（当前倍攻*79）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv79:对当前目标boss造成|#00ff00|（当前倍攻+79）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
80	952:1:3660	1:515880|4:13757|5:34392|6:6878|7:17196	20	6001	80	6101	80	#FFA500|日圆诀lv80:对当前目标boss造成|#00ff00|（当前倍攻*80）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv80:对当前目标boss造成|#00ff00|（当前倍攻+80）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	551
81	952:1:3876	1:531630|4:14177|5:35442|6:7088|7:17721	20	6001	81	6101	81	#FFA500|日圆诀lv81:对当前目标boss造成|#00ff00|（当前倍攻*81）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv81:对当前目标boss造成|#00ff00|（当前倍攻+81）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
82	952:1:4092	1:547740|4:14606|5:36516|6:7303|7:18258	20	6001	82	6101	82	#FFA500|日圆诀lv82:对当前目标boss造成|#00ff00|（当前倍攻*82）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv82:对当前目标boss造成|#00ff00|（当前倍攻+82）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
83	952:1:4308	1:564210|4:15046|5:37614|6:7523|7:18807	20	6001	83	6101	83	#FFA500|日圆诀lv83:对当前目标boss造成|#00ff00|（当前倍攻*83）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv83:对当前目标boss造成|#00ff00|（当前倍攻+83）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
84	952:1:4524	1:581040|4:15494|5:38736|6:7747|7:19368	20	6001	84	6101	84	#FFA500|日圆诀lv84:对当前目标boss造成|#00ff00|（当前倍攻*84）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv84:对当前目标boss造成|#00ff00|（当前倍攻+84）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
85	952:1:4740	1:598230|4:15953|5:39882|6:7976|7:19941	20	6001	85	6101	85	#FFA500|日圆诀lv85:对当前目标boss造成|#00ff00|（当前倍攻*85）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv85:对当前目标boss造成|#00ff00|（当前倍攻+85）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
86	952:1:4956	1:615780|4:16421|5:41052|6:8210|7:20526	20	6001	86	6101	86	#FFA500|日圆诀lv86:对当前目标boss造成|#00ff00|（当前倍攻*86）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv86:对当前目标boss造成|#00ff00|（当前倍攻+86）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
87	952:1:5172	1:633690|4:16898|5:42246|6:8449|7:21123	20	6001	87	6101	87	#FFA500|日圆诀lv87:对当前目标boss造成|#00ff00|（当前倍攻*87）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv87:对当前目标boss造成|#00ff00|（当前倍攻+87）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
88	952:1:5388	1:651960|4:17386|5:43464|6:8693|7:21732	20	6001	88	6101	88	#FFA500|日圆诀lv88:对当前目标boss造成|#00ff00|（当前倍攻*88）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv88:对当前目标boss造成|#00ff00|（当前倍攻+88）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
89	952:1:5604	1:670590|4:17882|5:44706|6:8941|7:22353	20	6001	89	6101	89	#FFA500|日圆诀lv89:对当前目标boss造成|#00ff00|（当前倍攻*89）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv89:对当前目标boss造成|#00ff00|（当前倍攻+89）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
90	952:1:5820	1:689580|4:18389|5:45972|6:9194|7:22986	20	6001	90	6101	90	#FFA500|日圆诀lv90:对当前目标boss造成|#00ff00|（当前倍攻*90）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv90:对当前目标boss造成|#00ff00|（当前倍攻+90）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	551
91	952:1:6120	1:708930|4:18905|5:47262|6:9452|7:23631	20	6001	91	6101	91	#FFA500|日圆诀lv91:对当前目标boss造成|#00ff00|（当前倍攻*91）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv91:对当前目标boss造成|#00ff00|（当前倍攻+91）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
92	952:1:6420	1:728640|4:19430|5:48576|6:9715|7:24288	20	6001	92	6101	92	#FFA500|日圆诀lv92:对当前目标boss造成|#00ff00|（当前倍攻*92）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv92:对当前目标boss造成|#00ff00|（当前倍攻+92）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
93	952:1:6720	1:748710|4:19966|5:49914|6:9983|7:24957	20	6001	93	6101	93	#FFA500|日圆诀lv93:对当前目标boss造成|#00ff00|（当前倍攻*93）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv93:对当前目标boss造成|#00ff00|（当前倍攻+93）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
94	952:1:7020	1:769140|4:20510|5:51276|6:10255|7:25638	20	6001	94	6101	94	#FFA500|日圆诀lv94:对当前目标boss造成|#00ff00|（当前倍攻*94）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv94:对当前目标boss造成|#00ff00|（当前倍攻+94）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
95	952:1:7320	1:789930|4:21065|5:52662|6:10532|7:26331	20	6001	95	6101	95	#FFA500|日圆诀lv95:对当前目标boss造成|#00ff00|（当前倍攻*95）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv95:对当前目标boss造成|#00ff00|（当前倍攻+95）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
96	952:1:7620	1:811080|4:21629|5:54072|6:10814|7:27036	20	6001	96	6101	96	#FFA500|日圆诀lv96:对当前目标boss造成|#00ff00|（当前倍攻*96）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv96:对当前目标boss造成|#00ff00|（当前倍攻+96）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
97	952:1:7920	1:832590|4:22202|5:55506|6:11101|7:27753	20	6001	97	6101	97	#FFA500|日圆诀lv97:对当前目标boss造成|#00ff00|（当前倍攻*97）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv97:对当前目标boss造成|#00ff00|（当前倍攻+97）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
98	952:1:8220	1:854460|4:22786|5:56964|6:11393|7:28482	20	6001	98	6101	98	#FFA500|日圆诀lv98:对当前目标boss造成|#00ff00|（当前倍攻*98）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv98:对当前目标boss造成|#00ff00|（当前倍攻+98）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
99	952:1:8520	1:876690|4:23378|5:58446|6:11689|7:29223	20	6001	99	6101	99	#FFA500|日圆诀lv99:对当前目标boss造成|#00ff00|（当前倍攻*99）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv99:对当前目标boss造成|#00ff00|（当前倍攻+99）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	-1
100	952:1:8820	1:900000|4:24000|5:60000|6:12000|7:30000	20	6001	100	6101	100	#FFA500|日圆诀lv100:对当前目标boss造成|#00ff00|（当前倍攻*100）倍|#FFA500|的倍攻伤害|n|#BFEFFF|月缺诀lv100:对当前目标boss造成|#00ff00|（当前倍攻+100）倍|#BFEFFF|的倍攻伤害,并且吸取该boss的日月精华	551
