INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT
1001	1001	0	1	旋风斩Lv1	免疫控制	1	4	3000	0	33:0:30	85	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
1002	1001	0	1	旋风斩Lv2	免疫控制	1	4	3000	0	33:0:30	85	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
1003	1001	0	1	旋风斩Lv3	免疫控制	1	4	3000	0	33:0:30	85	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
1004	1001	0	1	旋风斩Lv4	免疫控制	1	4	3000	0	33:0:30	85	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
1005	1001	0	1	旋风斩Lv5	免疫控制	1	4	3000	0	33:0:30	85	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
1006	1001	0	1	旋风斩Lv6	免疫控制	1	4	3000	0	33:0:30	85	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
1007	1001	0	1	旋风斩Lv7	免疫控制	1	4	3000	0	33:0:30	85	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
1008	1001	0	1	旋风斩Lv8	免疫控制	1	4	3000	0	33:0:30	85	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
1009	1001	0	1	旋风斩Lv9	免疫控制	1	4	3000	0	33:0:30	85	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
1010	1001	0	1	旋风斩Lv10	免疫控制	1	4	3000	0	33:0:30	85	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
1101	1101	0	1	警觉Lv1	增加57.5%的防御值，持续10秒	1	106	10000	0	6:5750:0	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1102	1101	0	2	警觉Lv2	增加60%的防御值，持续10秒	1	106	10000	0	6:6000:0	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1103	1101	0	3	警觉Lv3	增加62.5%的防御值，持续10秒	1	106	10000	0	6:6250:0	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1104	1101	0	4	警觉Lv4	增加65.5%的防御值，持续10秒	1	106	10000	0	6:6550:0	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1105	1101	0	5	警觉Lv5	增加68%的防御值，持续10秒	1	106	10000	0	6:6800:0	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1106	1101	0	6	警觉Lv6	增加73%的防御值，持续10秒	1	106	10000	0	6:7300:0	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1107	1101	0	7	警觉Lv7	增加75.5%的防御值，持续10秒	1	106	10000	0	6:7550:0	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1108	1101	0	8	警觉Lv8	增加78%的防御值，持续10秒	1	106	10000	0	6:7800:0	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1109	1101	0	9	警觉Lv9	增加80.5%的防御值，持续10秒	1	106	10000	0	6:8050:0	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1110	1101	0	10	警觉Lv10	增加86%的防御值，持续10秒	1	106	10000	0	6:8600:0	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1201	1201	0	1	牺牲Lv1	降低血量上限，增加基础攻击和忽视闪避，持续15秒	1	0	15000	0	1:-1000:0|4:1000:0|5:1000:0|20:0:100	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1202	1201	0	2	牺牲Lv2	降低血量上限，增加基础攻击和忽视闪避，持续15秒	1	0	15000	0	1:-1000:0|4:1100:0|5:1100:0|20:0:110	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1203	1201	0	3	牺牲Lv3	降低血量上限，增加基础攻击和忽视闪避，持续15秒	1	0	15000	0	1:-1000:0|4:1200:0|5:1200:0|20:0:120	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1204	1201	0	4	牺牲Lv4	降低血量上限，增加基础攻击和忽视闪避，持续15秒	1	0	15000	0	1:-1000:0|4:1300:0|5:1300:0|20:0:130	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1205	1201	0	5	牺牲Lv5	降低血量上限，增加基础攻击和忽视闪避，持续15秒	1	0	15000	0	1:-1000:0|4:1400:0|5:1400:0|20:0:140	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1206	1201	0	6	牺牲Lv6	降低血量上限，增加基础攻击和忽视闪避，持续15秒	1	0	15000	0	1:-1000:0|4:1600:0|5:1600:0|20:0:160	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1207	1201	0	7	牺牲Lv7	降低血量上限，增加基础攻击和忽视闪避，持续15秒	1	0	15000	0	1:-1000:0|4:1700:0|5:1700:0|20:0:170	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1208	1201	0	8	牺牲Lv8	降低血量上限，增加基础攻击和忽视闪避，持续15秒	1	0	15000	0	1:-1000:0|4:1800:0|5:1800:0|20:0:180	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1209	1201	0	9	牺牲Lv9	降低血量上限，增加基础攻击和忽视闪避，持续15秒	1	0	15000	0	1:-1000:0|4:1900:0|5:1900:0|20:0:190	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1210	1201	0	10	牺牲Lv10	降低血量上限，增加基础攻击和忽视闪避，持续15秒	1	0	15000	0	1:-1000:0|4:2200:0|5:2200:0|20:0:220	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1401	1401	3	1	凝视Lv1	被火焰魔眼凝视，持续受到火焰伤害，持续5秒	0	108	5000	1000	0	85	1	0	1	10000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1402	1401	3	2	凝视Lv2	被火焰魔眼凝视，持续受到火焰伤害，持续5秒	0	108	5000	1000	0	85	1	0	1	11000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1403	1401	3	3	凝视Lv3	被火焰魔眼凝视，持续受到火焰伤害，持续5秒	0	108	5000	1000	0	85	1	0	1	12000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1404	1401	3	4	凝视Lv4	被火焰魔眼凝视，持续受到火焰伤害，持续5秒	0	108	5000	1000	0	85	1	0	1	13000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1405	1401	3	5	凝视Lv5	被火焰魔眼凝视，持续受到火焰伤害，持续5秒	0	108	5000	1000	0	85	1	0	1	14000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1406	1401	3	6	凝视Lv6	被火焰魔眼凝视，持续受到火焰伤害，持续5秒	0	108	5000	1000	0	85	1	0	1	16000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1407	1401	3	7	凝视Lv7	被火焰魔眼凝视，持续受到火焰伤害，持续5秒	0	108	5000	1000	0	85	1	0	1	17000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1408	1401	3	8	凝视Lv8	被火焰魔眼凝视，持续受到火焰伤害，持续5秒	0	108	5000	1000	0	85	1	0	1	18000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1409	1401	3	9	凝视Lv9	被火焰魔眼凝视，持续受到火焰伤害，持续5秒	0	108	5000	1000	0	85	1	0	1	19000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1410	1401	3	10	凝视Lv10	被火焰魔眼凝视，持续受到火焰伤害，持续5秒	0	108	5000	1000	0	85	1	0	1	22000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1501	1501	4	1	毒素Lv1	受到毒素伤害，持续5秒	0	114	5000	1000	0	50	1	3	1	4000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1502	1501	4	2	毒素Lv2	受到毒素伤害，持续5秒	0	114	5000	1000	0	50	1	3	1	4200	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1503	1501	4	3	毒素Lv3	受到毒素伤害，持续5秒	0	114	5000	1000	0	50	1	3	1	4400	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1504	1501	4	4	毒素Lv4	受到毒素伤害，持续5秒	0	114	5000	1000	0	50	1	3	1	4600	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1505	1501	4	5	毒素Lv5	受到毒素伤害，持续5秒	0	114	5000	1000	0	50	1	3	1	4800	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1506	1501	4	6	毒素Lv6	受到毒素伤害，持续5秒	0	114	5000	1000	0	50	1	3	1	5400	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1507	1501	4	7	毒素Lv7	受到毒素伤害，持续5秒	0	114	5000	1000	0	50	1	3	1	5600	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1508	1501	4	8	毒素Lv8	受到毒素伤害，持续5秒	0	114	5000	1000	0	50	1	3	1	5800	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1509	1501	4	9	毒素Lv9	受到毒素伤害，持续5秒	0	114	5000	1000	0	50	1	3	1	6000	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1510	1501	4	10	毒素Lv10	受到毒素伤害，持续5秒	0	114	5000	1000	0	50	1	3	1	6600	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1701	1701	0	1	电荷Lv1	全抗性降低，持续10秒	0	0	10000	0	7:0:-79|8:0:-79|9:0:-79|10:0:-79|11:0:-79|12:0:-79	50	1	3	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1702	1701	0	2	电荷Lv2	全抗性降低，持续10秒	0	0	10000	0	7:0:-117|8:0:-117|9:0:-117|10:0:-117|11:0:-117|12:0:-117	50	1	3	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1703	1701	0	3	电荷Lv3	全抗性降低，持续10秒	0	0	10000	0	7:0:-154|8:0:-154|9:0:-154|10:0:-154|11:0:-154|12:0:-154	50	1	3	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1704	1701	0	4	电荷Lv4	全抗性降低，持续10秒	0	0	10000	0	7:0:-192|8:0:-192|9:0:-192|10:0:-192|11:0:-192|12:0:-192	50	1	3	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1705	1701	0	5	电荷Lv5	全抗性降低，持续10秒	0	0	10000	0	7:0:-229|8:0:-229|9:0:-229|10:0:-229|11:0:-229|12:0:-229	50	1	3	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1706	1701	0	6	电荷Lv6	全抗性降低，持续10秒	0	0	10000	0	7:0:-305|8:0:-305|9:0:-305|10:0:-305|11:0:-305|12:0:-305	50	1	3	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1707	1701	0	7	电荷Lv7	全抗性降低，持续10秒	0	0	10000	0	7:0:-342|8:0:-342|9:0:-342|10:0:-342|11:0:-342|12:0:-342	50	1	3	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1708	1701	0	8	电荷Lv8	全抗性降低，持续10秒	0	0	10000	0	7:0:-380|8:0:-380|9:0:-380|10:0:-380|11:0:-380|12:0:-380	50	1	3	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1709	1701	0	9	电荷Lv9	全抗性降低，持续10秒	0	0	10000	0	7:0:-417|8:0:-417|9:0:-417|10:0:-417|11:0:-417|12:0:-417	50	1	3	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
1710	1701	0	10	电荷Lv10	全抗性降低，持续10秒	0	0	10000	0	7:0:-492|8:0:-492|9:0:-492|10:0:-492|11:0:-492|12:0:-492	50	1	3	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2001	2001	0	1	碎甲Lv1	防御值降低，持续10秒	0	107	7000	0	6:0:-400	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2002	2001	0	2	碎甲Lv2	防御值降低，持续10秒	0	107	7000	0	6:0:-600	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2003	2001	0	3	碎甲Lv3	防御值降低，持续10秒	0	107	7000	0	6:0:-900	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2004	2001	0	4	碎甲Lv4	防御值降低，持续10秒	0	107	7000	0	6:0:-1100	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2005	2001	0	5	碎甲Lv5	防御值降低，持续10秒	0	107	7000	0	6:0:-1300	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2006	2001	0	6	碎甲Lv6	防御值降低，持续10秒	0	107	7000	0	6:0:-1700	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2007	2001	0	7	碎甲Lv7	防御值降低，持续10秒	0	107	7000	0	6:0:-1900	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2008	2001	0	8	碎甲Lv8	防御值降低，持续10秒	0	107	7000	0	6:0:-2100	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2009	2001	0	9	碎甲Lv9	防御值降低，持续10秒	0	107	7000	0	6:0:-2300	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2010	2001	0	10	碎甲Lv10	防御值降低，持续10秒	0	107	7000	0	6:0:-2700	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2021	2021	1	1	撕裂Lv1	不断失血，持续5秒	0	112	6000	1000	0	50	1	0	1	1056	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	0
2022	2021	1	2	撕裂Lv2	不断失血，持续5秒	0	112	6000	1000	0	50	1	0	1	1136	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	0
2023	2021	1	3	撕裂Lv3	不断失血，持续5秒	0	112	6000	1000	0	50	1	0	1	1232	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	0
2024	2021	1	4	撕裂Lv4	不断失血，持续5秒	0	112	6000	1000	0	50	1	0	1	1328	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	0
2025	2021	1	5	撕裂Lv5	不断失血，持续5秒	0	112	6000	1000	0	50	1	0	1	1424	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	0
2026	2021	1	6	撕裂Lv6	不断失血，持续5秒	0	112	6000	1000	0	50	1	0	1	1600	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	0
2027	2021	1	7	撕裂Lv7	不断失血，持续5秒	0	112	6000	1000	0	50	1	0	1	1696	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	0
2028	2021	1	8	撕裂Lv8	不断失血，持续5秒	0	112	6000	1000	0	50	1	0	1	1792	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	0
2029	2021	1	9	撕裂Lv9	不断失血，持续5秒	0	112	6000	1000	0	50	1	0	1	1872	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	0
2030	2021	1	10	撕裂Lv10	不断失血，持续5秒	0	112	6000	1000	0	50	1	0	1	2064	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	0
2041	2041	0	1	愈战愈勇Lv1	基础攻击提升，持续10秒	1	104	6000	0	4:0:218|5:0:218	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2042	2041	0	2	愈战愈勇Lv2	基础攻击提升，持续10秒	1	104	6000	0	4:0:326|5:0:326	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2043	2041	0	3	愈战愈勇Lv3	基础攻击提升，持续10秒	1	104	6000	0	4:0:435|5:0:435	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2044	2041	0	4	愈战愈勇Lv4	基础攻击提升，持续10秒	1	104	6000	0	4:0:544|5:0:544	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2045	2041	0	5	愈战愈勇Lv5	基础攻击提升，持续10秒	1	104	6000	0	4:0:653|5:0:653	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2046	2041	0	6	愈战愈勇Lv6	基础攻击提升，持续10秒	1	104	6000	0	4:0:871|5:0:871	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2047	2041	0	7	愈战愈勇Lv7	基础攻击提升，持续10秒	1	104	6000	0	4:0:979|5:0:979	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2048	2041	0	8	愈战愈勇Lv8	基础攻击提升，持续10秒	1	104	6000	0	4:0:1088|5:0:1088	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2049	2041	0	9	愈战愈勇Lv9	基础攻击提升，持续10秒	1	104	6000	0	4:0:1197|5:0:1197	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2050	2041	0	10	愈战愈勇Lv10	基础攻击提升，持续10秒	1	104	6000	0	4:0:1415|5:0:1415	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2061	2061	0	1	血之狂暴Lv1	基础攻击提升，持续5秒	1	104	5000	0	4:0:218|5:0:218	50	1	4	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2062	2061	0	2	血之狂暴Lv2	基础攻击提升，持续5秒	1	104	5000	0	4:0:326|5:0:326	50	1	4	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2063	2061	0	3	血之狂暴Lv3	基础攻击提升，持续5秒	1	104	5000	0	4:0:435|5:0:435	50	1	4	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2064	2061	0	4	血之狂暴Lv4	基础攻击提升，持续5秒	1	104	5000	0	4:0:544|5:0:544	50	1	4	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2065	2061	0	5	血之狂暴Lv5	基础攻击提升，持续5秒	1	104	5000	0	4:0:653|5:0:653	50	1	4	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2066	2061	0	6	血之狂暴Lv6	基础攻击提升，持续5秒	1	104	5000	0	4:0:871|5:0:871	50	1	4	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2067	2061	0	7	血之狂暴Lv7	基础攻击提升，持续5秒	1	104	5000	0	4:0:979|5:0:979	50	1	4	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2068	2061	0	8	血之狂暴Lv8	基础攻击提升，持续5秒	1	104	5000	0	4:0:1088|5:0:1088	50	1	4	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2069	2061	0	9	血之狂暴Lv9	基础攻击提升，持续5秒	1	104	5000	0	4:0:1197|5:0:1197	50	1	4	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2070	2061	0	10	血之狂暴Lv10	基础攻击提升，持续5秒	1	104	5000	0	4:0:1415|5:0:1415	50	1	4	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2081	2081	0	1	顺势斩Lv1	物理加成提升，持续5秒	1	0	5000	0	4:0:119	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2082	2081	0	2	顺势斩Lv2	物理加成提升，持续5秒	1	0	5000	0	4:0:175	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2083	2081	0	3	顺势斩Lv3	物理加成提升，持续5秒	1	0	5000	0	4:0:231	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2084	2081	0	4	顺势斩Lv4	物理加成提升，持续5秒	1	0	5000	0	4:0:287	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2085	2081	0	5	顺势斩Lv5	物理加成提升，持续5秒	1	0	5000	0	4:0:343	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2086	2081	0	6	顺势斩Lv6	物理加成提升，持续5秒	1	0	5000	0	4:0:455	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2087	2081	0	7	顺势斩Lv7	物理加成提升，持续5秒	1	0	5000	0	4:0:511	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2088	2081	0	8	顺势斩Lv8	物理加成提升，持续5秒	1	0	5000	0	4:0:567	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2089	2081	0	9	顺势斩Lv9	物理加成提升，持续5秒	1	0	5000	0	4:0:624	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2090	2081	0	10	顺势斩Lv10	物理加成提升，持续5秒	1	0	5000	0	4:0:736	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2201	2201	0	1	共振粉碎Lv1	护甲被音波粉碎，物理抵抗降低，持续5秒	0	107	5000	0	7:0:-79	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2202	2201	0	2	共振粉碎Lv2	护甲被音波粉碎，物理抵抗降低，持续5秒	0	107	5000	0	7:0:-117	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2203	2201	0	3	共振粉碎Lv3	护甲被音波粉碎，物理抵抗降低，持续5秒	0	107	5000	0	7:0:-154	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2204	2201	0	4	共振粉碎Lv4	护甲被音波粉碎，物理抵抗降低，持续5秒	0	107	5000	0	7:0:-192	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2205	2201	0	5	共振粉碎Lv5	护甲被音波粉碎，物理抵抗降低，持续5秒	0	107	5000	0	7:0:-229	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2206	2201	0	6	共振粉碎Lv6	护甲被音波粉碎，物理抵抗降低，持续5秒	0	107	5000	0	7:0:-305	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2207	2201	0	7	共振粉碎Lv7	护甲被音波粉碎，物理抵抗降低，持续5秒	0	107	5000	0	7:0:-342	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2208	2201	0	8	共振粉碎Lv8	护甲被音波粉碎，物理抵抗降低，持续5秒	0	107	5000	0	7:0:-380	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2209	2201	0	9	共振粉碎Lv9	护甲被音波粉碎，物理抵抗降低，持续5秒	0	107	5000	0	7:0:-417	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2210	2201	0	10	共振粉碎Lv10	护甲被音波粉碎，物理抵抗降低，持续5秒	0	107	5000	0	7:0:-492	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2221	2221	0	1	刺耳之音Lv1	失去战斗意志，基础伤害降低，持续10秒	0	105	10000	0	4:0:-250|5:0:-250	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2222	2221	0	2	刺耳之音Lv2	失去战斗意志，基础伤害降低，持续10秒	0	105	10000	0	4:0:-368|5:0:-368	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2223	2221	0	3	刺耳之音Lv3	失去战斗意志，基础伤害降低，持续10秒	0	105	10000	0	4:0:-486|5:0:-486	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2224	2221	0	4	刺耳之音Lv4	失去战斗意志，基础伤害降低，持续10秒	0	105	10000	0	4:0:-605|5:0:-605	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2225	2221	0	5	刺耳之音Lv5	失去战斗意志，基础伤害降低，持续10秒	0	105	10000	0	4:0:-724|5:0:-724	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2226	2221	0	6	刺耳之音Lv6	失去战斗意志，基础伤害降低，持续10秒	0	105	10000	0	4:0:-960|5:0:-960	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2227	2221	0	7	刺耳之音Lv7	失去战斗意志，基础伤害降低，持续10秒	0	105	10000	0	4:0:-1078|5:0:-1078	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2228	2221	0	8	刺耳之音Lv8	失去战斗意志，基础伤害降低，持续10秒	0	105	10000	0	4:0:-1197|5:0:-1197	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2229	2221	0	9	刺耳之音Lv9	失去战斗意志，基础伤害降低，持续10秒	0	105	10000	0	4:0:-1315|5:0:-1315	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2230	2221	0	10	刺耳之音Lv10	失去战斗意志，基础伤害降低，持续10秒	0	105	10000	0	4:0:-1552|5:0:-1552	50	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2241	2241	0	1	警戒Lv1	警戒防御，增加格挡率和格挡值，持续5秒	1	106	5000	0	24:0:12|25:0:65	41	2	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2242	2241	0	2	警戒Lv2	警戒防御，增加格挡率和格挡值，持续5秒	1	106	5000	0	24:0:18|25:0:96	50	4	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2243	2241	0	3	警戒Lv3	警戒防御，增加格挡率和格挡值，持续5秒	1	106	5000	0	24:0:23|25:0:127	62	5	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2244	2241	0	4	警戒Lv4	警戒防御，增加格挡率和格挡值，持续5秒	1	106	5000	0	24:0:29|25:0:158	74	6	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2245	2241	0	5	警戒Lv5	警戒防御，增加格挡率和格挡值，持续5秒	1	106	5000	0	24:0:35|25:0:189	86	7	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2246	2241	0	6	警戒Lv6	警戒防御，增加格挡率和格挡值，持续5秒	1	106	5000	0	24:0:46|25:0:251	99	8	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2247	2241	0	7	警戒Lv7	警戒防御，增加格挡率和格挡值，持续5秒	1	106	5000	0	24:0:52|25:0:282	111	9	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2248	2241	0	8	警戒Lv8	警戒防御，增加格挡率和格挡值，持续5秒	1	106	5000	0	24:0:58|25:0:313	123	10	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
2249	2241	0	9	警戒Lv9	警戒防御，增加格挡率和格挡值，持续5秒	1	106	5000	0	24:0:63|25:0:344	148	12	0	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	0
