INT	INT	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	INT	INT	STRING	INT	INT
40	2	4	5	5	1:75082|4:644|5:1628|6:742|7:1496	11030	5	二品·极品武魂[完美]	667	667	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|136'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|二品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#e60012|二品·极品武魂[完美]	7	300
41	3	1	1	0	1:11587	-1	-1	三品·生命武魂[普通]	637	637	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|117'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|三品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|三品·生命武魂[普通]	3	400
42	3	1	2	0	1:17380	-1	-1	三品·生命武魂[良好]	637	637	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|118'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|三品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|三品·生命武魂[良好]	4	400
43	3	1	3	0	1:26070	-1	-1	三品·生命武魂[优秀]	637	637	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|119'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|三品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|三品·生命武魂[优秀]	5	400
44	3	1	4	0	1:39105	-1	-1	三品·生命武魂[卓越]	637	637	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|120'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|三品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|三品·生命武魂[卓越]	6	400
45	3	1	5	0	1:58658	-1	-1	三品·生命武魂[完美]	637	637	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|121'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|三品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|三品·生命武魂[完美]	7	400
46	3	2	1	0	4:95|5:241	-1	-1	三品·攻击武魂[普通]	638	638	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|122'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|三品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|三品·攻击武魂[普通]	3	400
47	3	2	2	0	4:143|5:362	-1	-1	三品·攻击武魂[良好]	638	638	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|123'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|三品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|三品·攻击武魂[良好]	4	400
48	3	2	3	0	4:215|5:543	-1	-1	三品·攻击武魂[优秀]	638	638	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|124'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|三品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|三品·攻击武魂[优秀]	5	400
49	3	2	4	0	4:322|5:814	-1	-1	三品·攻击武魂[卓越]	638	638	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|125'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|三品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|三品·攻击武魂[卓越]	6	400
50	3	2	5	0	4:483|5:1221	-1	-1	三品·攻击武魂[完美]	638	638	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|126'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|三品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|三品·攻击武魂[完美]	7	400
51	3	3	1	0	6:110|7:222	-1	-1	三品·防御武魂[普通]	639	639	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|127'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|三品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|三品·防御武魂[普通]	3	400
52	3	3	2	0	6:165|7:332	-1	-1	三品·防御武魂[良好]	639	639	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|128'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|三品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|三品·防御武魂[良好]	4	400
53	3	3	3	0	6:247|7:499	-1	-1	三品·防御武魂[优秀]	639	639	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|129'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|三品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|三品·防御武魂[优秀]	5	400
54	3	3	4	0	6:371|7:748	-1	-1	三品·防御武魂[卓越]	639	639	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|130'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|三品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|三品·防御武魂[卓越]	6	400
55	3	3	5	0	6:557|7:1122	-1	-1	三品·防御武魂[完美]	639	639	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|131'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|三品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|三品·防御武魂[完美]	7	400
56	3	4	1	1	1:24441|4:210|5:530|6:242|7:487	11040	1	三品·极品武魂[普通]	668	668	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|132'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|三品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#00afec|三品·极品武魂[普通]	3	400
57	3	4	2	2	1:36661|4:314|5:795|6:363|7:731	11040	2	三品·极品武魂[良好]	668	668	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|133'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|三品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#a54bfa|三品·极品武魂[良好]	4	400
58	3	4	3	3	1:58658|4:503|5:1272|6:580|7:1169	11040	3	三品·极品武魂[优秀]	668	668	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|134'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|三品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#f7ab00|三品·极品武魂[优秀]	5	400
59	3	4	4	4	1:93853|4:805|5:2036|6:928|7:1870	11040	4	三品·极品武魂[卓越]	668	668	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|135'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|三品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#ff3399|三品·极品武魂[卓越]	6	400
60	3	4	5	5	1:150164|4:1287|5:3257|6:1485|7:2992	11040	5	三品·极品武魂[完美]	668	668	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|136'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|三品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#e60012|三品·极品武魂[完美]	7	400
61	4	1	1	0	1:23174	-1	-1	四品·生命武魂[普通]	640	640	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|117'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|四品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|四品·生命武魂[普通]	3	500
62	4	1	2	0	1:34760	-1	-1	四品·生命武魂[良好]	640	640	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|118'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|四品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|四品·生命武魂[良好]	4	500
63	4	1	3	0	1:52140	-1	-1	四品·生命武魂[优秀]	640	640	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|119'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|四品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|四品·生命武魂[优秀]	5	500
64	4	1	4	0	1:78211	-1	-1	四品·生命武魂[卓越]	640	640	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|120'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|四品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|四品·生命武魂[卓越]	6	500
65	4	1	5	0	1:117316	-1	-1	四品·生命武魂[完美]	640	640	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|121'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|四品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|四品·生命武魂[完美]	7	500
66	4	2	1	0	4:191|5:483	-1	-1	四品·攻击武魂[普通]	641	641	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|122'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|四品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|四品·攻击武魂[普通]	3	500
67	4	2	2	0	4:286|5:724	-1	-1	四品·攻击武魂[良好]	641	641	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|123'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|四品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|四品·攻击武魂[良好]	4	500
68	4	2	3	0	4:429|5:1086	-1	-1	四品·攻击武魂[优秀]	641	641	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|124'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|四品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|四品·攻击武魂[优秀]	5	500
69	4	2	4	0	4:644|5:1628	-1	-1	四品·攻击武魂[卓越]	641	641	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|125'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|四品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|四品·攻击武魂[卓越]	6	500
70	4	2	5	0	4:966|5:2443	-1	-1	四品·攻击武魂[完美]	641	641	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|126'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|四品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|四品·攻击武魂[完美]	7	500
71	4	3	1	0	6:220|7:443	-1	-1	四品·防御武魂[普通]	642	642	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|127'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|四品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|四品·防御武魂[普通]	3	500
72	4	3	2	0	6:330|7:665	-1	-1	四品·防御武魂[良好]	642	642	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|128'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|四品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|四品·防御武魂[良好]	4	500
73	4	3	3	0	6:495|7:997	-1	-1	四品·防御武魂[优秀]	642	642	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|129'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|四品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|四品·防御武魂[优秀]	5	500
74	4	3	4	0	6:742|7:1496	-1	-1	四品·防御武魂[卓越]	642	642	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|130'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|四品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|四品·防御武魂[卓越]	6	500
75	4	3	5	0	6:1114|7:2244	-1	-1	四品·防御武魂[完美]	642	642	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|131'>前往</a></u></font>	-1	-1	#f7ab00|【防御武魂】|n|#debc6a|只能装备到|#00ff00|四品·防御武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|四品·防御武魂[完美]	7	500
76	4	4	1	1	1:48882|4:419|5:1060|6:483|7:974	11050	1	四品·极品武魂[普通]	669	669	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|132'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|四品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#00afec|四品·极品武魂[普通]	3	500
77	4	4	2	2	1:73323|4:629|5:1590|6:725|7:1461	11050	2	四品·极品武魂[良好]	669	669	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|133'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|四品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#a54bfa|四品·极品武魂[良好]	4	500
78	4	4	3	3	1:117316|4:1006|5:2544|6:1160|7:2338	11050	3	四品·极品武魂[优秀]	669	669	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|134'>前往</a></u></font>	10	-1	#f7ab00|【极品武魂】|n|#debc6a|只能装备到|#00ff00|四品·极品武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|前面的|#00ff00|15|#debc6a|个武魂需要全部装备好，才有资格穿戴极品武魂|n|#debc6a|普通武魂的|#00ff00|最低品质|#debc6a|决定了可以穿戴极品武魂的品质	-1	999	100	#f7ab00|四品·极品武魂[优秀]	5	500
