INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT
4061	暗金级神圣长弓	0	5000	4	-1	4:2433|5:2469	#f5e8bf|拥有光明之力的神圣长弓，佣兵的6阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过5阶暗金级装备合成获得	5028	-1	-1	34	1	0	1	4:2433|5:2469	6
4062	暗金级神圣外衣	1	5000	4	-1	1:24505|6:2451	#f5e8bf|充满光明之力，一尘不染的神圣外衣，佣兵的6阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过5阶暗金级装备合成获得	227	-1	-1	35	1	0	1	1:12252.5|6:2451	6
4063	暗金级天堂圣物	2	5000	4	-1	1:24505|6:2451|29:307	#f5e8bf|天使形态的圣物，佣兵的6阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过5阶暗金级装备合成获得	2012	-1	-1	36	1	0	1	1:12252.5|6:2451|29:307	6
4064	暗金级神圣挂坠	3	5000	4	-1	4:2433|5:2469|22:223|28:307	#f5e8bf|散发出柔和微光的挂坠，佣兵的6阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过5阶暗金级装备合成获得	3008	-1	-1	37	1	0	1	4:2433|5:2469|22:223|28:307	6
4071	暗金级黑暗长弓	0	5000	4	-1	4:3410|5:3452	#f5e8bf|被黑暗气息侵染的长弓，佣兵的7阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过6阶暗金级装备合成获得	5028	-1	-1	34	1	0	1	4:3410|5:3452	7
4072	暗金级黑暗外衣	1	5000	4	-1	1:34308|6:3431	#f5e8bf|可以在黑暗中隐藏自己的外衣，佣兵的7阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过6阶暗金级装备合成获得	227	-1	-1	35	1	0	1	1:17154|6:3431	7
4073	暗金级梦魇圣物	2	5000	4	-1	1:34308|6:3431|29:429	#f5e8bf|梦魇形态的圣物，佣兵的7阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过6阶暗金级装备合成获得	2012	-1	-1	36	1	0	1	1:17154|6:3431|29:429	7
4074	暗金级梦魇挂坠	3	5000	4	-1	4:3410|5:3452|22:261|28:429	#f5e8bf|会让人陷入噩梦中的邪恶挂坠，佣兵的7阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过6阶暗金级装备合成获得	3008	-1	-1	37	1	0	1	4:3410|5:3452|22:261|28:429	7
4081	暗金级屠龙巨弓	0	5000	4	-1	4:4780|5:4828	#f5e8bf|能射杀巨龙的巨弓，佣兵的8阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过7阶暗金级装备合成获得	5028	-1	-1	34	1	0	1	4:4780|5:4828	8
4082	暗金级龙鳞外衣	1	5000	4	-1	1:48031|6:4804	#f5e8bf|镶嵌有龙鳞的外衣，佣兵的8阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过7阶暗金级装备合成获得	227	-1	-1	35	1	0	1	1:24015.5|6:4804	8
4083	暗金级龙血圣物	2	5000	4	-1	1:48031|6:4804|29:601	#f5e8bf|沾染龙血的圣物，佣兵的8阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过7阶暗金级装备合成获得	2012	-1	-1	36	1	0	1	1:24015.5|6:4804|29:601	8
4084	暗金级龙牙挂坠	3	5000	4	-1	4:4780|5:4828|22:299|28:601	#f5e8bf|用龙牙制作的挂坠，佣兵的8阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过7阶暗金级装备合成获得	3008	-1	-1	37	1	0	1	4:4780|5:4828|22:299|28:601	8
4091	暗金级赏金长弓	0	5000	4	-1	4:6698|5:6752	#f5e8bf|赏金猎手使用的时髦长弓，佣兵的9阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过8阶暗金级装备合成获得	5028	-1	-1	34	1	0	1	4:6698|5:6752	9
4092	暗金级赏金外衣	1	5000	4	-1	1:67243|6:6725	#f5e8bf|赏金猎手穿戴的时髦外衣，佣兵的9阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过8阶暗金级装备合成获得	227	-1	-1	35	1	0	1	1:33621.5|6:6725	9
4093	暗金级金币圣物	2	5000	4	-1	1:67243|6:6725|29:841	#f5e8bf|金币形态的圣物，佣兵的9阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过8阶暗金级装备合成获得	2012	-1	-1	36	1	0	1	1:33621.5|6:6725|29:841	9
4094	暗金级幸运挂坠	3	5000	4	-1	4:6698|5:6752|22:338|28:841	#f5e8bf|能带来好运的挂坠，佣兵的9阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过8阶暗金级装备合成获得	3008	-1	-1	37	1	0	1	4:6698|5:6752|22:338|28:841	9
4101	暗金级魔火长弓	0	5000	4	-1	4:9384|5:9444	#f5e8bf|灌注恶魔邪能的诡异长弓，佣兵的10阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过9阶暗金级装备合成获得	5028	-1	-1	34	1	0	1	4:9384|5:9444	10
4102	暗金级魔火外衣	1	5000	4	-1	1:94140|6:9414	#f5e8bf|恶魔布制的诡异外衣，佣兵的10阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过9阶暗金级装备合成获得	227	-1	-1	35	1	0	1	1:47070|6:9414	10
4103	暗金级恶魔邪物	2	5000	4	-1	1:94140|6:9414|29:1177	#f5e8bf|狰狞恶魔形态的恐怖邪物，佣兵的10阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过9阶暗金级装备合成获得	2012	-1	-1	36	1	0	1	1:47070|6:9414|29:1177	10
4104	暗金级恶魔挂坠	3	5000	4	-1	4:9384|5:9444|22:377|28:1177	#f5e8bf|发出狞笑的恶魔挂坠，佣兵的10阶装备。|n|#f5e8bf|集齐一套后可获得|#00ff00|套装属性|n|#00ff00|可通过9阶暗金级装备合成获得	3008	-1	-1	37	1	0	1	4:9384|5:9444|22:377|28:1177	10
