INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT
2028	头盔和项链	2	4:4800|5:12000|1:960000|10:25600|3:160000|45:2100	28|1028|2028	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.1 倍|#f5e8bf|\n攻击：4800-12000\n生命：960000\n|#00afec|暴伤：25600\n生命恢复：160000	-1:12372:-1:-1:-1:12377:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
2029	头盔和项链	2	4:5400|5:13500|1:1080000|10:28800|3:180000|45:2200	29|1029|2029	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.2 倍|#f5e8bf|\n攻击：5400-13500\n生命：1080000\n|#00afec|暴伤：28800\n生命恢复：180000	-1:12382:-1:-1:-1:12387:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
2030	头盔和项链	2	4:6000|5:15000|1:1200000|10:32000|3:200000|45:2300	30|1030|2030	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.3 倍|#f5e8bf|\n攻击：6000-15000\n生命：1200000\n|#00afec|暴伤：32000\n生命恢复：200000	-1:12392:-1:-1:-1:12397:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
2031	头盔和项链	2	4:6999|5:17499|1:1400000|10:35200|3:220000|45:2400	31|1031|2031	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.4 倍|#f5e8bf|\n攻击：6999-17499\n生命：1400000\n|#00afec|暴伤：35200\n生命恢复：220000	-1:12402:-1:-1:-1:12407:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
2032	头盔和项链	2	4:7999|5:19999|1:1600000|10:38400|3:240000|45:2500	32|1032|2032	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.5 倍|#f5e8bf|\n攻击：7999-19999\n生命：1600000\n|#00afec|暴伤：38400\n生命恢复：240000	-1:12412:-1:-1:-1:12417:-1:-1	2件套:获得先祖之魂技能	-1	0	0	0
2073	腰带和鞋子	2	6:4800|7:12000|1:480000|10:12800|3:80000|45:1600	73|1073|2073	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.6 倍|#f5e8bf|\n防御：4800-12000\n生命：480000|#00afec|\n暴伤：12800\n生命恢复：80000	-1:-1:-1:12325:-1:-1:-1:12330	2件套:获得先祖之魂技能	-1	0	0	0
2074	腰带和鞋子	2	6:5400|7:13500|1:540000|10:16000|3:100000|45:1700	74|1074|2074	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.7 倍|#f5e8bf|\n防御：5400-13500\n生命：540000|#00afec|\n暴伤：16000\n生命恢复：100000	-1:-1:-1:12335:-1:-1:-1:12340	2件套:获得先祖之魂技能	-1	0	0	0
2075	腰带和鞋子	2	6:6000|7:15000|1:600000|10:19200|3:120000|45:1800	75|1075|2075	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.8 倍|#f5e8bf|\n防御：6000-15000\n生命：600000|#00afec|\n暴伤：19200\n生命恢复：120000	-1:-1:-1:12345:-1:-1:-1:12350	2件套:获得先祖之魂技能	-1	0	0	0
2076	腰带和鞋子	2	6:7200|7:18000|1:720000|10:22400|3:140000|45:1900	76|1076|2076	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.9 倍|#f5e8bf|\n防御：7200-18000\n生命：720000|#00afec|\n暴伤：22400\n生命恢复：140000	-1:-1:-1:12355:-1:-1:-1:12360	2件套:获得先祖之魂技能	-1	0	0	0
2077	腰带和鞋子	2	6:8400|7:21000|1:840000|10:25600|3:160000|45:2000	77|1077|2077	#ff66ff|神力倍攻：对怪物伤害倍率提高 2 倍|#f5e8bf|\n防御：8400-21000\n生命：840000|#00afec|\n暴伤：25600\n生命恢复：160000	-1:-1:-1:12365:-1:-1:-1:12370	2件套:获得先祖之魂技能	-1	0	0	0
2078	腰带和鞋子	2	6:9600|7:24000|1:960000|10:28800|3:180000|45:2100	78|1078|2078	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.1 倍|#f5e8bf|\n防御：9600-24000\n生命：960000|#00afec|\n暴伤：28800\n生命恢复：180000	-1:-1:-1:12375:-1:-1:-1:12380	2件套:获得先祖之魂技能	-1	0	0	0
2079	腰带和鞋子	2	6:10800|7:27000|1:1080000|10:32000|3:200000|45:2200	79|1079|2079	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.2 倍|#f5e8bf|\n防御：10800-27000\n生命：1080000|#00afec|\n暴伤：32000\n生命恢复：200000	-1:-1:-1:12385:-1:-1:-1:12390	2件套:获得先祖之魂技能	-1	0	0	0
2080	腰带和鞋子	2	6:12000|7:30000|1:1200000|10:35200|3:220000|45:2300	80|1080|2080	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.3 倍|#f5e8bf|\n防御：12000-30000\n生命：1200000|#00afec|\n暴伤：35200\n生命恢复：220000	-1:-1:-1:12395:-1:-1:-1:12400	2件套:获得先祖之魂技能	-1	0	0	0
2081	腰带和鞋子	2	6:14000|7:35000|1:1400000|10:38400|3:240000|45:2400	81|1081|2081	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.4 倍|#f5e8bf|\n防御：14000-35000\n生命：1400000|#00afec|\n暴伤：38400\n生命恢复：240000	-1:-1:-1:12405:-1:-1:-1:12410	2件套:获得先祖之魂技能	-1	0	0	0
2082	腰带和鞋子	2	6:16000|7:40000|1:1600000|10:41600|3:260000|45:2500	82|1082|2082	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.5 倍|#f5e8bf|\n防御：16000-40000\n生命：1600000|#00afec|\n暴伤：41600\n生命恢复：260000	-1:-1:-1:12415:-1:-1:-1:12420	2件套:获得先祖之魂技能	-1	0	0	0
10101	手和戒	2	4:93|5:233|45:1000	10101|11101|12101	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：93-233	-1:-1:10103:-1:-1:-1:10104:-1	2件套:获得先祖之魂技能	-1	0	0	0
10102	手和戒	2	4:186|5:466|45:1000	10102|11102|12102	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：186-466	-1:-1:10113:-1:-1:-1:10114:-1	2件套:获得先祖之魂技能	-1	0	0	0
10103	手和戒	2	4:280|5:700|45:1000	10103|11103|12103	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：280-700	-1:-1:10123:-1:-1:-1:10124:-1	2件套:获得先祖之魂技能	-1	0	0	0
10104	手和戒	2	4:373|5:933|45:1000	10104|11104|12104	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：373-933	-1:-1:10133:-1:-1:-1:10134:-1	2件套:获得先祖之魂技能	-1	0	0	0
10105	手和戒	2	4:466|5:1166|45:1000	10105|11105|12105	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：466-1166	-1:-1:10143:-1:-1:-1:10144:-1	2件套:获得先祖之魂技能	-1	0	0	0
10106	手和戒	2	4:606|5:1516|45:1100	10106|11106|12106	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：606-1516	-1:-1:10153:-1:-1:-1:10154:-1	2件套:获得先祖之魂技能	-1	0	0	0
10107	手和戒	2	4:746|5:1866|45:1100	10107|11107|12107	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：746-1866	-1:-1:10163:-1:-1:-1:10164:-1	2件套:获得先祖之魂技能	-1	0	0	0
10108	手和戒	2	4:886|5:2216|45:1100	10108|11108|12108	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：886-2216	-1:-1:10173:-1:-1:-1:10174:-1	2件套:获得先祖之魂技能	-1	0	0	0
10109	手和戒	2	4:1026|5:2566|45:1100	10109|11109|12109	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：1026-2566	-1:-1:10183:-1:-1:-1:10184:-1	2件套:获得先祖之魂技能	-1	0	0	0
10110	手和戒	2	4:1166|5:2916|45:1100	10110|11110|12110	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：1166-2916	-1:-1:10193:-1:-1:-1:10194:-1	2件套:获得先祖之魂技能	-1	0	0	0
10111	手和戒	2	4:1353|5:3383|45:1200	10111|11111|12111	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：1353-3383	-1:-1:10203:-1:-1:-1:10204:-1	2件套:获得先祖之魂技能	-1	0	0	0
10112	手和戒	2	4:1540|5:3850|45:1200	10112|11112|12112	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：1540-3850	-1:-1:10213:-1:-1:-1:10214:-1	2件套:获得先祖之魂技能	-1	0	0	0
10113	手和戒	2	4:1726|5:4316|45:1200	10113|11113|12113	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：1726-4316	-1:-1:10223:-1:-1:-1:10224:-1	2件套:获得先祖之魂技能	-1	0	0	0
10114	手和戒	2	4:1913|5:4783|45:1200	10114|11114|12114	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：1913-4783	-1:-1:10233:-1:-1:-1:10234:-1	2件套:获得先祖之魂技能	-1	0	0	0
10115	手和戒	2	4:2100|5:5250|45:1200	10115|11115|12115	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：2100-5250	-1:-1:10243:-1:-1:-1:10244:-1	2件套:获得先祖之魂技能	-1	0	0	0
10116	手和戒	2	4:2380|5:5950|45:1300	10116|11116|12116	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：2380-5950	-1:-1:10253:-1:-1:-1:10254:-1	2件套:获得先祖之魂技能	-1	0	0	0
10117	手和戒	2	4:2660|5:6650|45:1300	10117|11117|12117	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：2660-6650	-1:-1:10263:-1:-1:-1:10264:-1	2件套:获得先祖之魂技能	-1	0	0	0
10118	手和戒	2	4:2940|5:7350|45:1300	10118|11118|12118	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：2940-7350	-1:-1:10273:-1:-1:-1:10274:-1	2件套:获得先祖之魂技能	-1	0	0	0
10119	手和戒	2	4:3220|5:8050|45:1300	10119|11119|12119	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：3220-8050	-1:-1:10283:-1:-1:-1:10284:-1	2件套:获得先祖之魂技能	-1	0	0	0
10120	手和戒	2	4:3500|5:8750|45:1300	10120|11120|12120	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：3500-8750	-1:-1:10293:-1:-1:-1:10294:-1	2件套:获得先祖之魂技能	-1	0	0	0
10121	手和戒	2	4:4200|5:10500|45:1400	10121|11121|12121	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.4 倍|#f5e8bf|\n攻击：4200-10500	-1:-1:10303:-1:-1:-1:10304:-1	2件套:获得先祖之魂技能	-1	0	0	0
10122	手和戒	2	4:4900|5:12250|45:1500	10122|11122|12122	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.5 倍|#f5e8bf|\n攻击：4900-12250	-1:-1:10313:-1:-1:-1:10314:-1	2件套:获得先祖之魂技能	-1	0	0	0
10123	手和戒	2	4:5600|5:14000|45:1600	10123|11123|12123	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.6 倍|#f5e8bf|\n攻击：5600-14000	-1:-1:10323:-1:-1:-1:10324:-1	2件套:获得先祖之魂技能	-1	0	0	0
10124	手和戒	2	4:6300|5:15750|45:1700	10124|11124|12124	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.7 倍|#f5e8bf|\n攻击：6300-15750	-1:-1:10333:-1:-1:-1:10334:-1	2件套:获得先祖之魂技能	-1	0	0	0
10125	手和戒	2	4:7000|5:17500|45:1800	10125|11125|12125	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.8 倍|#f5e8bf|\n攻击：7000-17500	-1:-1:10343:-1:-1:-1:10344:-1	2件套:获得先祖之魂技能	-1	0	0	0
10126	手和戒	2	4:8400|5:21000|45:1900	10126|11126|12126	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.9 倍|#f5e8bf|\n攻击：8400-21000	-1:-1:10353:-1:-1:-1:10354:-1	2件套:获得先祖之魂技能	-1	0	0	0
10127	手和戒	2	4:9800|5:24500|45:2000	10127|11127|12127	#ff66ff|神力倍攻：对怪物伤害倍率提高 2 倍|#f5e8bf|\n攻击：9800-24500	-1:-1:10363:-1:-1:-1:10364:-1	2件套:获得先祖之魂技能	-1	0	0	0
10128	手和戒	2	4:11200|5:28000|45:2100	10128|11128|12128	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.1 倍|#f5e8bf|\n攻击：11200-28000	-1:-1:10373:-1:-1:-1:10374:-1	2件套:获得先祖之魂技能	-1	0	0	0
10129	手和戒	2	4:12600|5:31500|45:2200	10129|11129|12129	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.2 倍|#f5e8bf|\n攻击：12600-31500	-1:-1:10383:-1:-1:-1:10384:-1	2件套:获得先祖之魂技能	-1	0	0	0
10130	手和戒	2	4:14000|5:35000|45:2300	10130|11130|12130	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.3 倍|#f5e8bf|\n攻击：14000-35000	-1:-1:10393:-1:-1:-1:10394:-1	2件套:获得先祖之魂技能	-1	0	0	0
10131	手和戒	2	4:16333|5:40833|45:2400	10131|11131|12131	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.4 倍|#f5e8bf|\n攻击：16333-40833	-1:-1:10403:-1:-1:-1:10404:-1	2件套:获得先祖之魂技能	-1	0	0	0
10132	手和戒	2	4:18666|5:46666|45:2500	10132|11132|12132	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.5 倍|#f5e8bf|\n攻击：18666-46666	-1:-1:10413:-1:-1:-1:10414:-1	2件套:获得先祖之魂技能	-1	0	0	0
10151	镯和指	2	4:93|5:233|45:1000	10151|11151|12151	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：93-233	-1:-1:10108:-1:-1:-1:10109:-1	2件套:获得先祖之魂技能	-1	0	0	0
10152	镯和指	2	4:186|5:466|45:1000	10152|11152|12152	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：186-466	-1:-1:10118:-1:-1:-1:10119:-1	2件套:获得先祖之魂技能	-1	0	0	0
10153	镯和指	2	4:280|5:700|45:1000	10153|11153|12153	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：280-700	-1:-1:10128:-1:-1:-1:10129:-1	2件套:获得先祖之魂技能	-1	0	0	0
10154	镯和指	2	4:373|5:933|45:1000	10154|11154|12154	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：373-933	-1:-1:10138:-1:-1:-1:10139:-1	2件套:获得先祖之魂技能	-1	0	0	0
10155	镯和指	2	4:466|5:1166|45:1000	10155|11155|12155	#ff66ff|神力倍攻：对怪物伤害倍率提高 1 倍|#f5e8bf|\n攻击：466-1166	-1:-1:10148:-1:-1:-1:10149:-1	2件套:获得先祖之魂技能	-1	0	0	0
10156	镯和指	2	4:606|5:1516|45:1100	10156|11156|12156	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：606-1516	-1:-1:10158:-1:-1:-1:10159:-1	2件套:获得先祖之魂技能	-1	0	0	0
10157	镯和指	2	4:746|5:1866|45:1100	10157|11157|12157	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：746-1866	-1:-1:10168:-1:-1:-1:10169:-1	2件套:获得先祖之魂技能	-1	0	0	0
10158	镯和指	2	4:886|5:2216|45:1100	10158|11158|12158	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：886-2216	-1:-1:10178:-1:-1:-1:10179:-1	2件套:获得先祖之魂技能	-1	0	0	0
10159	镯和指	2	4:1026|5:2566|45:1100	10159|11159|12159	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：1026-2566	-1:-1:10188:-1:-1:-1:10189:-1	2件套:获得先祖之魂技能	-1	0	0	0
10160	镯和指	2	4:1166|5:2916|45:1100	10160|11160|12160	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.1 倍|#f5e8bf|\n攻击：1166-2916	-1:-1:10198:-1:-1:-1:10199:-1	2件套:获得先祖之魂技能	-1	0	0	0
10161	镯和指	2	4:1353|5:3383|45:1200	10161|11161|12161	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：1353-3383	-1:-1:10208:-1:-1:-1:10209:-1	2件套:获得先祖之魂技能	-1	0	0	0
10162	镯和指	2	4:1540|5:3850|45:1200	10162|11162|12162	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：1540-3850	-1:-1:10218:-1:-1:-1:10219:-1	2件套:获得先祖之魂技能	-1	0	0	0
10163	镯和指	2	4:1726|5:4316|45:1200	10163|11163|12163	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：1726-4316	-1:-1:10228:-1:-1:-1:10229:-1	2件套:获得先祖之魂技能	-1	0	0	0
10164	镯和指	2	4:1913|5:4783|45:1200	10164|11164|12164	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：1913-4783	-1:-1:10238:-1:-1:-1:10239:-1	2件套:获得先祖之魂技能	-1	0	0	0
10165	镯和指	2	4:2100|5:5250|45:1200	10165|11165|12165	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.2 倍|#f5e8bf|\n攻击：2100-5250	-1:-1:10248:-1:-1:-1:10249:-1	2件套:获得先祖之魂技能	-1	0	0	0
10166	镯和指	2	4:2380|5:5950|45:1300	10166|11166|12166	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：2380-5950	-1:-1:10258:-1:-1:-1:10259:-1	2件套:获得先祖之魂技能	-1	0	0	0
10167	镯和指	2	4:2660|5:6650|45:1300	10167|11167|12167	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：2660-6650	-1:-1:10268:-1:-1:-1:10269:-1	2件套:获得先祖之魂技能	-1	0	0	0
10168	镯和指	2	4:2940|5:7350|45:1300	10168|11168|12168	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：2940-7350	-1:-1:10278:-1:-1:-1:10279:-1	2件套:获得先祖之魂技能	-1	0	0	0
10169	镯和指	2	4:3220|5:8050|45:1300	10169|11169|12169	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：3220-8050	-1:-1:10288:-1:-1:-1:10289:-1	2件套:获得先祖之魂技能	-1	0	0	0
10170	镯和指	2	4:3500|5:8750|45:1300	10170|11170|12170	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.3 倍|#f5e8bf|\n攻击：3500-8750	-1:-1:10298:-1:-1:-1:10299:-1	2件套:获得先祖之魂技能	-1	0	0	0
10171	镯和指	2	4:4200|5:10500|45:1400	10171|11171|12171	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.4 倍|#f5e8bf|\n攻击：4200-10500	-1:-1:10308:-1:-1:-1:10309:-1	2件套:获得先祖之魂技能	-1	0	0	0
10172	镯和指	2	4:4900|5:12250|45:1500	10172|11172|12172	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.5 倍|#f5e8bf|\n攻击：4900-12250	-1:-1:10318:-1:-1:-1:10319:-1	2件套:获得先祖之魂技能	-1	0	0	0
10173	镯和指	2	4:5600|5:14000|45:1600	10173|11173|12173	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.6 倍|#f5e8bf|\n攻击：5600-14000	-1:-1:10328:-1:-1:-1:10329:-1	2件套:获得先祖之魂技能	-1	0	0	0
10174	镯和指	2	4:6300|5:15750|45:1700	10174|11174|12174	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.7 倍|#f5e8bf|\n攻击：6300-15750	-1:-1:10338:-1:-1:-1:10339:-1	2件套:获得先祖之魂技能	-1	0	0	0
10175	镯和指	2	4:7000|5:17500|45:1800	10175|11175|12175	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.8 倍|#f5e8bf|\n攻击：7000-17500	-1:-1:10348:-1:-1:-1:10349:-1	2件套:获得先祖之魂技能	-1	0	0	0
10176	镯和指	2	4:8400|5:21000|45:1900	10176|11176|12176	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.9 倍|#f5e8bf|\n攻击：8400-21000	-1:-1:10358:-1:-1:-1:10359:-1	2件套:获得先祖之魂技能	-1	0	0	0
10177	镯和指	2	4:9800|5:24500|45:2000	10177|11177|12177	#ff66ff|神力倍攻：对怪物伤害倍率提高 2 倍|#f5e8bf|\n攻击：9800-24500	-1:-1:10368:-1:-1:-1:10369:-1	2件套:获得先祖之魂技能	-1	0	0	0
10178	镯和指	2	4:11200|5:28000|45:2100	10178|11178|12178	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.1 倍|#f5e8bf|\n攻击：11200-28000	-1:-1:10378:-1:-1:-1:10379:-1	2件套:获得先祖之魂技能	-1	0	0	0
10179	镯和指	2	4:12600|5:31500|45:2200	10179|11179|12179	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.2 倍|#f5e8bf|\n攻击：12600-31500	-1:-1:10388:-1:-1:-1:10389:-1	2件套:获得先祖之魂技能	-1	0	0	0
10180	镯和指	2	4:14000|5:35000|45:2300	10180|11180|12180	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.3 倍|#f5e8bf|\n攻击：14000-35000	-1:-1:10398:-1:-1:-1:10399:-1	2件套:获得先祖之魂技能	-1	0	0	0
10181	镯和指	2	4:16333|5:40833|45:2400	10181|11181|12181	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.4 倍|#f5e8bf|\n攻击：16333-40833	-1:-1:10408:-1:-1:-1:10409:-1	2件套:获得先祖之魂技能	-1	0	0	0
10182	镯和指	2	4:18666|5:46666|45:2500	10182|11182|12182	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.5 倍|#f5e8bf|\n攻击：18666-46666	-1:-1:10418:-1:-1:-1:10419:-1	2件套:获得先祖之魂技能	-1	0	0	0
11123	手和戒	2	4:5600|5:14000|10:8000|45:1600	10123|11123|12123	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.6 倍|#f5e8bf|\n攻击：5600-14000|#00afec|\n暴伤：8000	-1:-1:11323:-1:-1:-1:11324:-1	2件套:获得先祖之魂技能	-1	0	0	0
11124	手和戒	2	4:6300|5:15750|10:10000|45:1700	10124|11124|12124	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.7 倍|#f5e8bf|\n攻击：6300-15750|#00afec|\n暴伤：10000	-1:-1:11333:-1:-1:-1:11334:-1	2件套:获得先祖之魂技能	-1	0	0	0
11125	手和戒	2	4:7000|5:17500|10:12000|45:1800	10125|11125|12125	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.8 倍|#f5e8bf|\n攻击：7000-17500|#00afec|\n暴伤：12000	-1:-1:11343:-1:-1:-1:11344:-1	2件套:获得先祖之魂技能	-1	0	0	0
11126	手和戒	2	4:8400|5:21000|10:14000|45:1900	10126|11126|12126	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.9 倍|#f5e8bf|\n攻击：8400-21000|#00afec|\n暴伤：14000	-1:-1:11353:-1:-1:-1:11354:-1	2件套:获得先祖之魂技能	-1	0	0	0
11127	手和戒	2	4:9800|5:24500|10:16000|45:2000	10127|11127|12127	#ff66ff|神力倍攻：对怪物伤害倍率提高 2 倍|#f5e8bf|\n攻击：9800-24500|#00afec|\n暴伤：16000	-1:-1:11363:-1:-1:-1:11364:-1	2件套:获得先祖之魂技能	-1	0	0	0
11128	手和戒	2	4:11200|5:28000|10:18000|45:2100	10128|11128|12128	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.1 倍|#f5e8bf|\n攻击：11200-28000|#00afec|\n暴伤：18000	-1:-1:11373:-1:-1:-1:11374:-1	2件套:获得先祖之魂技能	-1	0	0	0
11129	手和戒	2	4:12600|5:31500|10:20000|45:2200	10129|11129|12129	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.2 倍|#f5e8bf|\n攻击：12600-31500|#00afec|\n暴伤：20000	-1:-1:11383:-1:-1:-1:11384:-1	2件套:获得先祖之魂技能	-1	0	0	0
11130	手和戒	2	4:14000|5:35000|10:22000|45:2300	10130|11130|12130	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.3 倍|#f5e8bf|\n攻击：14000-35000|#00afec|\n暴伤：22000	-1:-1:11393:-1:-1:-1:11394:-1	2件套:获得先祖之魂技能	-1	0	0	0
11131	手和戒	2	4:16333|5:40833|10:24000|45:2400	10131|11131|12131	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.4 倍|#f5e8bf|\n攻击：16333-40833|#00afec|\n暴伤：24000	-1:-1:11403:-1:-1:-1:11404:-1	2件套:获得先祖之魂技能	-1	0	0	0
11132	手和戒	2	4:18666|5:46666|10:26000|45:2500	10132|11132|12132	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.5 倍|#f5e8bf|\n攻击：18666-46666|#00afec|\n暴伤：26000	-1:-1:11413:-1:-1:-1:11414:-1	2件套:获得先祖之魂技能	-1	0	0	0
11173	镯和指	2	4:5600|5:14000|10:8000|45:1600	10173|11173|12173	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.6 倍|#f5e8bf|\n攻击：5600-14000|#00afec|\n暴伤：8000	-1:-1:11328:-1:-1:-1:11329:-1	2件套:获得先祖之魂技能	-1	0	0	0
11174	镯和指	2	4:6300|5:15750|10:10000|45:1700	10174|11174|12174	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.7 倍|#f5e8bf|\n攻击：6300-15750|#00afec|\n暴伤：10000	-1:-1:11338:-1:-1:-1:11339:-1	2件套:获得先祖之魂技能	-1	0	0	0
11175	镯和指	2	4:7000|5:17500|10:12000|45:1800	10175|11175|12175	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.8 倍|#f5e8bf|\n攻击：7000-17500|#00afec|\n暴伤：12000	-1:-1:11348:-1:-1:-1:11349:-1	2件套:获得先祖之魂技能	-1	0	0	0
11176	镯和指	2	4:8400|5:21000|10:14000|45:1900	10176|11176|12176	#ff66ff|神力倍攻：对怪物伤害倍率提高 1.9 倍|#f5e8bf|\n攻击：8400-21000|#00afec|\n暴伤：14000	-1:-1:11358:-1:-1:-1:11359:-1	2件套:获得先祖之魂技能	-1	0	0	0
11177	镯和指	2	4:9800|5:24500|10:16000|45:2000	10177|11177|12177	#ff66ff|神力倍攻：对怪物伤害倍率提高 2 倍|#f5e8bf|\n攻击：9800-24500|#00afec|\n暴伤：16000	-1:-1:11368:-1:-1:-1:11369:-1	2件套:获得先祖之魂技能	-1	0	0	0
11178	镯和指	2	4:11200|5:28000|10:18000|45:2100	10178|11178|12178	#ff66ff|神力倍攻：对怪物伤害倍率提高 2.1 倍|#f5e8bf|\n攻击：11200-28000|#00afec|\n暴伤：18000	-1:-1:11378:-1:-1:-1:11379:-1	2件套:获得先祖之魂技能	-1	0	0	0
