INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	STRING	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING
10207	烟雨风飘渺·链	6	21	21	1	5	11	-1	5000	4:537|5:1344	-1	大师的杰作	20205	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	5	#F5E8BF|暗金	0	0	6	5000	0	0	2045	0	1	-1	-1	0	4:537|5:1344	0		0	8	0	0	0	0	1	-1	-1
10208	烟雨风飘渺·镯	3	21	21	1	5	10161	-1	5000	4:376|5:941|8:113	-1	大师的杰作	20204	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|暗金	0	0	6	5000	0	0	2046	0	1	-1	-1	0	4:376|5:941|8:113	0		0	8	0	0	0	0	1	-1	-1
10209	烟雨风飘渺·指	7	21	21	1	5	10161	-1	5000	4:376|5:941|9:113	-1	大师的杰作	20202	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|暗金	0	0	6	5000	0	0	2047	0	1	-1	-1	0	4:376|5:941|9:113	0		0	8	0	0	0	0	1	-1	-1
10210	烟雨风飘渺·靴	5	21	21	1	5	61	-1	5000	6:645|7:1613|4:322|5:806	-1	大师的杰作	20206	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	8	#F5E8BF|暗金	0	0	6	5000	0	0	2048	0	1	-1	-1	0	6:645|7:1613|4:322|5:806	0		0	8	0	0	0	0	1	-1	-1
10211	烈焰★三昧真火剑	0	27	27	1	6	-1	-1	200000	4:2969|5:7423|1:211000|45:4800|11:500	20:20	大师的杰作	20211	24	0	0	-1	0:zhanshi122_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	1	#F5E8BF|暗金	0	0	0	200000	1	dropEffect_hong	0	0	1	-1	-1	0	4:2969|5:7423|1:211000|45:4800|11:500	0		0	15	0	0	0	0	1	-1	-1
10212	落日映苍穹·盔	1	22	22	1	5	12	-1	6000	4:597|5:1494	-1	大师的杰作	20213	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	3	#F5E8BF|暗金	0	0	6	6000	0	0	2049	0	1	-1	-1	0	4:597|5:1494	0		0	8	0	0	0	0	1	-1	-1
10213	落日映苍穹·手	3	22	22	1	5	10112	-1	6000	4:418|5:1046|6:360|7:900	-1	大师的杰作	20214	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|暗金	0	0	6	6000	0	0	2050	0	1	-1	-1	0	4:418|5:1046|6:360|7:900	0		0	8	0	0	0	0	1	-1	-1
10214	落日映苍穹·戒	7	22	22	1	5	10112	-1	6000	4:418|5:1046|6:360|7:900	-1	大师的杰作	20212	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|暗金	0	0	6	6000	0	0	2051	0	1	-1	-1	0	4:418|5:1046|6:360|7:900	0		0	8	0	0	0	0	1	-1	-1
10215	落日映苍穹·带	4	22	22	1	5	62	-1	6000	4:358|5:896|6:717|7:1793	-1	大师的杰作	20217	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	4	#F5E8BF|暗金	0	0	6	6000	0	0	2052	0	1	-1	-1	0	4:358|5:896|6:717|7:1793	0		0	8	0	0	0	0	1	-1	-1
10216	烈焰★三昧真火甲	2	27	27	1	6	-1	-1	200000	4:705|5:1763|6:3398|7:8494|1:403000|45:2000	21:20|3:96000	大师的杰作	20218	24	0	0	-1	0:zhanshi22_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	2	#F5E8BF|暗金	0	0	0	200000	1	dropEffect_hong	0	0	1	-1	-1	0	4:705|5:1763|6:3398|7:8494|1:403000|45:2000	0		0	15	0	0	0	0	1	-1	-1
10217	落日映苍穹·链	6	22	22	1	5	12	-1	6000	4:597|5:1494	-1	大师的杰作	20215	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	5	#F5E8BF|暗金	0	0	6	6000	0	0	2053	0	1	-1	-1	0	4:597|5:1494	0		0	8	0	0	0	0	1	-1	-1
10218	落日映苍穹·镯	3	22	22	1	5	10162	-1	6000	4:418|5:1046|8:126	-1	大师的杰作	20214	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|暗金	0	0	6	6000	0	0	2054	0	1	-1	-1	0	4:418|5:1046|8:126	0		0	8	0	0	0	0	1	-1	-1
10219	落日映苍穹·指	7	22	22	1	5	10162	-1	6000	4:418|5:1046|9:126	-1	大师的杰作	20212	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|暗金	0	0	6	6000	0	0	2055	0	1	-1	-1	0	4:418|5:1046|9:126	0		0	8	0	0	0	0	1	-1	-1
10220	落日映苍穹·靴	5	22	22	1	5	62	-1	6000	6:717|7:1793|4:358|5:896	-1	大师的杰作	20216	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	8	#F5E8BF|暗金	0	0	6	6000	0	0	2056	0	1	-1	-1	0	6:717|7:1793|4:358|5:896	0		0	8	0	0	0	0	1	-1	-1
10221	奇迹★虎啸龙泉剑	0	28	28	1	6	-1	-1	300000	4:3485|5:8715|1:245000|45:5100|11:500	20:30	大师的杰作	20221	24	0	0	-1	0:zhanshi123_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	1	#F5E8BF|暗金	0	0	0	300000	1	dropEffect_hong	0	0	1	-1	-1	0	4:3485|5:8715|1:245000|45:5100|11:500	0		0	30	0	0	0	0	1	-1	-1
10222	孤云将野鹤·盔	1	23	23	1	5	13	-1	7000	4:657|5:1644	-1	大师的杰作	20223	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	3	#F5E8BF|暗金	0	0	6	7000	0	0	2057	0	1	-1	-1	0	4:657|5:1644	0		0	8	0	0	0	0	1	-1	-1
10223	孤云将野鹤·手	3	23	23	1	5	10113	-1	7000	4:460|5:1151|6:390|7:990	-1	大师的杰作	20224	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|暗金	0	0	6	7000	0	0	2058	0	1	-1	-1	0	4:460|5:1151|6:390|7:990	0		0	8	0	0	0	0	1	-1	-1
10224	孤云将野鹤·戒	7	23	23	1	5	10113	-1	7000	4:460|5:1151|6:390|7:990	-1	大师的杰作	20222	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|暗金	0	0	6	7000	0	0	2059	0	1	-1	-1	0	4:460|5:1151|6:390|7:990	0		0	8	0	0	0	0	1	-1	-1
10225	孤云将野鹤·带	4	23	23	1	5	63	-1	7000	4:394|5:986|6:789|7:1973	-1	大师的杰作	20227	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	4	#F5E8BF|暗金	0	0	6	7000	0	0	2060	0	1	-1	-1	0	4:394|5:986|6:789|7:1973	0		0	8	0	0	0	0	1	-1	-1
10226	奇迹★虎啸龙泉甲	2	28	28	1	6	-1	-1	300000	4:819|5:2048|6:4023|7:10058|1:472000|45:2100	21:30|3:115000	大师的杰作	20228	24	0	0	-1	0:zhanshi23_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	2	#F5E8BF|暗金	0	0	0	300000	1	dropEffect_hong	0	0	1	-1	-1	0	4:819|5:2048|6:4023|7:10058|1:472000|45:2100	0		0	30	0	0	0	0	1	-1	-1
10227	孤云将野鹤·链	6	23	23	1	5	13	-1	7000	4:657|5:1644	-1	大师的杰作	20225	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	5	#F5E8BF|暗金	0	0	6	7000	0	0	2061	0	1	-1	-1	0	4:657|5:1644	0		0	8	0	0	0	0	1	-1	-1
10228	孤云将野鹤·镯	3	23	23	1	5	10163	-1	7000	4:460|5:1151|8:138	-1	大师的杰作	20224	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|暗金	0	0	6	7000	0	0	2062	0	1	-1	-1	0	4:460|5:1151|8:138	0		0	8	0	0	0	0	1	-1	-1
10229	孤云将野鹤·指	7	23	23	1	5	10163	-1	7000	4:460|5:1151|9:138	-1	大师的杰作	20222	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|暗金	0	0	6	7000	0	0	2063	0	1	-1	-1	0	4:460|5:1151|9:138	0		0	8	0	0	0	0	1	-1	-1
10230	孤云将野鹤·靴	5	23	23	1	5	63	-1	7000	6:789|7:1973|4:394|5:986	-1	大师的杰作	20226	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	8	#F5E8BF|暗金	0	0	6	7000	0	0	2064	0	1	-1	-1	0	6:789|7:1973|4:394|5:986	0		0	8	0	0	0	0	1	-1	-1
10231	命运★不屈幽冥剑	0	29	29	1	6	-1	-1	400000	4:4003|5:10010|1:280000|45:5400|11:500	20:40	大师的杰作	20231	24	0	0	-1	0:zhanshi124_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	1	#F5E8BF|暗金	0	0	0	400000	1	dropEffect_hong	0	0	1	-1	-1	0	4:4003|5:10010|1:280000|45:5400|11:500	0		0	30	0	0	0	0	1	-1	-1
10232	红豆寄相思·盔	1	24	24	1	5	14	-1	8000	4:717|5:1794	-1	大师的杰作	20233	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	3	#F5E8BF|暗金	0	0	6	8000	0	0	2065	0	1	-1	-1	0	4:717|5:1794	0		0	15	0	0	0	0	1	-1	-1
10233	红豆寄相思·手	3	24	24	1	5	10114	-1	8000	4:502|5:1256|6:430|7:1080	-1	大师的杰作	20234	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|暗金	0	0	6	8000	0	0	2066	0	1	-1	-1	0	4:502|5:1256|6:430|7:1080	0		0	15	0	0	0	0	1	-1	-1
10234	红豆寄相思·戒	7	24	24	1	5	10114	-1	8000	4:502|5:1256|6:430|7:1080	-1	大师的杰作	20232	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|暗金	0	0	6	8000	0	0	2067	0	1	-1	-1	0	4:502|5:1256|6:430|7:1080	0		0	15	0	0	0	0	1	-1	-1
10235	红豆寄相思·带	4	24	24	1	5	64	-1	8000	4:430|5:1076|6:861|7:2153	-1	大师的杰作	20237	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	4	#F5E8BF|暗金	0	0	6	8000	0	0	2068	0	1	-1	-1	0	4:430|5:1076|6:861|7:2153	0		0	15	0	0	0	0	1	-1	-1
10236	命运★不屈幽冥甲	2	29	29	1	6	-1	-1	400000	4:933|5:2332|6:4649|7:11622|1:540000|45:2200	21:40|3:134000	大师的杰作	20238	24	0	0	-1	0:zhanshi24_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	2	#F5E8BF|暗金	0	0	0	400000	1	dropEffect_hong	0	0	1	-1	-1	0	4:933|5:2332|6:4649|7:11622|1:540000|45:2200	0		0	30	0	0	0	0	1	-1	-1
10237	红豆寄相思·链	6	24	24	1	5	14	-1	8000	4:717|5:1794	-1	大师的杰作	20235	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	5	#F5E8BF|暗金	0	0	6	8000	0	0	2069	0	1	-1	-1	0	4:717|5:1794	0		0	15	0	0	0	0	1	-1	-1
10238	红豆寄相思·镯	3	24	24	1	5	10164	-1	8000	4:502|5:1256|8:151	-1	大师的杰作	20234	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|暗金	0	0	6	8000	0	0	2070	0	1	-1	-1	0	4:502|5:1256|8:151	0		0	15	0	0	0	0	1	-1	-1
10239	红豆寄相思·指	7	24	24	1	5	10164	-1	8000	4:502|5:1256|9:151	-1	大师的杰作	20232	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|暗金	0	0	6	8000	0	0	2071	0	1	-1	-1	0	4:502|5:1256|9:151	0		0	15	0	0	0	0	1	-1	-1
10240	红豆寄相思·靴	5	24	24	1	5	64	-1	8000	6:861|7:2153|4:430|5:1076	-1	大师的杰作	20236	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	8	#F5E8BF|暗金	0	0	6	8000	0	0	2072	0	1	-1	-1	0	6:861|7:2153|4:430|5:1076	0		0	15	0	0	0	0	1	-1	-1
10241	残月★暗影流光剑	0	30	30	1	6	-1	-1	500000	4:4523|5:11306|1:314000|45:5700|11:500	20:50	大师的杰作	20241	24	0	0	-1	0:zhanshi125_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	1	#F5E8BF|暗金	0	0	0	500000	1	dropEffect_hong	0	0	1	-1	-1	0	4:4523|5:11306|1:314000|45:5700|11:500	0		0	30	0	0	0	0	1	-1	-1
10242	冷月葬花魂·盔	1	25	25	1	5	15	-1	9000	4:777|5:1944	-1	大师的杰作	20243	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	3	#F5E8BF|暗金	0	0	6	9000	0	0	2073	0	1	-1	-1	0	4:777|5:1944	0		0	15	0	0	0	0	1	-1	-1
10243	冷月葬花魂·手	3	25	25	1	5	10115	-1	9000	4:544|5:1361|6:470|7:1170	-1	大师的杰作	20244	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|暗金	0	0	6	9000	0	0	2074	0	1	-1	-1	0	4:544|5:1361|6:470|7:1170	0		0	15	0	0	0	0	1	-1	-1
10244	冷月葬花魂·戒	7	25	25	1	5	10115	-1	9000	4:544|5:1361|6:470|7:1170	-1	大师的杰作	20242	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|暗金	0	0	6	9000	0	0	2075	0	1	-1	-1	0	4:544|5:1361|6:470|7:1170	0		0	15	0	0	0	0	1	-1	-1
10245	冷月葬花魂·带	4	25	25	1	5	65	-1	9000	4:466|5:1166|6:933|7:2333	-1	大师的杰作	20247	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	4	#F5E8BF|暗金	0	0	6	9000	0	0	2076	0	1	-1	-1	0	4:466|5:1166|6:933|7:2333	0		0	15	0	0	0	0	1	-1	-1
10246	残月★暗影流光甲	2	30	30	1	6	-1	-1	500000	4:1047|5:2617|6:5274|7:13186|1:609000|45:2300	21:50|3:153000	大师的杰作	20248	24	0	0	-1	0:zhanshi25_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	2	#F5E8BF|暗金	0	0	0	500000	1	dropEffect_hong	0	0	1	-1	-1	0	4:1047|5:2617|6:5274|7:13186|1:609000|45:2300	0		0	30	0	0	0	0	1	-1	-1
10247	冷月葬花魂·链	6	25	25	1	5	15	-1	9000	4:777|5:1944	-1	大师的杰作	20245	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	5	#F5E8BF|暗金	0	0	6	9000	0	0	2077	0	1	-1	-1	0	4:777|5:1944	0		0	15	0	0	0	0	1	-1	-1
10248	冷月葬花魂·镯	3	25	25	1	5	10165	-1	9000	4:544|5:1361|8:164	-1	大师的杰作	20244	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|暗金	0	0	6	9000	0	0	2078	0	1	-1	-1	0	4:544|5:1361|8:164	0		0	15	0	0	0	0	1	-1	-1
10249	冷月葬花魂·指	7	25	25	1	5	10165	-1	9000	4:544|5:1361|9:164	-1	大师的杰作	20242	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	6	#F5E8BF|暗金	0	0	6	9000	0	0	2079	0	1	-1	-1	0	4:544|5:1361|9:164	0		0	15	0	0	0	0	1	-1	-1
10250	冷月葬花魂·靴	5	25	25	1	5	65	-1	9000	6:933|7:2333|4:466|5:1166	-1	大师的杰作	20246	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	8	#F5E8BF|暗金	0	0	6	9000	0	0	2080	0	1	-1	-1	0	6:933|7:2333|4:466|5:1166	0		0	15	0	0	0	0	1	-1	-1
10251	疾风★时空逆流剑[妖]	0	31	31	1	7	-1	-1	0	4:5427|5:13565|1:378000|45:6000|11:500	20:80	大师的杰作	20251	24	0	0	-1	0:zhanshi126_nan	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	1	#F5E8BF|暗金	0	0	0	0	1	dropEffect_hong	0	0	1	-1	10	0	4:5427|5:13565|1:378000|45:6000|11:500	0		0	30	0	0	0	0	1	-1	-1
10252	追风了无痕·盔	1	26	26	1	6	16	-1	15000	4:888|5:2222	-1	大师的杰作	20253	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	3	#F5E8BF|暗金	0	0	0	15000	1	0	2081	0	1	-1	-1	0	4:888|5:2222	0		0	15	0	0	0	0	1	-1	-1
10253	追风了无痕·手	3	26	26	1	6	10116	-1	15000	4:622|5:1555|6:530|7:1330	-1	大师的杰作	20254	24	0	0	-1	-1	击杀野外BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	7	#F5E8BF|暗金	0	0	0	15000	1	0	2082	0	1	-1	-1	0	4:622|5:1555|6:530|7:1330	0		0	15	0	0	0	0	1	-1	-1
