INT	INT	INT	INT	INT	STRING
50086	1	10020	1	0	-1
50086	1	10021	1	0	-1
50086	1	10022	1	0	-1
50087	1	9998	1	0	-1
50087	1	9999	1	0	-1
50087	2	10012	2	0	-1
50087	2	10013	2	0	-1
50087	2	10014	2	0	-1
50087	2	10015	2	0	-1
50087	2	9997	2	0	-1
50087	2	11012	2	0	-1
50087	2	11013	2	0	-1
50087	2	11014	2	0	-1
50087	2	11015	2	0	-1
50087	2	11016	2	0	-1
50087	1	10016	1	0	-1
50087	1	10017	1	0	-1
50087	1	10018	1	0	-1
50087	1	10019	1	0	-1
50087	1	10020	1	0	-1
50087	1	10021	1	0	-1
50087	1	10022	1	0	-1
50087	1	10023	1	0	-1
50088	1	9998	1	0	-1
50088	1	9999	1	0	-1
50088	2	10012	2	0	-1
50088	2	10013	2	0	-1
50088	2	10014	2	0	-1
50088	2	10015	2	0	-1
50088	2	9997	2	0	-1
50088	2	11012	2	0	-1
50088	2	11013	2	0	-1
50088	2	11014	2	0	-1
50088	2	11015	2	0	-1
50088	2	11016	2	0	-1
50088	1	10016	1	0	-1
50088	1	10017	1	0	-1
50088	1	10018	1	0	-1
50088	1	10019	1	0	-1
50088	1	10020	1	0	-1
50088	1	10021	1	0	-1
50088	1	10022	1	0	-1
50088	1	10023	1	0	-1
50088	1	10024	1	0	-1
50089	1	9998	1	0	-1
50089	1	9999	1	0	-1
50089	2	10013	2	0	-1
50089	2	10014	2	0	-1
50089	2	10015	2	0	-1
50089	2	9997	2	0	-1
50089	2	11013	2	0	-1
50089	2	11014	2	0	-1
50089	2	11015	2	0	-1
50089	2	11016	2	0	-1
50089	1	10016	1	0	-1
50089	1	10017	1	0	-1
50089	1	10018	1	0	-1
50089	1	10019	1	0	-1
50089	1	10020	1	0	-1
50089	1	10021	1	0	-1
50089	1	10022	1	0	-1
50089	1	10023	1	0	-1
50089	1	10024	1	0	-1
50089	1	10025	1	0	-1
50090	1	9998	1	0	-1
50090	1	9999	1	0	-1
50090	2	10013	2	0	-1
50090	2	10014	2	0	-1
50090	2	10015	2	0	-1
50090	2	9997	2	0	-1
50090	2	11013	2	0	-1
50090	2	11014	2	0	-1
50090	2	11015	2	0	-1
50090	2	11016	2	0	-1
50090	1	10016	1	0	-1
50090	1	10017	1	0	-1
50090	1	10018	1	0	-1
50090	1	10019	1	0	-1
50090	1	10020	1	0	-1
50090	1	10021	1	0	-1
50090	1	10022	1	0	-1
50090	1	10023	1	0	-1
50090	1	10024	1	0	-1
50090	1	10025	1	0	-1
50090	1	10026	1	0	-1
50091	1	9998	1	0	-1
50091	1	9999	1	0	-1
50091	2	10014	2	0	-1
50091	2	10015	2	0	-1
50091	2	9997	2	0	-1
50091	2	11014	2	0	-1
50091	2	11015	2	0	-1
50091	2	11016	2	0	-1
50091	1	10016	2	0	-1
50091	1	10017	2	0	-1
50091	1	10018	2	0	-1
50091	1	10019	2	0	-1
50091	1	10020	1	0	-1
50091	1	10021	1	0	-1
50091	1	10022	1	0	-1
50091	1	10023	1	0	-1
50091	1	10024	1	0	-1
50091	1	10025	1	0	-1
50091	1	10026	1	0	-1
50091	1	10027	1	0	-1
50178	1	9998	1	0	-1
50178	1	9999	1	0	-1
50178	2	10014	2	0	-1
50178	2	10015	2	0	-1
50178	2	9997	2	0	-1
50178	2	11014	2	0	-1
50178	2	11015	2	0	-1
50178	2	11016	2	0	-1
50178	1	10016	2	0	-1
50178	1	10017	2	0	-1
50178	1	10018	2	0	-1
50178	1	10019	2	0	-1
50178	1	10020	1	0	-1
50178	1	10021	1	0	-1
50178	1	10022	1	0	-1
50178	1	10023	1	0	-1
50178	1	10024	1	0	-1
50178	1	10025	1	0	-1
50178	1	10026	1	0	-1
50178	1	10027	1	0	-1
50179	1	9998	1	0	-1
50179	1	9999	1	0	-1
50179	2	10014	2	0	-1
50179	2	10015	2	0	-1
50179	2	9997	2	0	-1
50179	2	11014	2	0	-1
50179	2	11015	2	0	-1
50179	2	11016	2	0	-1
50179	1	10016	2	0	-1
50179	1	10017	2	0	-1
50179	1	10018	2	0	-1
50179	1	10019	2	0	-1
50179	1	10020	1	0	-1
50179	1	10021	1	0	-1
50179	1	10022	1	0	-1
50179	1	10023	1	0	-1
50179	1	10024	1	0	-1
50179	1	10025	1	0	-1
50179	1	10026	1	0	-1
50179	1	10027	1	0	-1
50180	1	9998	1	0	-1
50180	1	9999	1	0	-1
50180	2	10014	2	0	-1
50180	2	10015	2	0	-1
50180	2	9997	2	0	-1
50180	2	11014	2	0	-1
50180	2	11015	2	0	-1
50180	2	11016	2	0	-1
50180	1	10016	2	0	-1
50180	1	10017	2	0	-1
50180	1	10018	2	0	-1
50180	1	10019	2	0	-1
50180	1	10020	1	0	-1
50180	1	10021	1	0	-1
50180	1	10022	1	0	-1
50180	1	10023	1	0	-1
50180	1	10024	1	0	-1
50180	1	10025	1	0	-1
50180	1	10026	1	0	-1
50180	1	10027	1	0	-1
50125	1	10013	2	0	-1
50125	1	10014	2	0	-1
50125	1	10015	2	0	-1
50125	1	9997	2	0	-1
50125	1	11013	2	0	-1
50125	1	11014	2	0	-1
50125	1	11015	2	0	-1
50125	1	11016	2	0	-1
50125	1	10016	1	0	-1
50125	1	10017	1	0	-1
50125	1	10018	1	0	-1
50125	1	10019	1	0	-1
50125	1	9998	1	0	-1
50125	1	9999	1	0	-1
50126	1	10014	2	0	-1
50126	1	10015	2	0	-1
50126	1	9997	2	0	-1
50126	1	11014	2	0	-1
50126	1	11015	2	0	-1
50126	1	11016	2	0	-1
50126	1	10016	1	0	-1
50126	1	10017	1	0	-1
50126	1	10018	1	0	-1
50126	1	10019	1	0	-1
50126	1	10020	1	0	-1
50126	1	10021	1	0	-1
50126	1	10022	1	0	-1
50126	1	10023	1	0	-1
50126	1	9998	1	0	-1
50126	1	9999	1	0	-1
50127	1	10016	2	0	-1
50127	1	10017	2	0	-1
50127	1	10018	2	0	-1
50127	1	10019	2	0	-1
50127	1	10020	1	0	-1
50127	1	10021	1	0	-1
50127	1	10022	1	0	-1
50127	1	10023	1	0	-1
50127	1	10024	1	0	-1
50127	1	10025	1	0	-1
50127	1	10026	1	0	-1
50127	1	10027	1	0	-1
50127	1	9998	1	0	-1
50127	1	9999	1	0	-1
50128	2	10020	2	0	-1
50128	2	10021	2	0	-1
50128	2	10022	2	0	-1
50128	2	10023	2	0	-1
50128	2	10024	2	0	-1
50128	2	10025	2	0	-1
50128	2	10026	2	0	-1
50128	2	10027	2	0	-1
50128	1	9998	1	0	-1
50128	1	9999	1	0	-1
50134	2	10010	2	0	-1
50134	2	10011	2	0	-1
50134	2	10012	2	0	-1
50134	2	10013	2	0	-1
50134	2	10014	2	0	-1
50134	2	10015	2	0	-1
50134	2	9997	2	0	-1
50134	2	11010	2	0	-1
50134	2	11011	2	0	-1
50134	2	11012	2	0	-1
50134	2	11013	2	0	-1
50134	2	11014	2	0	-1
50134	2	11015	2	0	-1
50134	2	11016	2	0	-1
50134	1	10016	1	0	-1
50134	1	10017	1	0	-1
50134	1	10018	1	0	-1
50134	1	10019	1	0	-1
50134	1	10020	1	0	-1
50134	1	9998	1	0	-1
50134	1	9999	1	0	-1
50141	8	9001	80	0	-1
50141	8	9002	80	0	-1
50141	8	9003	80	0	-1
50141	8	9004	80	0	-1
50141	2	22	2	0	-1
50141	2	23	2	0	-1
50141	2	24	2	0	-1
50141	2	25	2	0	-1
50142	8	9001	80	0	-1
50142	8	9002	80	0	-1
50142	8	9003	80	0	-1
50142	8	9004	80	0	-1
50142	2	22	2	0	-1
50142	2	23	2	0	-1
50142	2	24	2	0	-1
50142	2	25	2	0	-1
50143	8	9001	80	0	-1
50143	8	9002	80	0	-1
50143	8	9003	80	0	-1
50143	8	9004	80	0	-1
50143	2	22	2	0	-1
50143	2	23	2	0	-1
50143	2	24	2	0	-1
50143	2	25	2	0	-1
50144	8	9001	80	0	-1
50144	8	9002	80	0	-1
50144	8	9003	80	0	-1
50144	8	9004	80	0	-1
50144	2	22	2	0	-1
50144	2	23	2	0	-1
50144	2	24	2	0	-1
50144	2	25	2	0	-1
50145	8	9001	80	0	-1
50145	8	9002	80	0	-1
50145	8	9003	80	0	-1
50145	8	9004	80	0	-1
50145	2	22	2	0	-1
50145	2	23	2	0	-1
50145	2	24	2	0	-1
50145	2	25	2	0	-1
50146	8	9001	80	0	-1
50146	8	9002	80	0	-1
50146	8	9003	80	0	-1
50146	8	9004	80	0	-1
50146	2	22	2	0	-1
50146	2	23	2	0	-1
50146	2	24	2	0	-1
50146	2	25	2	0	-1
50147	8	9001	80	0	-1
50147	8	9002	80	0	-1
50147	8	9003	80	0	-1
50147	8	9004	80	0	-1
50147	2	22	2	0	-1
50147	2	23	2	0	-1
50147	2	24	2	0	-1
50147	2	25	2	0	-1
50148	8	9001	80	0	-1
50148	8	9002	80	0	-1
50148	8	9003	80	0	-1
50148	8	9004	80	0	-1
50148	2	22	2	0	-1
50148	2	23	2	0	-1
50148	2	24	2	0	-1
50148	2	25	2	0	-1
50149	8	9001	80	0	-1
50149	8	9002	80	0	-1
50149	8	9003	80	0	-1
50149	8	9004	80	0	-1
50149	2	22	2	0	-1
50149	2	23	2	0	-1
50149	2	24	2	0	-1
50149	2	25	2	0	-1
50150	8	9001	80	0	-1
50150	8	9002	80	0	-1
50150	8	9003	80	0	-1
50150	8	9004	80	0	-1
50150	2	22	2	0	-1
50150	2	23	2	0	-1
50150	2	24	2	0	-1
50150	2	25	2	0	-1
50152	4	9036	200	0	-1
50152	4	9037	200	0	-1
50169	1	9998	1	0	-1
50169	1	9999	1	0	-1
50169	4	14009	20	0	-1
50169	4	14010	20	0	-1
50169	4	14011	20	0	-1
50169	4	14012	20	0	-1
50169	1	14017	1	0	-1
50169	1	14018	1	0	-1
50169	1	14019	1	0	-1
50169	1	14020	1	0	-1
50169	1	14029	1	0	-1
50170	1	9998	1	0	-1
50170	1	9999	1	0	-1
50170	4	14011	20	0	-1
50170	4	14012	20	0	-1
50170	4	14013	20	0	-1
50170	4	14014	20	0	-1
50170	1	14018	1	0	-1
50170	1	14020	1	0	-1
50170	1	14022	2	0	-1
50170	1	14030	1	0	-1
50171	1	9998	1	0	-1
50171	1	9999	1	0	-1
50171	4	14013	36	0	-1
50171	4	14014	36	0	-1
50171	4	14015	36	0	-1
50171	4	14016	36	0	-1
50171	1	14018	1	0	-1
50171	1	14020	1	0	-1
50171	1	14026	2	0	-1
50171	1	14031	1	0	-1
50173	4	37001	20	0	-1
50173	4	37002	20	0	-1
50173	4	37003	16	0	-1
50173	4	37004	16	0	-1
50173	4	37005	16	0	-1
50173	4	37006	16	0	-1
50173	4	37007	8	0	-1
50173	4	37008	16	0	-1
50173	1	37009	1	0	-1
50173	1	37010	1	0	-1
50173	1	37011	1	0	-1
50173	2	37012	2	0	-1
50182	4	15001	20	0	-1
50182	4	15002	20	0	-1
50182	4	15003	20	0	-1
50186	3	15003	15	0	-1
50186	3	15004	15	0	-1
50186	3	15005	15	0	-1
50186	3	15006	15	0	-1
50183	3	15006	12	0	-1
50183	3	15007	12	0	-1
50183	3	15008	12	0	-1
50183	3	15009	12	0	-1
50187	3	15009	12	0	-1
50187	3	15010	12	0	-1
50187	3	15011	12	0	-1
50187	3	15012	12	0	-1
50184	3	15011	12	0	-1
50184	3	15012	12	0	-1
50184	3	15013	12	0	-1
50184	3	15014	12	0	-1
50184	1	15019	1	0	-1
50188	3	15013	12	0	-1
50188	3	15014	12	0	-1
50188	3	15015	12	0	-1
50188	3	15016	12	0	-1
50188	1	15019	1	0	-1
50188	1	15020	1	0	-1
50185	2	15015	10	0	-1
50185	2	15016	10	0	-1
50185	2	15017	10	0	-1
50185	2	15018	10	0	-1
50185	1	15019	1	0	-1
50185	1	15020	1	0	-1
50185	1	15021	1	0	-1
50185	1	15022	1	0	-1
50189	4	15017	20	0	-1
50189	4	15018	20	0	-1
50189	2	15019	2	0	-1
50189	2	15020	2	0	-1
50189	2	15021	2	0	-1
50189	2	15022	2	0	-1
