INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	STRING	STRING
1044	特牛微信礼包	2	200	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	te6	-1
1045	37盒子	2	210	262	37盒子	openPanel|daTingPanel	0	0	1	0	0	1|2	1	1	1	-1	-1	1	37wan	-1
1046	37手机绑定	2	211	72	37手机绑定	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	37wan	-1
1047	te6超级会员	2	208	76	te6超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	te6	-1
1048	360大玩家	2	230	150	360大玩家	-1	0	0	1	0	1	1|2	0	0	1	-1	-1	1	w360	-1
1049	YY名人堂	2	230	151	YY名人堂	callJs|OpenYYWindows|duowanclouds	0	0	1	0	1	1|2	0	0	1	-1	-1	1	duowanclouds	-1
1050	CJ福利季	2	230	152	CJ福利季	callJs|OpenWindows|w360	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1052	9377会员特权	99	221	159	9377会员特权	openPanel|daTingVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	9377	-1
1053	9377微信礼包	99	219	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	9377	-1
1054	9377手机绑定	99	211	72	9377手机绑定	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	9377	-1
1055	9377身份验证	99	210	142	9377身份验证	openPanel|personalDataPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	9377	-1
1056	7游微信礼包	2	200	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	7youxi	-1
1057	7游超级会员	2	208	76	7游超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	7youxi	-1
1058	9377超级会员	99	208	76	9377超级会员	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	9377	-1
1059	360美女陪玩	2	231	161	美女陪玩	callJs|OpenTV|w360	0	0	1	0	1	1|2	0	0	99999	-1	-1	1	w360	-1
1061	百服庆典	2	230	162	百服庆典	callJs|OpenPageant|duowanclouds	0	0	1	0	1	1|2	0	0	1	-1	-1	1	duowanclouds	-1
1062	9377专属福利	2	220	160	9377专属福利	-1	0	0	0	0	1	1|2	1	1	1	-1	-1	1	9377	1051|1052|1053|1054|1055|1058
1064	小狗特权	2	240	164	小狗特权	openPanel|yiYeHeZuoChargePanel	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1065	小狗庆典	2	241	163	小狗庆典	openPanel|yiYeHeZuoQinDianPanel	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1066	浪漫七夕	2	241	165	浪漫七夕	callJs|OpenQixi|w360	0	0	1	0	1	1|2	0	0	99999	-1	-1	1	w360	-1
1068	YY庆典	2	230	167	YY庆典	callJs|OpenYYFestivals|duowanclouds	0	0	1	0	1	1|2	0	0	1	-1	-1	1	duowanclouds	-1
1070	易乐玩游戏大厅	2	221	169	游戏大厅	openPanel|daTingPanel	0	0	1	0	0	1|2	1	1	1	-1	-1	1	yilewan	-1
1071	易乐玩身份验证	2	222	142	身份验证	openPanel|personalDataPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	yilewan	-1
1072	易乐玩微信礼包	2	223	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	yilewan	-1
1073	易乐玩手机绑定	2	211	72	手机绑定	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	yilewan	-1
1074	妖豆超级会员	2	208	76	妖豆超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	yaodou	-1
1075	YY火爆论坛	2	235	170	火爆论坛	callJs|OpenYYForum|duowanclouds	0	0	1	0	1	1|2	0	0	1	-1	-1	1	duowanclouds	-1
1076	熊猫游戏大厅	2	221	171	游戏大厅	openPanel|daTingPanel	0	0	1	0	1	1|2	1	1	1	-1	-1	1	pdsso	-1
1077	天选之人	2	235	172	天选之人	callJs|Open7youxiTianXuan|7youxi	0	0	1	0	1	1|2	0	0	1	-1	-1	1	7youxi	-1
1079	乐都微信礼包	2	237	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	ledu	-1
1080	乐都超级会员	2	238	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	ledu	-1
1081	鲁大师超级会员	2	239	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	taojike	-1
1082	乐都助手	2	240	173	乐都助手	openPanel|daTingPanel	0	0	1	0	1	1|2	1	1	1	-1	-1	1	ledu	-1
1083	乐都身份验证	2	241	142	身份验证	openPanel|personalDataPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	ledu	-1
1084	乐都手机绑定	2	242	72	手机绑定	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	ledu	-1
1085	贪玩微端特权	2	243	174	微端特权	openPanel|weiDuanDaTingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	tanwan	-1
1086	贪玩会员特权	2	244	175	VIP会员豪礼	openPanel|daTingVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	tanwan	-1
1088	签到充值	2	246	177	签到充值	callJs|Openw360SignIn|w360	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1089	充值排行	2	247	178	充值排行	callJs|Openw360Recharge|w360	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1090	YY充值兑换	2	248	179	充值兑换	callJs|OpenYYExchange|duowanclouds	0	0	1	0	1	1|2	0	0	1	-1	-1	1	duowanclouds	-1
1091	多玩超级会员	2	249	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	duowanclouds	-1
1092	金山猎豹超级会员	2	250	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	liebao_993h	-1
1093	2345超级会员	2	251	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	wan_993h	-1
1094	5599超级会员	2	252	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	5599	-1
1095	1666手机绑定	2	253	72	手机绑定	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	1666	-1
1096	1666微信礼包	2	254	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	1666	-1
1097	2345微信礼包	2	255	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	wan_993h	-1
1100	哥们网身份验证	2	258	182	身份验证	openPanel|personalDataPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	game2	-1
1104	爱奇艺微信礼包	2	262	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	apps	-1
1105	顺网盒子	2	263	185	盒子特权	openPanel|daTingPanel	0	0	1	0	1	1|2	1	1	1	-1	-1	1	swjoy	-1
1106	金山猎豹平台福利	2	264	186	平台福利	openPanel|daTingVipPanel	0	0	1	0	1	1|2	1	1	1	-1	-1	1	liebao_993h	-1
1107	2345平台福利	2	265	187	平台福利	openPanel|daTingVipPanel	0	0	1	0	1	1|2	1	1	1	-1	-1	1	wan_993h	-1
1108	金山猎豹平台福利	2	266	186	平台福利	openPanel|daTingPanel	0	0	1	0	1	1|2	1	1	1	-1	-1	1	liebao_993h	-1
1109	2345平台福利	2	267	187	平台福利	openPanel|daTingPanel	0	0	1	0	1	1|2	1	1	1	-1	-1	1	wan_993h	-1
1110	心仪会员	2	268	97	心仪会员	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	9999	9999	-1	1	w360	-1
1112	贪玩手机绑定	2	270	72	手机绑定	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	tanwan	-1
1113	贪玩超级会员	2	271	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	tanwan	-1
1114	搜狗名人堂	2	272	203	名人堂	callJs|OpenSogouWindows|sogou	0	0	1	0	1	1|2	0	0	1	-1	-1	1	sogou	-1
1115	youxi567超级会员	2	273	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	youxi567	-1
1116	pp158大厅	2	274	204	平台福利	openPanel|daTingPanel	0	0	1	0	1	1|2	1	1	1	-1	-1	1	pp158	-1
1118	360双十一活动	2	276	206	双十一豪礼	callJs|Openw360Eleven|w360	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1119	欢乐园超级会员	2	277	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	hly	-1
1120	xy周年庆典	2	278	207	周年庆典	callJs|OpenXyPageant|xy	0	0	1	0	1	1|2	0	0	1	-1	-1	1	xy	-1
1122	鲁大师大厅	2	280	210	大厅福利	openPanel|luDaShiVipPanel|1	0	0	1	0	1	1|2	1	1	1	-1	-1	1	taojike	-1
1123	贪玩百服盛宴	2	281	211	百服盛宴	callJs|OpenTanwanFeast|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1124	贪玩冰火王座	2	282	212	冰火王座	callJs|OpentanwanThrone|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1125	贪玩百服活动	2	283	213	百服活动	callJs|OpentanwanHundred|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1127	多玩签到豪礼	2	285	216	签到豪礼	callJs|OpenYYSignIn|duowanclouds	0	0	1	0	1	1|2	0	0	1	-1	-1	1	duowanclouds	-1
1128	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1129	致狂战180天	2	287	218	致狂战180天	callJs|Openw360ToBattle|w360	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1132	贪玩拍卖行	2	290	222	拍卖盛典	callJs|OpentanwanAuction|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1133	9211超级会员	2	291	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	9211	-1
1134	积分竞拍	2	292	223	积分竞拍	callJs|Openw360IntegralAuction|w360	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1136	植树造林	2	294	225	植树造林	openPanel|christmasPanel	0	0	1	1	1	1|2	0	0	100	-1	-1	1	-1	-1
1137	盗木贼	2	294	225	盗木贼	autoPath|1|50001|141|150	1	49	1	1	1	1|2	0	0	100	-1	-1	1	-1	-1
1138	贪玩名人堂	2	295	226	名人堂	callJs|OpentanwanWindows|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1139	搜狗微信礼包	2	259	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	sogou	-1
1140	PP158游戏大厅	2	296	227	游戏大厅	openPanel|daTingPanel	0	0	1	0	0	1|2	1	1	1	-1	-1	1	pp158	-1
1142	贪玩新手村	2	298	229	冰火新手村	callJs|OpentanwanNovice|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1144	贪玩回归	2	300	231	王者回归	callJs|OpentanwanReturnKing|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1145	新年活动	2	301	232	新年活动	callJs|Openw360NewYear|w360	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1147	xy金猪贺春	2	303	234	金猪贺春	callJs|OpenXyGoldpigNewyear|xy	0	0	1	0	1	1|2	0	0	1	-1	-1	1	xy	-1
1148	贪玩流浪地球	2	304	235	流浪地球	callJs|OpentanwanWanderingEarth|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1149	贪玩充值回馈春节	2	305	236	春节充值大回馈	callJs|OpentanwanNewyearRecharge|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1150	贪玩平台新年狂欢	2	306	237	新年狂欢	callJs|OpentanwanHappyNewyear|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1151	贪玩情人节	2	307	238	情人节	callJs|OpentanwanValentine|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1152	贪玩惊喜闹元宵	2	308	239	惊喜闹元宵	callJs|OpentanwanYuanXiao|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1154	贪玩千服盛宴	2	310	242	千服盛宴	callJs|OpentanwanThousandFeast|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1155	360元宵福利	2	311	243	元宵福利	callJs|Openw360LanternFestival|w360	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1157	360欧皇鉴定	2	313	245	欧皇鉴定器	callJs|Open36OuHuang|w360	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1161	贪玩账号安全	2	316	249	账号安全	callJs|OpentanwanSecurity|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1162	鲁大师名人堂	2	317	247	名人堂	callJs|OpentaojikeWindows|taojike	0	0	1	0	1	1|2	0	0	1	-1	-1	1	taojike	-1
1163	37tang名人堂	2	293	224	名人堂	callJs|Open37tangWindows|37tang	0	0	1	0	1	1|2	0	0	1	-1	-1	1	37tang	-1
1166	2217名人堂	2	320	224	名人堂	callJs|Open2217tangWindows|2217	0	0	1	0	1	1|2	0	0	1	-1	-1	1	2217	-1
1167	7youxi名人堂	2	321	224	名人堂	callJs|Open7youxiWindows|7youxi	0	0	1	0	1	1|2	0	0	1	-1	-1	1	7youxi	-1
1168	9211名人堂	2	322	224	名人堂	callJs|Open9211Windows|9211	0	0	1	0	1	1|2	0	0	1	-1	-1	1	9211	-1
1169	心魔预告	2	323	251	心魔	openPanel|yuGaoPanel	0	0	1	1	1	1|2	0	0	9999	-1	-1	1	-1	-1
1170	贪玩充值有礼	2	324	252	充值有礼	callJs|OpentanwanChongzhiyouli|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1171	贪玩签到豪礼	2	325	253	签到豪礼	callJs|OpentanwanQiandaohaoli|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1172	360踏青节	2	326	254	踏春节	callJs|Open36OTaqing|w360	0	0	1	0	1	1|2	0	0	9999	-1	-1	1	w360	-1
1173	贪玩月末狂欢	2	327	255	月末狂欢	callJs|OpentanwanYuemokuanghuan|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1174	牡丹花会	2	328	256	牡丹花会	openPanel|festivalActivityPanel	0	0	1	1	1	1|2	0	0	100	-1	-1	1	-1	-1
1175	腾讯超级会员	2	329	76	超级会员	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	qq	-1
1177	te6手机认证	2	331	72	手机认证	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	te6	-1
1178	xy名人堂	2	332	224	名人堂	callJs|OpenxyWindows|xy	0	0	1	0	1	1|2	0	0	1	-1	-1	1	xy	-1
1179	牡丹花会	2	294	256	牡丹花会	autoPath|1|50001|98|80	1	51	1	1	1	1|2	0	0	100	-1	-1	1	-1	-1
1180	贪玩玩家专访	2	327	258	玩家专访	callJs|OpentanwanWanJiaZhuanFang|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1181	贪玩春暖花开	2	327	259	春暖花开	callJs|OpentanwanChunNuanHuaKai|tanwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	tanwan	-1
1182	191名人堂	2	332	224	名人堂	callJs|OpenxyWindows|191game	0	0	1	0	1	1|2	0	0	1	-1	-1	1	191game	-1
1183	鲁大师微信礼包	2	333	88	微信礼包	openPanel|weChatPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	taojike	-1
1184	易乐玩全民福利	2	334	260	全新福利上线，充值享立减	callJs|OpenYilewanQuanminfuli|yilewan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	yilewan	-1
1185	4399特权	2	335	261	4399特权礼包	openPanel|weiDuanDaTingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	iwan4399	-1
1186	37wan身份验证	2	336	142	身份验证	openPanel|personalDataPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	37wan	-1
1187	51超级会员	2	337	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	51	-1
1188	1912yx超级会员	2	338	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	1912yx	-1
1189	顺网超级会员	2	339	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	swjoy	-1
1190	顺网手机认证	2	340	72	手机认证	openPanel|phoneBangdingPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	swjoy	-1
1191	斗鱼平台福利	2	341	268	会员特权	openPanel|daTingPanel	0	0	1	0	1	1|2	1	1	1	-1	-1	1	douyu_993h	-1
1192	斗鱼超级会员	2	342	76	超级VIP客服	openPanel|SuperVipPanel	0	0	0	0	1	1|2	1	1	1	-1	-1	1	douyu_993h	-1
1193	iwan4399身份验证	2	343	142	身份验证	callJs|Open4399ShenFenYanZheng|iwan4399	0	0	1	0	1	1|2	1	1	1	-1	-1	1	iwan4399	-1
1194	37名人堂	2	279	224	名人堂	callJs|Open37wanWindows|37wan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	37wan	-1
1195	937wan名人堂	2	279	224	名人堂	callJs|Open937wanWindows|937wan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	937wan	-1
1196	傲天名人堂	2	279	224	名人堂	callJs|OpenaotianWindows|aotian	0	0	1	0	1	1|2	0	0	1	-1	-1	1	aotian	-1
1197	爱玖名人堂	2	279	224	名人堂	callJs|OpenaijiuWindows|aijiu	0	0	1	0	1	1|2	0	0	1	-1	-1	1	aijiu	-1
1198	8090名人堂	2	279	224	名人堂	callJs|Open8090Windows|8090	0	0	1	0	1	1|2	0	0	1	-1	-1	1	8090	-1
1199	酷猫名人堂	2	279	224	名人堂	callJs|OpenkmaoWindows|kmao	0	0	1	0	1	1|2	0	0	1	-1	-1	1	kmao	-1
1200	聚玩名人堂	2	279	224	名人堂	callJs|OpenjuwanWindows|juwan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	juwan	-1
1201	可乐名人堂	2	279	224	名人堂	callJs|OpenkeleWindows|kele	0	0	1	0	1	1|2	0	0	1	-1	-1	1	kele	-1
1202	鲁大师庆典	2	334	189	鲁大师庆典	callJs|Opentaojikeqingdian|taojike	0	0	1	0	1	1|2	0	0	1	-1	-1	1	taojike	-1
1203	9696pk身份认证	2	334	142	身份认证	openPanel|personalDataPanel	0	0	1	0	1	1|2	0	0	1	-1	-1	1	9696pk	-1
1204	123yx名人堂	2	279	224	名人堂	callJs|Open123yxWindows|123yx	0	0	1	0	1	1|2	0	0	1	-1	-1	1	123yx	-1
1205	51名人堂	2	279	224	名人堂	callJs|Open51Windows|51	0	0	1	0	1	1|2	0	0	1	-1	-1	1	51	-1
1206	ku25名人堂	2	279	224	名人堂	callJs|Openku25Windows|ku25	0	0	1	0	1	1|2	0	0	1	-1	-1	1	ku25	-1
1207	呵呵名人堂	2	279	224	名人堂	callJs|OpenheheyxWindows|heheyx	0	0	1	0	1	1|2	0	0	1	-1	-1	1	heheyx	-1
1208	511wan名人堂	2	279	224	名人堂	callJs|Open511wanWindows|511wan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	511wan	-1
1209	2323wan名人堂	2	279	224	名人堂	callJs|Open2323wanWindows|2323wan	0	0	1	0	1	1|2	0	0	1	-1	-1	1	2323wan	-1
1210	9377名人堂	2	279	224	名人堂	callJs|Open9377Windows|9377	0	0	1	0	1	1|2	0	0	1	-1	-1	1	9377	-1
