INT	STRING	INT	STRING	STRING	STRING	INT	STRING
961	千刃	1	物理	爆发出万千剑刃，对自己周围10格内最多6个敌人造成基础伤害162#1%的物理伤害	#00ff00|造成的伤害提升52%	64	-1
962	千刃	1	物理	爆发出万千剑刃，对自己周围10格内最多6个敌人造成基础伤害214#1%的物理伤害	#00ff00|造成的伤害提升52%	64	-1
963	千刃	1	物理	爆发出万千剑刃，对自己周围10格内最多6个敌人造成基础伤害266#1%的物理伤害	#00ff00|造成的伤害提升53%	64	-1
964	千刃	1	物理	爆发出万千剑刃，对自己周围10格内最多6个敌人造成基础伤害319#1%的物理伤害	#00ff00|造成的伤害提升52%	64	-1
965	千刃	1	物理	爆发出万千剑刃，对自己周围10格内最多6个敌人造成基础伤害371#1%的物理伤害	#00ff00|造成的伤害提升104%	64	-1
966	千刃	1	物理	爆发出万千剑刃，对自己周围10格内最多6个敌人造成基础伤害475#1%的物理伤害	#00ff00|造成的伤害提升52%	64	-1
967	千刃	1	物理	爆发出万千剑刃，对自己周围10格内最多6个敌人造成基础伤害527#1%的物理伤害	#00ff00|造成的伤害提升52%	64	-1
968	千刃	1	物理	爆发出万千剑刃，对自己周围10格内最多6个敌人造成基础伤害579#1%的物理伤害	#00ff00|造成的伤害提升52%	64	-1
969	千刃	1	物理	爆发出万千剑刃，对自己周围10格内最多6个敌人造成基础伤害631#1%的物理伤害	#00ff00|造成的伤害提升105%	64	-1
970	千刃	1	物理	爆发出万千剑刃，对自己周围10格内最多6个敌人造成基础伤害736#1%的物理伤害	#00ff00|技能已达到最高等级	64	-1
1051	虎击	1	物理	迅猛地攻击敌人，对单体敌人造成基础伤害145%的物理伤害。每进行三次虎击可以获得1点气|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	71	-1
1052	虎击	1	物理	迅猛地攻击敌人，对单体敌人造成基础伤害180%的物理伤害。每进行三次虎击可以获得1点气|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	71	-1
1053	虎击	1	物理	迅猛地攻击敌人，对单体敌人造成基础伤害215%的物理伤害。每进行三次虎击可以获得1点气|n（可作为默认1号技能）	#00ff00|造成的伤害提升36%	71	-1
1054	虎击	1	物理	迅猛地攻击敌人，对单体敌人造成基础伤害251%的物理伤害。每进行三次虎击可以获得1点气|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	71	-1
1055	虎击	1	物理	迅猛地攻击敌人，对单体敌人造成基础伤害286%的物理伤害。每进行三次虎击可以获得1点气|n（可作为默认1号技能）	#00ff00|造成的伤害提升70%	71	-1
1056	虎击	1	物理	迅猛地攻击敌人，对单体敌人造成基础伤害356%的物理伤害。每进行三次虎击可以获得1点气|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	71	-1
1057	虎击	1	物理	迅猛地攻击敌人，对单体敌人造成基础伤害391%的物理伤害。每进行三次虎击可以获得1点气|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	71	-1
1058	虎击	1	物理	迅猛地攻击敌人，对单体敌人造成基础伤害426%的物理伤害。每进行三次虎击可以获得1点气|n（可作为默认1号技能）	#00ff00|造成的伤害提升35%	71	-1
1059	虎击	1	物理	迅猛地攻击敌人，对单体敌人造成基础伤害461%的物理伤害。每进行三次虎击可以获得1点气|n（可作为默认1号技能）	#00ff00|造成的伤害提升71%	71	-1
1060	虎击	1	物理	迅猛地攻击敌人，对单体敌人造成基础伤害532%的物理伤害。每进行三次虎击可以获得1点气|n（可作为默认1号技能）	#00ff00|技能已达到最高等级	71	-1
1071	飞龙在天	1	物理	瞬间接近敌人并对其造成基础伤害162#1%的物理伤害	#00ff00|造成的伤害提升52%	72	-1
1072	飞龙在天	1	物理	瞬间接近敌人并对其造成基础伤害214#1%的物理伤害	#00ff00|造成的伤害提升52%	72	-1
1073	飞龙在天	1	物理	瞬间接近敌人并对其造成基础伤害266#1%的物理伤害	#00ff00|造成的伤害提升53%	72	-1
1074	飞龙在天	1	物理	瞬间接近敌人并对其造成基础伤害319#1%的物理伤害	#00ff00|造成的伤害提升52%	72	-1
1075	飞龙在天	1	物理	瞬间接近敌人并对其造成基础伤害371#1%的物理伤害	#00ff00|造成的伤害提升104%	72	-1
1076	飞龙在天	1	物理	瞬间接近敌人并对其造成基础伤害475#1%的物理伤害	#00ff00|造成的伤害提升52%	72	-1
1077	飞龙在天	1	物理	瞬间接近敌人并对其造成基础伤害527#1%的物理伤害	#00ff00|造成的伤害提升52%	72	-1
1078	飞龙在天	1	物理	瞬间接近敌人并对其造成基础伤害579#1%的物理伤害	#00ff00|造成的伤害提升52%	72	-1
1079	飞龙在天	1	物理	瞬间接近敌人并对其造成基础伤害631#1%的物理伤害	#00ff00|造成的伤害提升105%	72	-1
1080	飞龙在天	1	物理	瞬间接近敌人并对其造成基础伤害736#1%的物理伤害	#00ff00|技能已达到最高等级	72	-1
1111	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害129#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害226%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多1个目标造成基础伤害129%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升20%	73	-1
1112	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害149#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害246%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多1个目标造成基础伤害149%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	73	-1
1113	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害168#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害265%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多1个目标造成基础伤害168%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	73	-1
1114	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害187#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害284%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多1个目标造成基础伤害187%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升20%	73	-1
1115	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害207#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害304%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多1个目标造成基础伤害207%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升39%	73	-1
1116	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害246#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害342%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多1个目标造成基础伤害246%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	73	-1
1117	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害265#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害362%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多1个目标造成基础伤害265%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	73	-1
1118	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害284#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害381%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多1个目标造成基础伤害284%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升20%	73	-1
1119	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害304#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害401%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多1个目标造成基础伤害304%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升38%	73	-1
1120	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害342#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害439%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多1个目标造成基础伤害342%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|技能已达到最高等级	73	-1
1131	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害226#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害323%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多4个目标造成基础伤害226%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升20%	74	-1
1132	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害246#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害342%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多4个目标造成基础伤害246%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	74	-1
1133	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害265#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害362%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多4个目标造成基础伤害265%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	74	-1
1134	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害284#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害381%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多4个目标造成基础伤害284%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升20%	74	-1
1135	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害304#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害401%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多4个目标造成基础伤害304%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升38%	74	-1
1136	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害342#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害439%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多4个目标造成基础伤害342%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升20%	74	-1
1137	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害362#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害459%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多4个目标造成基础伤害362%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	74	-1
1138	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害381#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害478%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多4个目标造成基础伤害381%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升20%	74	-1
1139	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害401#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害497%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多4个目标造成基础伤害401%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升38%	74	-1
1140	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害439#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害536%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多4个目标造成基础伤害439%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|技能已达到最高等级	74	-1
1151	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害323#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害144%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多0个目标造成基础伤害323%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	75	-1
1152	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害342#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害178%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多0个目标造成基础伤害342%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升20%	75	-1
1153	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害362#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害211%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多0个目标造成基础伤害362%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	75	-1
1154	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害381#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害245%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多0个目标造成基础伤害381%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升20%	75	-1
1155	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害401#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害279%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多0个目标造成基础伤害401%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升38%	75	-1
1156	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害439#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害347%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多0个目标造成基础伤害439%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升20%	75	-1
1157	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害459#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害381%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多0个目标造成基础伤害459%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	75	-1
1158	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害478#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害414%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多0个目标造成基础伤害478%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升19%	75	-1
1159	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害497#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害448%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多0个目标造成基础伤害497%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|造成的伤害提升39%	75	-1
1160	凤凰攻击	1	物理	凤凰攻击（冰）：消耗1点气，对单体敌人造成基础伤害536#1%的冰霜伤害，并且降低其移动速度|n凤凰攻击（雷）：消耗2点气，对单体敌人造成基础伤害516%的闪电伤害，并且降低其全抗性|n凤凰攻击（火）：消耗3点气，对敌人及其周围最多0个目标造成基础伤害536%的火焰伤害|n至少拥有1点气才能释放，使用将会消耗所有的气	#00ff00|技能已达到最高等级	75	-1
1201	影击	1	物理	挥舞附着暗影之力的刀刃攻击敌人，对自己前方3格内最多4个敌人造成基础伤害144%的物理伤害	#00ff00|造成的伤害提升34%	81	-1
1202	影击	1	物理	挥舞附着暗影之力的刀刃攻击敌人，对自己前方3格内最多4个敌人造成基础伤害178%的物理伤害	#00ff00|造成的伤害提升33%	81	-1
1203	影击	1	物理	挥舞附着暗影之力的刀刃攻击敌人，对自己前方3格内最多4个敌人造成基础伤害211%的物理伤害	#00ff00|造成的伤害提升34%	81	-1
1204	影击	1	物理	挥舞附着暗影之力的刀刃攻击敌人，对自己前方3格内最多4个敌人造成基础伤害245%的物理伤害	#00ff00|造成的伤害提升34%	81	-1
1205	影击	1	物理	挥舞附着暗影之力的刀刃攻击敌人，对自己前方3格内最多4个敌人造成基础伤害279%的物理伤害	#00ff00|造成的伤害提升68%	81	-1
1206	影击	1	物理	挥舞附着暗影之力的刀刃攻击敌人，对自己前方3格内最多4个敌人造成基础伤害347%的物理伤害	#00ff00|造成的伤害提升34%	81	-1
1207	影击	1	物理	挥舞附着暗影之力的刀刃攻击敌人，对自己前方3格内最多4个敌人造成基础伤害381%的物理伤害	#00ff00|造成的伤害提升33%	81	-1
1208	影击	1	物理	挥舞附着暗影之力的刀刃攻击敌人，对自己前方3格内最多4个敌人造成基础伤害414%的物理伤害	#00ff00|造成的伤害提升34%	81	-1
1209	影击	1	物理	挥舞附着暗影之力的刀刃攻击敌人，对自己前方3格内最多4个敌人造成基础伤害448%的物理伤害	#00ff00|造成的伤害提升68%	81	-1
1210	影击	1	物理	挥舞附着暗影之力的刀刃攻击敌人，对自己前方3格内最多4个敌人造成基础伤害516%的物理伤害	#00ff00|技能已达到最高等级	81	-1
1221	幻影之舞	1	物理	在最远6格的指定位置释放出舞动的幻影，每0.5秒对周围最多6个敌人造成基础伤害137#1%的物理伤害，持续1.5秒	#00ff00|造成的伤害提升1%	82	-1
1222	幻影之舞	1	物理	在最远6格的指定位置释放出舞动的幻影，每0.5秒对周围最多6个敌人造成基础伤害138#1%的物理伤害，持续1.5秒	#00ff00|造成的伤害提升2%	82	-1
1223	幻影之舞	1	物理	在最远6格的指定位置释放出舞动的幻影，每0.5秒对周围最多6个敌人造成基础伤害140#1%的物理伤害，持续1.5秒	#00ff00|造成的伤害提升1%	82	-1
1224	幻影之舞	1	物理	在最远6格的指定位置释放出舞动的幻影，每0.5秒对周围最多6个敌人造成基础伤害141#1%的物理伤害，持续1.5秒	#00ff00|造成的伤害提升2%	82	-1
1225	幻影之舞	1	物理	在最远6格的指定位置释放出舞动的幻影，每0.5秒对周围最多6个敌人造成基础伤害143#1%的物理伤害，持续1.5秒	#00ff00|造成的伤害提升2%	82	-1
1226	幻影之舞	1	物理	在最远6格的指定位置释放出舞动的幻影，每0.5秒对周围最多6个敌人造成基础伤害145#1%的物理伤害，持续1.5秒	#00ff00|造成的伤害提升2%	82	-1
1227	幻影之舞	1	物理	在最远6格的指定位置释放出舞动的幻影，每0.5秒对周围最多6个敌人造成基础伤害147#1%的物理伤害，持续1.5秒	#00ff00|造成的伤害提升1%	82	-1
1228	幻影之舞	1	物理	在最远6格的指定位置释放出舞动的幻影，每0.5秒对周围最多6个敌人造成基础伤害148#1%的物理伤害，持续1.5秒	#00ff00|造成的伤害提升2%	82	-1
1229	幻影之舞	1	物理	在最远6格的指定位置释放出舞动的幻影，每0.5秒对周围最多6个敌人造成基础伤害150#1%的物理伤害，持续1.5秒	#00ff00|造成的伤害提升3%	82	-1
1230	幻影之舞	1	物理	在最远6格的指定位置释放出舞动的幻影，每0.5秒对周围最多6个敌人造成基础伤害153#1%的物理伤害，持续1.5秒	#00ff00|技能已达到最高等级	82	-1
1261	召唤影子	1	物理	召唤出会释放刺客技能的刺客影子协助攻击敌人	#00ff00|造成的伤害提升0%	83	-1
1262	召唤影子	1	物理	召唤出会释放刺客技能的刺客影子协助攻击敌人	#00ff00|造成的伤害提升0%	83	-1
1263	召唤影子	1	物理	召唤出会释放刺客技能的刺客影子协助攻击敌人	#00ff00|造成的伤害提升0%	83	-1
1264	召唤影子	1	物理	召唤出会释放刺客技能的刺客影子协助攻击敌人	#00ff00|造成的伤害提升0%	83	-1
1265	召唤影子	1	物理	召唤出会释放刺客技能的刺客影子协助攻击敌人	#00ff00|造成的伤害提升0%	83	-1
1266	召唤影子	1	物理	召唤出会释放刺客技能的刺客影子协助攻击敌人	#00ff00|造成的伤害提升0%	83	-1
1267	召唤影子	1	物理	召唤出会释放刺客技能的刺客影子协助攻击敌人	#00ff00|造成的伤害提升0%	83	-1
1268	召唤影子	1	物理	召唤出会释放刺客技能的刺客影子协助攻击敌人	#00ff00|造成的伤害提升0%	83	-1
1269	召唤影子	1	物理	召唤出会释放刺客技能的刺客影子协助攻击敌人	#00ff00|造成的伤害提升0%	83	-1
1270	召唤影子	1	物理	召唤出会释放刺客技能的刺客影子协助攻击敌人	#00ff00|技能已达到最高等级	83	-1
1351	跳斩伤害和范围	1	无	无	无	0	-1
1352	跳斩伤害和范围	1	无	无	无	0	-1
1353	跳斩伤害和范围	1	无	无	无	0	-1
1354	跳斩伤害和范围	1	无	无	无	0	-1
1355	跳斩伤害和范围	1	无	无	无	0	-1
1356	跳斩伤害和范围	1	无	无	无	0	-1
1357	跳斩伤害和范围	1	无	无	无	0	-1
1358	跳斩伤害和范围	1	无	无	无	0	-1
1359	跳斩伤害和范围	1	无	无	无	0	-1
1360	跳斩伤害和范围	1	无	无	无	0	-1
1371	旋风斩伤害和范围	1	无	无	无	0	-1
1372	旋风斩伤害和范围	1	无	无	无	0	-1
1373	旋风斩伤害和范围	1	无	无	无	0	-1
1374	旋风斩伤害和范围	1	无	无	无	0	-1
1375	旋风斩伤害和范围	1	无	无	无	0	-1
1376	旋风斩伤害和范围	1	无	无	无	0	-1
1377	旋风斩伤害和范围	1	无	无	无	0	-1
1378	旋风斩伤害和范围	1	无	无	无	0	-1
1379	旋风斩伤害和范围	1	无	无	无	0	-1
1380	旋风斩伤害和范围	1	无	无	无	0	-1
1551	祝福之锤后续伤害和范围	1	无	无	无	0	-1
1552	祝福之锤后续伤害和范围	1	无	无	无	0	-1
1553	祝福之锤后续伤害和范围	1	无	无	无	0	-1
1554	祝福之锤后续伤害和范围	1	无	无	无	0	-1
1555	祝福之锤后续伤害和范围	1	无	无	无	0	-1
1556	祝福之锤后续伤害和范围	1	无	无	无	0	-1
1557	祝福之锤后续伤害和范围	1	无	无	无	0	-1
1558	祝福之锤后续伤害和范围	1	无	无	无	0	-1
1559	祝福之锤后续伤害和范围	1	无	无	无	0	-1
1560	祝福之锤后续伤害和范围	1	无	无	无	0	-1
1571	天堂之拳后续伤害和范围	1	无	无	无	0	-1
1572	天堂之拳后续伤害和范围	1	无	无	无	0	-1
1573	天堂之拳后续伤害和范围	1	无	无	无	0	-1
1574	天堂之拳后续伤害和范围	1	无	无	无	0	-1
1575	天堂之拳后续伤害和范围	1	无	无	无	0	-1
1576	天堂之拳后续伤害和范围	1	无	无	无	0	-1
1577	天堂之拳后续伤害和范围	1	无	无	无	0	-1
1578	天堂之拳后续伤害和范围	1	无	无	无	0	-1
1579	天堂之拳后续伤害和范围	1	无	无	无	0	-1
1580	天堂之拳后续伤害和范围	1	无	无	无	0	-1
1651	冰封球伤害和范围	1	无	无	无	0	-1
1652	冰封球伤害和范围	1	无	无	无	0	-1
1653	冰封球伤害和范围	1	无	无	无	0	-1
1654	冰封球伤害和范围	1	无	无	无	0	-1
1655	冰封球伤害和范围	1	无	无	无	0	-1
1656	冰封球伤害和范围	1	无	无	无	0	-1
1657	冰封球伤害和范围	1	无	无	无	0	-1
1658	冰封球伤害和范围	1	无	无	无	0	-1
1659	冰封球伤害和范围	1	无	无	无	0	-1
1660	冰封球伤害和范围	1	无	无	无	0	-1
1671	暴风雪伤害和范围	1	无	无	无	0	-1
1672	暴风雪伤害和范围	1	无	无	无	0	-1
1673	暴风雪伤害和范围	1	无	无	无	0	-1
1674	暴风雪伤害和范围	1	无	无	无	0	-1
1675	暴风雪伤害和范围	1	无	无	无	0	-1
1676	暴风雪伤害和范围	1	无	无	无	0	-1
1677	暴风雪伤害和范围	1	无	无	无	0	-1
1678	暴风雪伤害和范围	1	无	无	无	0	-1
1679	暴风雪伤害和范围	1	无	无	无	0	-1
1680	暴风雪伤害和范围	1	无	无	无	0	-1
1771	火旋风后续伤害和范围	1	无	无	无	0	-1
1772	火旋风后续伤害和范围	1	无	无	无	0	-1
1773	火旋风后续伤害和范围	1	无	无	无	0	-1
1774	火旋风后续伤害和范围	1	无	无	无	0	-1
1775	火旋风后续伤害和范围	1	无	无	无	0	-1
1776	火旋风后续伤害和范围	1	无	无	无	0	-1
1777	火旋风后续伤害和范围	1	无	无	无	0	-1
1778	火旋风后续伤害和范围	1	无	无	无	0	-1
1779	火旋风后续伤害和范围	1	无	无	无	0	-1
1780	火旋风后续伤害和范围	1	无	无	无	0	-1
1791	天火陨石伤害和范围Lv1	1	无	无	无	0	-1
1792	天火陨石伤害和范围Lv2	1	无	无	无	0	-1
1793	天火陨石伤害和范围Lv3	1	无	无	无	0	-1
1794	天火陨石伤害和范围Lv4	1	无	无	无	0	-1
1795	天火陨石伤害和范围Lv5	1	无	无	无	0	-1
1796	天火陨石伤害和范围Lv6	1	无	无	无	0	-1
1797	天火陨石伤害和范围Lv7	1	无	无	无	0	-1
1798	天火陨石伤害和范围Lv8	1	无	无	无	0	-1
1799	天火陨石伤害和范围Lv9	1	无	无	无	0	-1
1800	天火陨石伤害和范围Lv10	1	无	无	无	0	-1
1871	召唤地狱火伤害和范围Lv1	1	无	无	无	0	-1
1872	召唤地狱火伤害和范围Lv2	1	无	无	无	0	-1
